ID,Expansion_level,Random_ID,Hard_level_min,Hard_level_max,Target_level_min,Target_level_max,Lfg_ID
36,0,258,47,60,49,52,30
37,0,258,57,60,59,60,38
38,0,258,57,60,59,60,2
46,0,258,55,60,57,60,32
49,0,258,57,60,59,60,40
53,0,258,53,60,55,58,34
54,0,258,56,60,58,60,36
57,1,259,59,70,61,63,137
61,1,259,67,70,69,70,172
65,1,259,64,70,66,68,170
66,1,259,67,70,69,70,147
76,1,259,68,70,70,70,171
87,1,259,68,70,70,70,198
88,1,259,67,70,69,70,138
92,1,259,67,70,69,70,151
95,1,259,58,70,59,62,136
97,1,259,67,70,69,70,173
98,1,259,68,70,70,70,174
107,1,259,62,70,64,66,148
108,1,259,63,70,65,67,149
109,1,259,65,70,67,68,150
110,1,259,60,70,62,64,140
199,2,0,15,58,15,58,258
200,1,0,15,58,15,58,258
201,0,0,15,60,15,60,258
202,1,0,59,70,59,70,259
203,2,0,59,68,59,68,259
219,0,258,57,60,59,60,274
220,0,258,51,60,53,56,276
