ID,GameCoords[0],GameCoords[1],GameCoords[2],GameFalloffStart,GameFalloffEnd,ContinentID,LightParamsID[0],LightParamsID[1],LightParamsID[2],LightParamsID[3],LightParamsID[4],LightParamsID[5],LightParamsID[6],LightParamsID[7]
1,0,0,0,0,0,0,12,13,10,13,3,0,0,0
2,-10666.672,64,0,399.47433,466.97827,0,14,15,14,15,3,0,0,0
3,-10358.361,-2789.1719,0,289.6096,366.24765,0,16,15,496,15,3,0,0,0
4,-10463.676,1573.3334,5.918545E-05,215.37341,292.26746,0,17,18,6085,6086,3,0,0,0
5,-10426.672,-1973.334,-4.9166665,310.19446,454.5,0,19,6091,19,6091,3,0,0,0
6,-11299.861,-3073.4722,0,261.333,334.91263,0,21,22,21,22,3,0,0,0
7,-7862.172,-1074.0312,0,293.25052,398.6748,0,23,24,23,24,3,0,0,0
9,-13333.333,0,0,334.16513,433.54626,0,26,6090,6085,6086,3,0,0,0
12,-1552.4844,-3046.8613,233.62126,35.322735,60.032375,0,30,31,30,31,3,0,0,0
13,-106,-733.78125,464.93332,24.894777,24.894777,0,6046,33,6050,6051,3,0,0,0
16,-5161.328,-1442.0156,435.7748,999.31134,1214.2452,0,5974,35,6087,35,3,0,0,0
19,-12041.5,-2450.2812,0,450.48706,529.36115,0,6052,845,6052,845,3,0,0,0
21,-6730.672,-3733.334,322.73056,29.308054,30.906946,0,28,18,6089,6089,3,0,0,0
26,-5354.672,-3413.334,431.56668,20.678999,20.678999,0,38,6088,6085,6086,3,0,0,0
27,2174.0417,42.666668,593.14246,116.94179,150.25584,0,6060,6062,6061,6063,3,0,0,0
28,277.32812,1378.0547,380.49445,14.925751,14.925751,0,6064,6073,6072,6074,3,0,0,0
31,1779.1035,-1740.5938,344.25446,13.930597,13.930597,0,46,6067,46,6067,3,0,0,0
36,89.73785,-3283.6597,441.89078,102.11952,153.05678,0,6054,6055,6056,6057,3,0,0,0
39,-14352.973,487.60938,0,152.38889,228.58333,0,26,27,409,27,3,0,0,0
40,-10324.807,370.41602,46.194447,35.52778,76.19444,0,54,27,494,27,3,0,0,0
41,-10452,-445.22266,0,130.61111,250.33333,0,55,27,469,27,3,0,0,0
42,1988.6423,-3902.8142,616.17847,79.39355,141.01752,0,6068,6070,6069,6071,3,0,0,0
44,572.416,-487.61133,0,261.22223,478.91666,0,427,6048,422,6048,3,0,0,0
45,-2066.75,-1250.8613,0,119.72222,674.8333,0,30,45,10,45,3,0,0,0
51,-8480.361,548.27734,80.916664,65.63889,84.52778,0,62,24,10,24,3,0,0,0
52,-8405.531,620.8887,70.916664,62.63889,89.63889,0,62,24,10,24,3,0,0,0
54,-13333.334,13866.664,0,2516.25,2647.5278,0,12,63,10,63,3,0,0,0
56,-1329.7227,555.27734,167.36111,87.52778,142.22223,0,65,33,6050,6051,3,0,0,0
57,-11953.057,-1598,0,306.33334,601.7222,0,67,66,10,66,3,0,0,0
58,-3345.1406,-2705.9446,138.04866,34.854317,57.44884,0,29,958,29,958,3,0,0,0
59,-13884.279,12311.581,-202.36111,164.11111,231.69444,0,68,27,10,27,3,0,0,0
60,-13913.279,12541.639,-234.36111,149.80556,231.80556,0,69,13,10,13,3,0,0,0
61,-4.3125,-1565,176.13889,104.75,154.27779,0,70,71,10,71,3,0,0,0
70,-15733.334,-15733.334,0,645.4722,940.86115,0,75,15,10,15,3,0,0,0
72,-6779.222,-1643.6111,210.13889,181.4497,243.77939,0,77,78,77,78,3,0,0,0
82,0,0,0,0,0,509,394,391,8,11,3,0,0,0
83,0,0,0,0,0,469,85,86,10,11,3,0,0,0
84,0,0,0,0,0,269,87,88,10,11,3,0,0,0
85,-1866.6719,7095.1367,0,533.3333,800,269,89,90,89,90,3,0,0,0
86,2237.1924,786.36035,-44.694447,439.72223,1465.9723,269,91,92,91,92,3,0,0,0
87,3174.6924,447.4375,0,404.77777,459.5,269,93,94,10,11,3,0,0,0
88,2973.8584,1146.8604,32.305557,367.72223,415.72223,269,93,94,10,11,3,0,0,0
89,2788.7773,1637.6104,0,334.19446,384.83334,269,93,94,10,11,3,0,0,0
90,2399.999,2109.9717,0,317.91666,382.91666,269,93,94,10,11,3,0,0,0
91,1779.4424,1939.916,0,307.19446,374.08334,269,93,94,10,11,3,0,0,0
92,1261.083,1190.8604,0,536.05554,601.7222,269,93,94,10,11,3,0,0,0
93,1145.8604,183.75,0,492.30557,557.94446,269,93,94,10,11,3,0,0,0
94,1725.833,-281.36133,0,373.91666,437.6111,269,93,94,10,11,3,0,0,0
95,2492.8867,-362.22266,0,415.72223,481.3611,269,93,94,10,11,3,0,0,0
96,2791.164,21.304688,0,393.83334,470.41666,269,93,95,10,11,3,0,0,0
97,0,0,0,0,0,36,96,97,10,11,3,0,0,0
98,-9786.67,1573.333,0,640,800,36,98,99,10,11,3,0,0,0
99,-245.33398,-533.334,0,1408,1792,36,100,101,10,11,3,0,0,0
179,0,0,0,0,0,429,175,176,10,11,3,0,0,0
180,-10177.92,-804.3613,0,187.91667,213.91667,429,177,178,10,11,3,0,0,0
181,17844.139,17667.58,0,281.97223,371.97223,429,179,180,10,11,3,0,0,0
182,17452.19,17316.805,0,175.05556,175.05556,429,181,176,10,11,3,0,0,0
