ID,Pos[0],Pos[1],Pos[2],Rot[0],Rot[1],Rot[2]
21590,2269.875,897.456,480.156,0,0,80
21591,2307.038,936.111,481.234,0,0,195
21592,2302.269,948.937,481.253,0,0,11
21593,2307.038,936.111,481.234,0,0,195
21594,2269.875,897.456,480.156,0,0,80
21595,2302.269,948.937,481.253,0,0,211
21616,2295.05,964.531,483.92,0,0,0
21617,2304.65,937.658,483.913,0,0,0
21618,2308.92,906.934,491.892,0,0,0
21619,2313.74,905.326,503.25,0,0,0
21620,2268.93,889.865,499.961,0,0,0
21621,2322.18,902.429,482.895,0,0,0
21622,2305.58,928.971,481.152,0,0,0
21623,2242.29,934.299,481.146,0,0,0
21624,2245.97,915.745,481.147,0,0,0
21625,2278.66,901.373,490.065,0,0,0
21626,2319.66,937.674,483.92,0,0,0
21627,2316.1,928.04,481.757,0,0,0
21628,2268.31,895,481.306,0,0,0
21629,2300.67,947.892,481.201,0,0,0
21630,2264.56,954.792,481.163,0,0,0
21631,2236.61,915.137,481.721,0,0,64.49045
21632,2250.81,942.753,485.231,0,0,0
21633,2241.63,902.193,489.048,0,0,0
21634,2316.01,915.215,481.615,0,0,0
21635,2262.79,913.825,481.15,0,0,0
21636,2306.92,900.443,481.481,0,0,0
21637,2298.1,941.111,81.459,0,0,0
21638,2308.14,962.451,485.35,0,0,0
21639,2264.56,954.792,481.163,0,0,0
21640,2280.04,981.489,482.941,0,0,266.84
21641,2290.3906,944.07294,482.2767,0,0,272.7038
21643,2293.1702,950.125,482.06235,0,0,205.68103
21644,2276.5503,970.3924,482.61465,0,0,101.25
21645,2286.4307,977.0955,483.51285,0,0,276.065
21646,2298.7605,922.01044,481.907,0,0,324.39435
21647,2301.4392,926.88544,481.87344,0,0,57.616608
21648,2270.0295,950.7344,482.08463,0,0,24.783905
21649,2272.7395,989.4618,484.31625,0,0,303.416
21650,2294.5608,906.7778,481.59674,0,0,346.29102
21651,2286.1199,903.8993,481.50137,0,0,204.091
21653,2278.36,992.575,484.587,0,0,300.843
21654,2294.89,972.168,484.038,0,0,262.369
21655,2295.67,968.115,484.196,0,0,257.869
21657,2269.8906,986.99133,484.06342,0,0,320.384
21658,2279.6494,959.75,482.14026,0,0,287.309
21659,2269.5,922.86804,482.18057,0,0,273.584
21660,2268.3594,914.46704,481.82373,0,0,210.58398
21661,2224.3298,972.75867,490.1804,0,0,276.767
21662,2246.3801,937.0816,481.94406,0,0,302.191
21663,2256.2205,910.61285,481.976,0,0,327.391
21664,2254.1008,944.31946,481.60986,0,0,104.867
21665,2256.4202,939.4358,481.99258,0,0,126.017
21666,2298.7,950.208,481.153,0,0,126.691
21667,2305.26,935.646,481.217,0,0,2.49143
21668,2267.43,910.647,481.253,0,0,199.366
21669,2279.81,904.865,482.649,0,0,61.441
21670,2304.87,952.176,481.153,0,0,37.365
21671,2276.11,901.96,492.636,0,0,237.166
21672,2267.4114,974.4393,494.06564,0,0,210.02512
21673,2235.4219,955.9514,492.41434,0,0,230.32422
21674,2267.2812,939.0347,485.71478,0,0,32.132484
21675,2282.052,937.2708,493.72473,0,0,321.03607
21677,2287.6494,982.3125,483.8522,0,0,70
21678,2284.0903,957.01044,481.9086,0,0,248.193
21679,2271.4497,940.75,481.7761,0,0,300
21681,2284.0208,917.7274,482.32455,0,0,345
21687,2231.7917,931.4983,492.65848,0,0,297.5543
21688,3604.1294,1561.8195,757.963,0,0,87.718834
21689,3604.4854,1570.7552,757.963,0,0,87.32973
21690,3608.091,1588.0504,748.91345,0,0,86.55829
21691,3606.0964,1597.5435,743.5618,0,0,84.845566
21692,3607.697,1613.5226,742.6657,0,0,81.151825
21693,3611.2656,1630.856,742.481,0,0,54.328426
21694,3628.5425,1642.5625,742.6657,0,0,33.80581
21695,3643.9504,1652.7413,742.6657,0,0,0
21696,3604.1294,1561.8195,757.963,0,0,87.718834
21697,3601.4817,1571.7622,757.96295,0,0,87.32971
21698,3601.4124,1588.5192,749.0138,0,0,86.55829
21699,3602.48,1601.1285,742.973,0,0,84.84558
21700,3604.4565,1617.7692,742.6657,0,0,81.151825
21701,3609.087,1635.0243,742.6657,0,0,54.32843
21702,3622.829,1650.9341,742.481,0,0,33.805817
21703,3643.9072,1658.7188,742.6657,0,0,0
21705,2291.1824,919.7049,487.78516,0,0,297.46442
21706,2254.2727,919.82294,488.0479,0,0,11.98905
21707,3602.309,1562.1562,757.963,0,0,87.71884
21708,3603.2751,1571.7153,757.96295,0,0,87.32971
21709,3604.263,1587.2483,749.5871,0,0,86.55829
21710,3603.7466,1601.7101,742.973,0,0,84.84558
21711,3605.6494,1617.4948,742.6657,0,0,81.151825
21712,3612.0696,1633.8351,742.481,0,0,54.32843
21713,3629.6172,1643.257,742.6657,0,0,33.805817
21714,3644.5999,1646.9618,742.6657,0,0,0
21715,3599.3855,1562.9618,757.963,0,0,87.71884
21716,3599.9185,1573.9219,757.496,0,0,87.32971
21717,3600.783,1587.4132,749.685,0,0,86.55829
21718,3602.0798,1604.2535,742.973,0,0,84.84558
21719,3604.4348,1621.4983,742.6657,0,0,81.151825
