ID,Text_lang,Title_lang,ConditionID
3,"The Winter Queen has asked for you to deliver a message to Sire Denathrius, the Master of Revendreth. You will need his help for the coming conflict.",Welcome to Revendreth,0
111,Test,,0
158,"Following an unprovoked assault on Bastion, you were tasked with journeying to Maldraxxus and investigating why the armies of the dead have betrayed their oath to defend the Shadowlands.",Champion of Pain,0
277,"Using a set of blueprints you recovered and the destructive capabilities of the G.M.O.D. at your disposal, you and Gallywix managed to destroy an airship utilized by High Tinker Mekkatorque and set Alliance interests in Drustvar back even further.",,0
1128,Khadgar has summoned you to Dalaran to help him investigate a mysterious figure called the Harbinger who possesses a powerful relic called the Dark Heart. The Archmage has also asked Alleria Windrunner to join you in order to give her unique perspective.,Hunt for the Harbinger,0
1254,"You were summoned to Silithus to seek out Magni, the Speaker of Azeroth, in order to learn more about the mysterious Radiant Song being heard all across Azeroth.",The Radiant Cry,0
1262,"Using pheromones that you obtained in Siegehold, you manage to make your way into the city without being attacked. The Vizier is revealed to be Executor Nizrek--Queen Ansurek's closest advisor, in theory--and he has Anduin Wrynn with him. You are tasked with viewing the Ascension Day speech and witnessing Ansurek's willing embrace of darker powers.",,123937
1258,"After familiarizing yourself with the Weaver's Lair, she offers you the first of her favors--if you investigate the goings-on in and around the military headquarters known as Siegehold, she'll give you the location of some of your allies. The Weaver is in search of allies of her own, and if you follow her lead, perhaps you can find another similarly-minded nerubian to ally with.",Unraveling the Trapped,123957
1259,"You arrived at Faerin's Advance, where Faerin Lothar is collecting refugees from the nerubians. Oddly enough, these people have been escaping on their own. You are then tasked with meeting up with Flynn Fairwind. Together, you find vital intel about what's been going on--and you decide to sneak into Siegehold to investigate further while Flynn meets with the Weaver.",,123927
1260,"In Siegehold, you meet with the General Anub'azal. His position has been usurped by one of the ""ascended"" named Zev'kall. Anub'azal asks for your aid in ruining Zev'kall's reputation, offering to help you escape Siegehold with the other refugees in return. Upon successfully escaping, you return to the Weaver with news of this potential new ally.",,123928
1261,"The Weaver has a message for you from a mysterious figure known only as The Vizier. The Vizier has important matters to discuss, and requests your presence in the City of Threads--the nerubian capital city.",Plans Within Plans,123929
1233,"After saving the soldiers you could, Faerin Lothar sent you to look into the mysterious figure who aided you during the airship attack. You encounter her underground, where she is investigating a substance known as Black Blood. Orweyna asks for your help in cleaning things up--but it appears that the haranir, as her people are called, aren't happy with her efforts at diplomacy.",,123702
1263,"After a whirlwind battle out of the City of Threads and an intense encounter with Xal'atath, you returned to the Weaver's Lair to let her know what you learned. There is no redeeming Queen Ansurek--she is willingly working with Xal'atath. The Weaver thanks you for finding her another ally, and requests your presence when she reaches out to the General and Vizier, while Alleria and Anduin return to the surface.",,123938
1234,"Orweyna bid you farewell, unable to travel with you further. Suddenly, a small spider arrived with a message for you--a request that you follow it to the sender. When you arrive, you meet the Widow Arak'nai, otherwise known as The Weaver--and she has a deal for you. If you help her try to take out the dark forces influencing Queen Ansurek, she'll help you find your friends.",,123759
1232,"In an attempt to bring the fight to Azj-Kahet, you discovered that the nerubians were prepared for an airship invasion. The Reckoning was entrapped in webs, and the Arathi forces are now scattered below.",Friends in the Dark,123700
