ID,AnimationDataID,CloakDampeningID,FileDataID
1,5,1,1011653
2,143,43,1011653
3,37,1,1011653
4,38,1,1011653
5,40,1,1011653
6,187,1,1011653
7,5,2,307454
8,143,37,307454
9,37,2,307454
10,38,2,307454
11,40,2,307454
12,187,68,307454
13,5,3,1005887
14,143,3,1005887
15,37,3,1005887
16,38,3,1005887
17,40,3,1005887
18,187,3,1005887
19,5,4,1000764
20,5,5,917116
21,5,6,949470
22,5,7,878772
23,5,8,950080
25,5,9,974343
26,5,10,921844
27,5,12,997378
29,5,13,968705
30,5,14,986648
31,5,16,900914
32,5,17,940356
33,5,18,1022938
34,5,19,1018060
35,5,20,119376
36,5,21,119369
37,5,22,1100087
38,5,23,1100258
39,13,15,1011653
40,5,24,1022598
41,5,25,307453
42,5,27,535052
43,5,26,589715
44,13,28,1000764
46,143,30,1000764
48,37,32,974343
49,13,33,974343
51,13,34,878772
52,13,35,940356
53,13,36,950080
54,143,38,307453
55,13,5,917116
56,38,39,917116
57,37,75,917116
58,40,39,917116
59,39,40,917116
60,13,42,949470
61,38,9,974343
62,187,45,974343
63,143,69,974343
64,40,9,974343
65,38,47,1000764
66,37,46,1000764
67,40,47,1000764
68,187,70,1000764
69,38,73,878772
70,40,73,878772
71,187,7,878772
72,37,73,878772
74,143,74,950080
75,37,49,950080
76,187,49,950080
77,38,49,950080
78,40,49,950080
79,187,5,917116
80,143,50,917116
81,37,52,949470
82,187,51,949470
83,38,51,949470
84,40,51,949470
85,143,53,949470
86,38,54,959310
87,37,54,959310
88,40,54,959310
89,187,55,959310
90,13,13,968705
91,143,13,968705
92,37,56,968705
93,38,57,968705
94,187,58,968705
95,40,57,968705
96,143,59,1022938
97,37,78,1022938
98,38,60,1022938
99,187,60,1022938
100,40,60,1022938
101,13,61,1018060
102,143,19,1018060
103,187,19,1018060
104,143,62,1100087
105,13,63,1100087
106,37,64,1100087
107,38,64,1100087
108,187,64,1100087
109,40,64,1100087
110,143,65,1100258
111,13,66,119376
112,37,20,119376
113,38,20,119376
114,40,20,119376
115,37,67,119369
116,38,67,119369
117,40,67,119369
118,37,71,900914
119,187,16,900914
120,38,71,900914
121,40,71,900914
122,37,72,940356
123,187,72,940356
124,40,72,940356
125,38,72,940356
126,143,76,997378
127,37,77,997378
128,187,12,997378
129,38,77,997378
130,40,77,997378
131,39,79,1022938
132,13,80,307454
133,13,81,535052
134,143,82,986648
135,13,83,986648
136,37,84,986648
137,38,85,986648
138,187,84,986648
139,40,85,986648
2924,5,1822,1968587
3016,37,1878,1968587
3017,13,1879,1968587
3018,38,9,1968587
3019,187,1880,1968587
3020,143,1881,1968587
3021,40,9,1968587
3022,5,1882,1620605
3023,143,1882,1620605
3024,37,1882,1620605
3025,38,1882,1620605
3026,40,1882,1620605
3027,187,1882,1620605
3028,5,1883,1593999
3029,5,1884,1814471
3030,37,1885,1814471
3031,13,1886,1814471
3032,38,1884,1814471
3033,187,1887,1814471
3034,143,1888,1814471
3035,40,1884,1814471
3036,5,1889,1810676
3037,5,1890,1630218
3038,13,1890,1630218
3039,143,1890,1630218
3040,37,1891,1630218
3041,38,1892,1630218
3042,187,1893,1630218
3043,40,1892,1630218
3044,5,1894,1630402
3045,143,1895,1630402
3046,13,1896,1630402
3047,37,1897,1630402
3048,38,1898,1630402
3049,187,1897,1630402
3050,40,1898,1630402
3051,5,1899,1734034
3052,143,1900,1734034
3053,13,1901,1734034
3054,37,1902,1734034
3055,38,1902,1734034
3056,187,1902,1734034
3057,40,1902,1734034
3058,5,1903,1733758
3059,143,1904,1733758
3060,5,1905,1890761
3061,13,1906,1890761
3062,37,1905,1890761
3063,38,1905,1890761
3064,40,1905,1890761
3065,5,1907,1890759
3066,37,1908,1890759
3067,38,1908,1890759
3068,40,1908,1890759
3069,5,1909,1630447
3070,37,1910,1630447
3071,13,1911,1630447
3072,38,1909,1630447
3073,187,1912,1630447
3074,143,1913,1630447
3075,40,1909,1630447
3076,5,1914,1662187
3077,13,1915,1662187
3078,143,1914,1662187
3079,187,1914,1662187
3080,5,1916,1721003
3081,37,1917,1721003
3082,13,1918,1721003
3083,38,1916,1721003
3084,187,1919,1721003
3085,143,1920,1721003
3086,40,1916,1721003
3087,5,1921,1886724
3088,37,1922,1886724
3089,13,1923,1886724
3090,38,1921,1886724
3091,187,1924,1886724
3092,143,1925,1886724
3093,40,1921,1886724
3094,5,1926,1890765
3096,38,1928,1890765
3097,40,1928,1890765
3098,187,1926,1890765
3099,37,1928,1890765
3100,5,1929,1890763
3101,13,1930,1890763
3102,143,1931,1890763
3103,37,1932,1890763
3104,187,1932,1890763
3105,38,1932,1890763
3106,40,1932,1890763
3140,5,1948,2622502
3141,37,1949,2622502
3142,187,1948,2622502
3143,38,1949,2622502
3144,40,1949,2622502
3145,5,1950,2564806
3146,13,1951,2564806
3147,37,1952,2564806
3148,187,1952,2564806
3149,40,1952,2564806
3150,38,1952,2564806
