Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Brown Horse,,,6,469,0,-1,458,0,0,4,0,0
Gray Wolf,,,7,455,64,-1,459,0,0,4,0,0
White Stallion,,,8,469,64,-1,468,0,0,4,0,0
Black Stallion,,,9,469,0,2,470,0,0,4,0,0
Pinto Horse,,,11,469,0,-1,472,0,0,4,0,0
Black Wolf,,,12,455,64,-1,578,0,0,4,0,0
Red Wolf,,,13,456,64,-1,579,0,0,4,0,0
Large Timber Wolf,,,14,455,0,-1,580,0,0,4,0,0
Winter Wolf,,,15,455,64,-1,581,0,0,4,0,0
Summon Felsteed,,,17,471,0,-1,5784,151684,0,4,0,0
Chestnut Mare,,,18,469,0,-1,6648,0,0,4,0,0
Dire Wolf,,,19,455,0,-1,6653,0,0,4,0,0
Brown Wolf,,,20,455,0,-1,6654,0,0,4,0,0
Gray Ram,,,21,459,0,-1,6777,0,0,4,0,0
Black Ram,,,22,459,64,-1,6896,0,0,4,0,0
White Ram,,,24,459,0,-1,6898,0,0,4,0,0
Brown Ram,,,25,459,0,-1,6899,0,0,4,0,0
Striped Frostsaber,,,26,457,0,-1,8394,0,0,4,0,0
Emerald Raptor,,,27,461,0,-1,8395,0,0,4,0,0
Skeletal Horse,,,28,467,64,-1,8980,0,0,4,0,0
Spotted Frostsaber,,,31,457,0,-1,10789,0,0,4,0,0
Tiger,,,32,457,64,-1,10790,0,0,4,0,0
Striped Nightsaber,,,34,457,0,-1,10793,0,0,4,0,0
Ivory Raptor,,,35,461,64,-1,10795,0,0,4,0,0
Turquoise Raptor,,,36,461,0,-1,10796,0,0,4,0,0
Violet Raptor,,,38,461,0,-1,10799,0,0,4,0,0
Red Mechanostrider,,,39,465,0,-1,10873,0,0,4,0,0
Blue Mechanostrider,,,40,465,0,-1,10969,0,0,4,0,0
Summon Warhorse,,,41,471,4,-1,13819,151683,0,4,0,0
White Mechanostrider,,,42,466,64,-1,15779,0,0,4,0,0
Green Mechanostrider,,,43,453,64,-1,15780,0,0,4,0,0
Nightsaber,,,45,458,64,-1,16055,0,0,4,0,0
Frostsaber,,,46,458,64,-1,16056,0,0,4,0,0
Red Wolf,,,50,456,64,-1,16080,0,0,4,0,0
Arctic Wolf,,,51,456,64,-1,16081,0,0,4,0,0
Palomino Stallion,,,52,470,64,-1,16082,0,0,4,0,0
White Stallion,,,53,470,64,-1,16083,0,0,4,0,0
Mottled Red Raptor,,,54,462,64,-1,16084,0,0,4,0,0
Winterspring Frostsaber,,,55,487,4,-1,17229,0,0,4,0,0
Ivory Raptor,,,56,462,64,-1,17450,0,0,4,0,0
Green Mechanostrider,,,57,465,0,-1,17453,0,0,4,0,0
Unpainted Mechanostrider,,,58,465,0,-1,17454,0,0,4,0,0
Icy Blue Mechanostrider,,,62,466,64,-1,17459,0,0,4,0,0
Frost Ram,,,63,460,64,-1,17460,0,0,4,0,0
Black Ram,,,64,460,64,-1,17461,0,0,4,0,0
Red Skeletal Horse,,,65,467,0,-1,17462,0,0,4,0,0
Blue Skeletal Horse,,,66,467,0,-1,17463,0,0,4,0,0
