ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,Rage,Tear,Rest,2
2,Hot,Desert,Island,2
3,Iron,Grave,Chasm,2
4,Under,Pool,Hill,2
5,Dark,Dredge,Gorge,2
6,Stone,Flame,Gulch,2
19,Happy,Stream,Valley,1
55,Fake,Test,Land,4
61,Sleepy,Hearth,Vineyard,1
62,Sacred,Lion,Island,1
63,Blue,Wave,Isle,1
64,Cool,Mist,Port,1
65,Silent,Wind,Refuge,1
66,Golden,Light,Sanctuary,1
67,Calm,Ocean,Point,1
68,Great,Sea,Rest,1
69,Weary,Sail,Village,1
70,Salt,Harvest,Hill,1
71,First,Flag,Landing,1
72,Emerald,Blessing,Enclave,1
73,Old,Oak,Harbor,1
74,New,Journey,Outpost,1
75,Somber,Gloom,Hamlet,1
76,Promised,Anchor,Port,1
77,Clear,Sky,County,1
78,Pale,Sand,Banks,1
81,Dry,Bloom,Bay,2
82,Mystic,Mountain,Isle,2
83,Scorched,Sand,Refuge,2
84,Bright,Sun,Bastion,2
86,Cracked,Rock,Spire,2
87,Red,Boar,Ridge,2
88,High,Summer,Gardens,2
89,Earth,Spine,Cornucopia,2
90,Swift,Pilgrim,Haven,2
91,Free,Fortune,Commune,2
92,Brittle,Tusk,Oasis,2
93,Mourning,Exile's,Cliffs,2
94,Sharp,Gravel,Settlement,2
