ID,CreatureID,ReagentChance,Field_11_0_0_54605_002,Field_11_0_0_54605_003,CommissionMultiplier,TreasureID
1,227266,0,0,0,1,127039
11,217091,30,0,0,1.2,127353
12,219324,10,0,0,1,127354
13,219274,10,0,0,1,127355
14,217090,10,0,0,1,127356
15,213691,10,0,0,1,127357
16,219431,10,0,0,1,127358
17,206144,0,0,0,0.5,127359
18,213145,30,0,0,1,127360
19,212695,30,0,0,1,127361
20,220056,15,0,0,1,127362
21,215788,10,0,0,0.8,127363
22,217235,10,0,0,1,127364
23,225142,10,0,0,0.5,127365
25,217565,15,0,0,0.7,127366
27,220997,0,0,0,1.3,127367
29,226214,30,0,0,0.9,127368
30,221910,10,0,0,1.1,127369
31,214296,15,0,0,1,127370
32,192574,20,0,0,1,128114
33,192539,20,0,0,1,128114
