ID,OtherTreasureID,ArtisanTreasureID,Field_11_0_0_54464_002,Field_11_0_0_54464_003,Field_11_0_0_54605_004,Duration,MinCommission,MaxCommission,Field_11_0_0_55288_008,PostInterval,Field_11_0_0_55288_010
20,126350,126671,0,1,3,168,250000,400000,1,84,0.05
21,126351,126671,0,1,3,168,250000,400000,1,84,0.075
22,126352,126671,0,1,3,168,250000,400000,3,84,0.085
23,126353,126670,0,1,3,24,250000,400000,2,24,0.04
24,126354,126670,0,1,3,24,250000,400000,2,24,0.02
25,126355,126670,0,1,3,24,250000,400000,2,24,0.01
26,126356,126686,0,1,3,168,250000,400000,1,84,0.05
27,126357,126687,0,1,3,24,250000,400000,3,12,0.09
28,126358,126688,0,1,3,168,300000,450000,1,84,1
29,126359,126673,0,1,3,168,250000,400000,1,84,0.05
30,126360,126673,0,1,3,168,250000,400000,1,84,0.075
31,126361,126673,0,1,3,168,250000,400000,1,84,0.085
32,126362,126672,0,1,3,24,250000,400000,2,24,0.04
33,126363,126672,0,1,3,24,250000,400000,2,24,0.02
34,126364,126672,0,1,3,24,250000,400000,2,24,0.01
35,126365,126686,0,1,3,168,250000,400000,1,84,0.05
36,126366,126687,0,1,3,24,250000,400000,3,12,0.09
37,126367,126688,0,1,3,168,300000,450000,1,84,1
38,126368,126675,0,1,3,168,250000,400000,3,84,0.05
39,126369,126675,0,1,3,168,250000,400000,3,84,0.075
40,126370,126675,0,1,3,168,250000,400000,3,84,0.085
41,126371,126674,0,1,3,24,250000,400000,2,24,0.04
42,126372,126674,0,1,3,24,250000,400000,2,24,0.02
43,126373,126674,0,1,3,24,250000,400000,2,24,0.01
44,126374,126686,0,1,3,168,250000,400000,1,84,0.05
45,126375,126687,0,1,3,24,250000,400000,3,12,0.09
46,126376,126688,0,1,3,168,300000,450000,1,84,1
47,126377,126677,0,1,3,168,250000,400000,1,84,0.05
48,126378,126677,0,1,3,168,250000,400000,1,84,0.075
49,126379,126677,0,1,3,168,250000,400000,3,84,0.085
50,126380,126676,0,1,3,24,250000,400000,2,24,0.04
51,126381,126676,0,1,3,24,250000,400000,2,24,0.02
52,126382,126676,0,1,3,24,250000,400000,2,24,0.01
53,126383,126686,0,1,3,168,250000,400000,1,84,0.05
54,126384,126687,0,1,3,24,250000,400000,3,12,0.09
55,126385,126688,0,1,3,168,300000,450000,1,84,1
56,126386,126679,0,1,3,168,250000,400000,1,84,0.05
57,126387,126679,0,1,3,168,250000,400000,1,84,0.075
58,126388,126679,0,1,3,168,250000,400000,1,84,0.085
59,126389,126678,0,1,3,24,250000,400000,2,24,0.04
60,126390,126678,0,1,3,24,250000,400000,2,24,0.02
61,126391,126678,0,1,3,24,250000,400000,2,24,0.01
62,126392,126686,0,1,3,168,250000,400000,1,84,0.05
63,126393,126687,0,1,3,24,250000,400000,3,12,0.09
64,126394,126688,0,1,3,168,300000,450000,1,84,1
65,126395,126681,0,1,3,168,250000,400000,1,84,0.05
66,126396,126681,0,1,3,168,250000,400000,1,84,0.075
67,126397,126681,0,1,3,168,250000,400000,3,84,0.085
68,126398,126680,0,1,3,24,250000,400000,2,24,0.04
69,126399,126680,0,1,3,24,250000,400000,2,24,0.02
70,126400,126680,0,1,3,24,250000,400000,2,24,0.01
71,126401,126686,0,1,3,168,250000,400000,1,84,0.05
72,126402,126687,0,1,3,24,250000,400000,3,12,0.09
73,126403,126688,0,1,3,168,300000,450000,1,84,1
74,126404,126683,0,1,3,168,250000,400000,1,84,0.05
75,126405,126683,0,1,3,168,250000,400000,1,84,0.075
76,126406,126683,0,1,3,168,250000,400000,1,84,0.085
77,126407,126682,0,1,3,24,250000,400000,2,24,0.04
78,126408,126682,0,1,3,24,250000,400000,2,24,0.02
79,126409,126682,0,1,3,24,250000,400000,2,24,0.01
80,126410,126686,0,1,3,168,250000,400000,1,84,0.05
81,126411,126687,0,1,3,24,250000,400000,3,12,0.09
82,126412,126688,0,1,3,168,300000,450000,1,84,1
83,126413,126685,0,1,3,168,250000,400000,1,84,0.05
84,126414,126685,0,1,3,168,250000,400000,1,84,0.075
85,126415,126685,0,1,3,168,250000,400000,1,84,0.085
86,126416,126684,0,1,3,24,250000,400000,2,24,0.04
87,126417,126684,0,1,3,24,250000,400000,2,24,0.02
88,126418,126684,0,1,3,24,250000,400000,2,24,0.01
89,126419,126686,0,1,3,168,250000,400000,1,84,0.05
90,126420,126687,0,1,3,24,250000,400000,3,12,0.09
91,126421,126688,0,1,3,168,300000,450000,1,84,1
94,57302,127895,0,1,0,1,10000,10000,10,1,0
95,142168,133876,0,1,3,168,250000,400000,1,84,0.05
96,142168,133876,0,1,3,168,250000,400000,1,84,0.05
97,142168,133876,0,1,3,168,250000,400000,1,84,0.05
98,152124,133875,0,1,3,24,250000,400000,2,24,0.05
99,152125,133875,0,1,3,24,250000,400000,2,24,0.05
100,152123,133875,0,1,3,24,250000,400000,2,24,0.05
101,142170,133992,0,1,3,168,250000,400000,2,84,0.05
102,142173,133993,0,1,3,168,250000,400000,2,84,0.05
103,142167,133979,0,1,3,168,250000,400000,1,84,0.001
104,142172,133990,0,1,3,168,250000,400000,2,84,0.05
105,142168,133987,0,1,3,168,250000,400000,2,84,0.05
106,142171,133989,0,1,3,168,250000,400000,2,84,0.05
107,142174,133991,0,1,3,168,250000,400000,2,84,0.05
108,142169,133988,0,1,3,168,250000,400000,2,84,0.05
109,142169,133877,0,1,3,168,250000,400000,1,84,0.05
110,142169,133877,0,1,3,168,250000,400000,1,84,0.05
