ID,NPCCraftingOrderCustomerID,NPCCraftingOrderSetID,Field_11_0_0_54605_003
4,11,20,1
5,15,20,1
6,16,20,1
7,17,20,1
8,18,20,1
9,22,20,1
10,25,20,1
11,29,20,1
12,11,21,1
13,15,21,1
14,16,21,1
15,17,21,1
16,18,21,1
17,22,21,1
18,25,21,1
19,29,21,1
20,11,22,1
21,15,22,1
22,16,22,1
23,17,22,1
24,18,22,1
25,22,22,1
26,25,22,1
27,29,22,1
28,11,23,1
29,15,23,1
30,16,23,1
31,17,23,1
32,18,23,1
33,22,23,1
34,25,23,1
35,29,23,1
36,11,24,1
37,15,24,1
38,16,24,1
39,17,24,1
40,18,24,1
41,22,24,1
42,25,24,1
43,29,24,1
44,11,25,1
45,15,25,1
46,16,25,1
47,17,25,1
48,18,25,1
49,22,25,1
50,25,25,1
51,29,25,1
52,11,26,1
53,15,26,1
54,16,26,1
55,17,26,1
56,18,26,1
57,22,26,1
58,25,26,1
59,29,26,1
60,11,27,1
61,15,27,1
62,16,27,1
63,17,27,1
64,18,27,1
65,22,27,1
66,25,27,1
67,29,27,1
68,11,28,1
69,15,28,1
70,16,28,1
71,17,28,1
72,18,28,1
73,22,28,1
74,25,28,1
75,29,28,1
76,11,29,1
77,13,29,1
78,18,29,1
79,23,29,1
80,27,29,1
81,29,29,1
82,31,29,1
83,11,30,1
84,13,30,1
85,18,30,1
86,23,30,1
87,27,30,1
88,29,30,1
89,31,30,1
90,11,31,1
91,13,31,1
92,18,31,1
93,23,31,1
94,27,31,1
95,29,31,1
96,31,31,1
97,11,32,1
98,13,32,1
99,18,32,1
100,23,32,1
101,27,32,1
102,29,32,1
103,31,32,1
104,11,33,1
105,13,33,1
106,18,33,1
107,23,33,1
108,27,33,1
109,29,33,1
110,31,33,1
111,11,34,1
112,13,34,1
113,18,34,1
114,23,34,1
115,27,34,1
116,29,34,1
117,31,34,1
118,11,35,1
119,13,35,1
120,18,35,1
121,23,35,1
122,27,35,1
123,29,35,1
124,31,35,1
125,11,36,1
126,13,36,1
127,18,36,1
128,23,36,1
129,27,36,1
130,29,36,1
131,31,36,1
132,11,37,1
133,13,37,1
134,18,37,1
135,23,37,1
136,27,37,1
137,29,37,1
138,31,37,1
139,11,38,1
140,17,38,1
141,18,38,1
