ID,ItemDisplayInfoID,ItemSlot,NpcModelID
1368550,24437,2,10785
1368551,33909,3,10785
1368552,24527,4,10785
1368553,9132,5,10785
1368554,15450,6,10785
1368555,24098,7,10785
1368556,30328,1,10814
1368557,33921,2,10814
1368558,27595,3,10814
1368559,25235,4,10814
1368560,30329,5,10814
1368561,25459,6,10814
1368562,33934,8,10814
1368563,33917,0,10833
1368564,7211,2,10833
1368565,3700,3,10833
1368566,33579,4,10833
1368567,33944,5,10833
1368568,6648,6,10833
1368569,33917,0,10834
1368570,10962,2,10834
1368571,176970,4,10834
1368572,176971,5,10834
1368573,176972,6,10834
1368574,176973,8,10834
1368575,33918,0,10843
1368576,2104,2,10843
1368577,33582,5,10843
1368578,33575,6,10843
1368579,11429,7,10843
1368580,33928,0,10863
1368581,33573,2,10863
1368582,33574,5,10863
1368583,33580,6,10863
1368584,33576,8,10863
1368585,33928,0,10864
1368586,33573,2,10864
1368587,33574,5,10864
1368588,33580,6,10864
1368589,33576,8,10864
1368590,34068,0,10867
1368591,59888,2,10867
1368592,33944,5,10867
1368593,33580,6,10867
1368594,33576,8,10867
1368595,34071,0,10880
1368596,28704,1,10880
1368597,29026,2,10880
1368598,22490,3,10880
1368599,8072,4,10880
1368600,2318,5,10880
1368601,5823,6,10880
1368602,19017,8,10880
1368603,1166,0,10882
1368604,27904,1,10882
1368605,29471,2,10882
1368606,13306,3,10882
1368607,12119,4,10882
1368608,13101,5,10882
1368609,13304,6,10882
1368610,3704,7,10882
1368611,29054,8,10882
1368612,14964,0,10919
1368613,7541,1,10919
1368614,7223,2,10919
1368615,7224,4,10919
1368616,7225,5,10919
1368617,7255,6,10919
1368618,7698,8,10919
1368619,6255,9,10919
1368620,1127,0,10911
1368621,10018,2,10911
1368622,9027,4,10911
1368623,9028,5,10911
1368624,9029,6,10911
1368625,11152,8,10911
1368626,8335,3,10937
1368627,8401,4,10937
1368628,7527,5,10937
1368629,24438,6,10937
1368630,16027,7,10937
1368631,35318,0,11107
1368632,5248,1,11107
1368633,35314,2,11107
1368634,35315,3,11107
1368635,2970,4,11107
1368636,7788,5,11107
1368637,35316,6,11107
1368638,35317,8,11107
1368639,35309,9,11107
1368640,35451,2,11121
1368641,35452,3,11121
1368642,35453,4,11121
1368643,35454,5,11121
1368644,35455,6,11121
1368645,7009,0,10809
1368646,32016,1,10809
1368647,24437,2,10809
1368648,33909,3,10809
1368649,24527,4,10809
1368650,9132,5,10809
1368651,15450,6,10809
1368652,24098,7,10809
1368653,33917,0,10838
1368654,22408,1,10838
1368655,22431,2,10838
1368656,33574,5,10838
1368657,33575,6,10838
1368658,3377,7,10838
1368659,24414,8,10838
1368660,34343,2,10941
1368661,25457,3,10941
1368662,25235,4,10941
1368663,27629,5,10941
1368664,25459,6,10941
1368665,30925,1,10981
1368666,26990,2,10981
1368667,10429,4,10981
1368668,31415,5,10981
1368669,34813,8,10981
1368670,35137,0,11079
1368671,35136,1,11079
1368672,35121,2,11079
1368673,35122,4,11079
1368674,35123,5,11079
1368675,9098,6,11079
1368676,32854,2,11083
1368677,12886,3,11083
1368678,8977,4,11083
1368679,9025,5,11083
1368680,15500,6,11083
1368681,35189,1,11086
1368682,35190,3,11086
1368683,35191,4,11086
1368684,35192,5,11086
1368685,35193,6,11086
1368686,35194,8,11086
1368687,23951,9,11086
1368688,27751,2,11110
1368689,6049,4,11110
1368690,5855,5,11110
1368691,4487,6,11110
1368692,33504,3,10725
1368693,33491,5,10725
1368694,33492,6,10725
1368695,33483,3,10726
1368696,33484,5,10726
1368697,33486,6,10726
1368698,33483,3,10727
1368699,33484,5,10727
1368700,33506,6,10727
1368701,33473,3,10728
1368702,33501,5,10728
1368703,33508,6,10728
1368704,33499,3,10729
1368705,33477,5,10729
1368706,33475,6,10729
1368707,33483,3,10730
1368708,33484,5,10730
1368709,33492,6,10730
1368710,33497,3,10731
1368711,33498,5,10731
1368712,33509,6,10731
1368713,33487,3,10732
1368714,33488,5,10732
1368715,33510,3,10733
1368716,33501,5,10733
1368717,33475,6,10733
1368718,33499,3,10734
1368719,33477,5,10734
1368720,33478,6,10734
1368721,33511,3,10735
1368722,33501,5,10735
1368723,33475,6,10735
1368724,33495,3,10736
1368725,33496,5,10736
1368726,33512,6,10736
1368727,33510,3,10738
1368728,33501,5,10738
1368729,33475,6,10738
1368730,33499,3,10739
1368731,33477,5,10739
1368732,33506,6,10739
1368733,33514,3,10740
1368734,33484,5,10740
1368735,33505,6,10740
1368736,33479,3,10741
1368737,33480,5,10741
1368738,33476,3,10742
1368739,33477,5,10742
1368740,33475,6,10742
1368741,33510,3,10743
1368742,33501,5,10743
1368743,33515,6,10743
1368744,33516,3,10744
1368745,33491,5,10744
1368746,33505,6,10744
1368747,33495,3,10746
1368748,33496,5,10746
1368749,33510,3,10748
1368750,33501,5,10748
1368751,33500,6,10748
1368752,22029,0,10044
1368753,22864,1,10044
1368754,31358,3,10044
1368755,15571,4,10044
1368756,15572,5,10044
1368757,31359,6,10044
1368758,31360,7,10044
1368759,31361,8,10044
1368760,35935,1,11173
1368761,35566,3,11173
1368762,17812,4,11173
1368763,35567,5,11173
1368764,35568,6,11173
1368765,26857,7,11173
1368766,33666,8,11173
1368767,35935,1,11176
1368768,35566,3,11176
1368769,17812,4,11176
1368770,35567,5,11176
1368771,35568,6,11176
1368772,26857,7,11176
1368773,33666,8,11176
1368774,35935,1,11177
1368775,35566,3,11177
1368776,17812,4,11177
1368777,35567,5,11177
1368778,35568,6,11177
1368779,26857,7,11177
1368780,33666,8,11177
1368781,19465,2,5338
1368782,12327,3,5338
1368783,5859,4,5338
1368784,5839,5,5338
1368785,19463,6,5338
1368786,19466,8,5338
1368787,11366,0,5339
1368788,6090,2,5339
1368789,7519,4,5339
1368790,6091,5,5339
1368791,4835,6,5339
1368792,17128,2,4749
1368793,4102,4,4749
1368794,18108,5,4749
1368795,6909,6,4749
1368796,11414,7,4749
1368797,8332,0,7341
1368798,23506,1,7341
1368799,18838,2,7341
1368800,17949,4,7341
1368801,19267,5,7341
1368802,17951,6,7341
1368803,23507,8,7341
1368804,23951,9,7341
1368805,175580,0,7351
1368806,175581,1,7351
1368807,175582,2,7351
1368808,175583,3,7351
1368809,175343,4,7351
1368810,175449,5,7351
1368811,175584,6,7351
1368812,175585,8,7351
1368813,9682,1,7352
1368814,23541,2,7352
1368815,23542,3,7352
1368816,18218,5,7352
1368817,8997,6,7352
1368818,11272,1,7353
1368819,10018,2,7353
1368820,6182,4,7353
1368821,7765,5,7353
1368822,10089,6,7353
1368823,10090,7,7353
1368824,47956,1,7273
1368825,54392,2,7273
1368826,71474,4,7273
1368827,47959,5,7273
1368828,49992,6,7273
1368829,54394,7,7273
1368830,47961,8,7273
1368831,23400,2,7275
1368832,8072,4,7275
1368833,2318,5,7275
1368834,12184,6,7275
1368835,15663,1,7276
1368836,7621,2,7276
1368837,13199,3,7276
1368838,13459,4,7276
1368839,13426,5,7276
1368840,15669,6,7276
1368841,15670,7,7276
1368842,23565,8,7276
1368843,16115,0,7277
1368844,11170,1,7277
1368845,9583,2,7277
1368846,23402,3,7277
1368847,19178,4,7277
1368848,23403,5,7277
1368849,21147,6,7277
1368850,23404,8,7277
1368851,23452,0,7316
1368852,9574,1,7316
1368853,23453,2,7316
1368854,6153,4,7316
1368855,8250,5,7316
1368856,8065,6,7316
1368857,6157,8,7316
1368858,23953,9,7316
1368859,22332,0,7317
1368860,9574,1,7317
1368861,23453,2,7317
1368862,6153,4,7317
1368863,8250,5,7317
1368864,8065,6,7317
1368865,6157,8,7317
1368866,23953,9,7317
1368867,23511,1,7342
1368868,23512,3,7342
1368869,6153,4,7342
1368870,15984,5,7342
1368871,18140,6,7342
1368872,23513,8,7342
1368873,23954,9,7342
1368874,23516,0,7343
1368875,8874,2,7343
1368876,6153,4,7343
1368877,14869,5,7343
1368878,8820,6,7343
1368879,23513,8,7343
1368880,23954,9,7343
1368881,12044,2,2591
1368882,4882,4,2591
1368883,8974,5,2591
1368884,12045,6,2591
1368885,12046,8,2591
1368886,12047,2,2592
1368887,12048,3,2592
1368888,4099,4,2592
1368889,6957,5,2592
1368890,4487,6,2592
1368891,11667,0,2593
1368892,12049,2,2593
1368893,7548,4,2593
1368894,7549,5,2593
1368895,12050,6,2593
1368896,12057,2,2594
1368897,1727,3,2594
1368898,4335,4,2594
1368899,4312,5,2594
1368900,4336,6,2594
1368901,4337,8,2594
1368902,8300,2,2595
1368903,8805,4,2595
1368904,8301,5,2595
1368905,8302,6,2595
1368906,3888,2,2596
