ID,FactionID,LevelThreshold,QuestID
19,2085,10000,46743
20,2086,10000,46746
21,2087,10000,46745
22,2088,10000,46747
23,2089,10000,46748
24,2090,10000,46749
25,2091,10000,46777
30,2167,10000,48976
31,2166,10000,48977
132,2374,10000,53982
133,0,10000,0
134,0,10000,0
135,0,10000,0
136,0,10000,0
137,0,10000,0
138,0,10000,0
139,0,10000,0
140,0,10000,0
141,0,10000,0
142,0,10000,0
143,0,10000,0
144,0,10000,0
145,0,10000,0
146,0,10000,0
149,2384,10000,54454
150,2385,10000,54455
151,2386,10000,54453
152,2387,10000,54451
153,2378,10000,54462
154,2379,10000,54458
155,2380,10000,54460
156,2381,10000,54457
157,2382,10000,54461
158,2383,10000,54456
159,2392,10000,55348
160,2401,10000,55976
161,2416,10000,58096
162,2418,10000,58097
163,2440,10000,61095
164,2441,10000,61097
165,2442,10000,61100
166,2444,10000,61098
167,2471,10000,64012
168,2473,10000,64266
169,2474,10000,64267
170,2479,10000,64867
172,2504,7500,65606
173,2508,7500,66156
174,2521,10000,0
180,0,0,0
181,0,0,0
185,2551,7500,66511
186,2552,7500,71023
187,2565,7500,75290
190,2575,7500,76425
193,2596,7500,79196
194,2604,10000,0
195,2611,7500,79218
196,2612,7500,79219
197,2613,7500,79220
199,2649,2500,83739
200,2648,2500,83738
201,2647,2500,83740
203,2667,7500,85805
204,2668,10000,85808
205,2670,10000,85810
206,2672,10000,85806
207,2674,10000,85807
208,2676,10000,85809
210,2684,7500,85471
