ID,Start[0],Start[1],Start[2],MID[0],MID[1],MID[2],End[0],End[1],End[2]
281,-16777216,-65281,-65281,-16777216,-65281,-65281,-16777216,-65281,-65281
282,-16775322,-16754330,-16752026,-9604410,-16740701,-16729379,-13083722,-16717612,-4850177
283,-16775322,-16751258,-16752026,-9604154,-16754559,-16746097,-13083465,-1,-2692371
284,-16712449,-65281,-65281,-16711780,-65281,-65281,-16187201,-65281,-65281
285,-16711936,-2560,0,-16745984,-13566208,0,-14531272,-12678656,0
286,-16393491,-14301458,-16386094,-16712485,-1,-16731147,-12661554,-1,-16393729
287,-16318720,0,0,-16739573,0,0,-14483399,0,0
288,-15859968,0,0,-16737017,0,0,-14483399,0,0
289,-14615297,-14615297,-65281,-8392961,-8392961,-65281,-7539202,-7539202,-65281
290,-12809053,-5386536,-16743047,-3087383,-1,-14235517,-1,-1,-1837084
291,-12458241,-65281,-65281,-10558220,-65281,-65281,-131329,-65281,-65281
292,-12384832,-8706597,-10801275,-7733022,-1,-10551113,-9814310,-1,-9755241
293,-11948027,-14302345,-7093713,-6630656,-2039120,-5981184,-4666818,-1,-9003995
294,-11728543,-1467154,-65281,-8241565,-3204424,-65281,-7057829,-10744958,-65281
295,-10968992,-12791144,-4399137,-10953377,-1,-9060692,-6815842,-656134,-6887486
296,-10092510,-1187347,-461832,-1,-528392,-403206,-4769736,-2692371,-412161
297,-10068480,-16751258,-16752026,-3997466,-16754559,-16746097,-5269067,-1,-2692371
298,-10068480,-10616730,-10092443,-3997466,-9043839,-8650609,-5269067,-1,-2692371
299,-10068480,-197892,-1187347,-3997466,-1584151,-528392,-5269067,-1,-2692371
300,-10068480,-197892,-1184287,-3997466,-3487,-3487,-5269067,-1,-1185578
301,-9720609,-65281,-65281,-14997605,-65281,-65281,-11205241,-65281,-65281
302,-9717025,-65281,-65281,-14986085,-65281,-65281,-16441977,-65281,-65281
303,-7995426,-65281,-65281,-12657978,-65281,-65281,-14503991,-65281,-65281
304,-7824968,-1187347,-461832,-1,-528392,-2624774,-11696969,-2692371,-11595265
305,-7667575,-11140904,-16762555,-3997466,-8650623,-16747121,-5269067,-1,-2692627
306,-7602433,-9454849,-12927543,-8111415,-10016891,-14217160,-15528556,-14407874,-16645610
307,-7562603,-65281,-65281,-13348271,-65281,-65281,-9926780,-65281,-65281
308,-6991993,-10944410,-10354586,-3772989,-7470941,-2883363,-5031754,-4587288,-412161
309,-6945531,-409563,-9108219,-841728,-5368,-3258112,-1264322,-2359475,-1056643
310,-6295789,-5842154,-5776106,-14423277,-15678192,-15486182,-15539941,-15430389,-3867857
311,-4522240,-65281,-65281,-11747840,-65281,-65281,-12557523,-65281,-65281
312,-3612260,-65281,-65281,-9387469,-65281,-65281,-13004243,-65281,-65281
313,-3183765,-1912348,-462088,-46789,-132099,-403207,-31355,-398851,-412161
314,-3183765,-1912348,-9217,-46789,-132099,-133121,-31355,-398851,-608513
315,-3160883,-1912348,-462088,-131075,-132099,-403207,-1,-398851,-412161
316,-3158134,-1776431,-460558,-3488,-3488,-3488,-134002,-262679,-262219
317,-3154450,-5386536,-2429449,-3087383,-1,-4460809,-1,-1,-1837084
318,-3080321,-4129024,-65281,-7536849,-16711936,-65281,-16717393,-16725556,-65281
319,-3080200,-2359314,-2560278,-7374144,-8727041,-8266241,-14701859,-15646810,-14190912
320,-3042914,-4849448,-10092446,-1539091,-8936704,-7929635,-6404894,-1528064,-393291
321,-2852842,-8596075,-1,-2390485,-4784199,-1,-475534,-2490416,-1
322,-2852842,-7955713,-1,-2390485,-14116097,-1,-475534,-7955713,-1
323,-2852842,-3090564,-1,-2390485,-262475,-1,-475534,-2490369,-1
324,-2852842,-65281,-65281,-2390485,-65281,-65281,-475534,-65281,-65281
325,-2386456,-65281,-65281,-7922789,-65281,-65281,-10025593,-65281,-65281
326,-2227969,0,0,-8453936,0,0,-14483399,0,0
327,-2164481,-14615297,-65281,-12673574,-8392961,-65281,-14531127,-7539202,-65281
328,-2117013,-65281,-65281,-6612197,-65281,-65281,-7928571,-65281,-65281
329,-1966080,-6409678,-65536,-8192000,-48831,-65536,-2021336,-1031357,-65536
330,-1019629,-2342890,-2327530,-1027053,-3787248,-4757485,-2015726,-7330037,-277457
331,-789524,-593461,-1119016,-2261635,-2974354,-24171,-2577545,-4891622,-4161241
332,-786549,-7864465,-7812806,-7812806,-13524185,-14272496,-13790195,-14336988,-16312830
333,-270593,-11400360,-65281,-4047142,-3112961,-65281,-7593271,-1602562,-65281
334,-65287,-458497,-1310465,-65287,-1310465,-65287,-458497,-65287,-65281
335,-57312,-57312,-2676696,-31872,-32640,-65536,-95349,-95349,-3235937
336,-32816,-756225,-65281,-1167361,-6553345,-65281,-6160129,-16769281,-65281
337,-31243,-65281,-65281,-2474298,-65281,-65281,-4063031,-65281,-65281
338,-28672,-39424,-65281,-917504,-65536,-65281,-4653056,-3342336,-65281
339,-27648,-65281,-65281,-1,-65281,-65281,-3855059,-65281,-65281
340,-20992,-28672,-65281,-2150656,-2336768,-65281,-9764864,-11008506,-65281
341,-14465,-2412,-65281,-29649,-8704,-65281,-1470720,-16384,-65281
342,-12078,-9253,-1124124,-1153701,-34116,-32347,-6678946,-5893759,-4184238
343,-11387,-65281,-65281,-2449090,-65281,-65281,-3577856,-65281,-65281
344,-2555,-14303444,-5881848,-6622720,-16192979,-3901440,-5505217,-16712615,-3903744
345,-1141,-9454849,-3564486,-3566278,-10016891,-13103088,-7074547,-14407874,-15334910
346,-256,-256,-256,-256,-256,-256,-256,-256,-256
347,-1,-15963167,-16751393,-9853973,-13203994,-9591060,-13795612,-10182165,-1445124
348,-1,-14303444,-5881848,-8355712,-16192979,-3901440,-16777216,-16712615,-3903744
349,-1,-14303444,-5881848,-4833089,-16192979,-3901440,-10874278,-16712615,-3903744
350,-1,-2028507,-2162672,-1283478,-1689801,-1282683,-1757907,-1284763,-202256
351,-1,-1912348,-2359303,-4115,-132099,-133121,-12275969,-398851,-4800001
352,-1,-1,-65281,-8137578,-1251204,-65281,-16752659,-10863866,-65281
353,0,0,-1976082,0,0,-5007873,0,0,-11851840
354,0,0,0,0,0,0,0,0,0
355,14614405,-65281,-65281,1019664958,-65281,-65281,13217570,-65281,-65281
356,517094580,-65281,-65281,1023305867,-65281,-65281,15438883,-65281,-65281
441,-16711681,-16711681,-16711681,-8323073,-8323073,-8323073,-1,-1,-1
442,-16535807,-15350014,-15250176,-10697472,-11884746,-9530259,-14509056,-10158187,-13631744
443,-16314014,0,0,-15585327,0,0,-11235098,0,0
444,-14713107,0,0,-10622991,0,0,-5577999,0,0
445,-12582912,-65281,-65281,-12582912,-65281,-65281,-12582912,-65281,-65281
446,-12253310,0,0,-1171001,0,0,-681283,0,0
447,-8372224,-65281,-65281,-8372224,-65281,-65281,-8372224,-65281,-65281
448,-3661537,0,0,-16760752,0,0,-1601393,0,0
449,-65536,-32640,-1664,-5303276,-2546138,-2633472,-8978432,-10338754,-8617984
450,-32768,0,0,-256,0,0,-32640,0,0
451,-1,-65281,-65281,-4144960,-65281,-65281,-3224321,-65281,-65281
452,-1,-1,-1,-1,-4144960,-4144960,-1,-8355712,-8355712
453,0,0,0,-16777216,0,0,0,0,0
454,9175027,1685061511,3852680,1681574280,841458481,1259354150,889901,505691173,136711
461,-9387521,-13936385,-15597313,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216
462,-1900688,-15270089,-16748256,-1900688,-15270089,-16748256,-1900688,-15270089,-16748256
481,-6056555,-6056555,-6056555,-10270404,-10270404,-10270404,-9676224,-9676224,-9676224
482,-5323275,-5323275,-5323275,-7892045,-7892045,-7892045,-7430462,-7430462,-7430462
