ID,PathID,PropertyIndex,Value
1117,3855,5,10000
1122,3936,5,10000
1123,3929,5,10000
1124,3935,5,10000
1125,3931,5,10000
1126,3930,5,10000
1147,4915,5,5000
1148,4914,5,5000
1152,4998,5,10000
1154,5003,5,1000
1159,5364,5,10000
1163,5372,5,500
1165,5400,5,5000
1167,5417,5,10000
1168,5423,5,1000
1173,5487,5,500
1175,5520,5,500
1194,5562,5,10000
1196,5597,5,30000
1197,5605,5,3000
1198,5607,5,3000
1199,5606,5,3000
1200,5608,5,3000
1201,5609,5,3000
1202,5610,5,3000
1203,5611,5,3000
1206,5614,5,3000
1207,5615,5,3000
1208,5616,5,3000
1209,5617,5,3000
1210,5618,5,3000
1212,5468,5,300000
1213,5367,5,1000
1214,5365,5,1000
1259,6085,5,20000
1265,6208,5,3000
1271,6322,5,1000
1272,6323,5,1000
1273,6324,5,1000
1274,6325,5,1000
1278,6393,5,5000
1284,6674,5,1000
1285,6675,5,1000
1286,6676,5,1000
1287,6677,5,1000
1288,6678,5,1000
1289,6679,5,1000
1290,6680,5,1000
1324,7540,5,100000
1341,8053,5,2000
1343,8069,5,10000
1345,8081,5,10000
1347,8083,5,10000
1348,8084,5,10000
1349,8085,5,7000
1350,8086,5,15000
1351,8087,5,12000
1359,8133,5,15000
1360,8147,5,1000
1361,8148,5,1000
1362,8149,5,1000
1363,8150,5,1000
1364,8151,5,1000
1365,8152,5,1000
1375,8384,5,20000
1376,8387,5,15000
1377,8402,5,1000
1379,8407,5,5000
1381,8464,5,3000
1387,8673,5,5000
1388,8677,5,5000
1390,8678,5,10000
1400,9178,5,8000
1401,9180,5,3000
1403,9225,5,200
1405,9446,5,40000
1406,9447,5,40000
1410,9662,5,20000
1502,10591,5,100000
1516,10759,5,3000
1517,10760,5,3000
1518,10761,5,3000
1519,10762,5,3000
1532,11061,5,25000
1536,11269,5,30000
1537,11271,5,30000
1538,11276,5,40000
1550,11454,5,3000
1552,11459,5,15000
1555,11462,5,1000
1558,11465,5,3000
1559,11466,5,14000
1560,8891,5,20000
1561,8892,5,25000
1562,8908,5,5000
1563,8904,5,5000
1564,9623,5,5000
1565,9624,5,5000
1566,9625,5,5000
1567,8906,5,5000
1568,9173,5,5000
1569,9174,5,5000
1570,9175,5,5000
1571,9176,5,5000
1572,9177,5,5000
1573,9179,5,5000
1574,8905,5,5000
1575,8909,5,5000
1576,9169,5,5000
1577,9170,5,5000
1578,9171,5,5000
1579,8910,5,5000
1580,9166,5,5000
1581,8911,5,5000
1582,9167,5,5000
1583,9165,5,5000
1584,9168,5,5000
1585,11694,5,5000
1589,11781,5,15000
1590,11797,5,15000
1591,11798,5,15000
1592,11799,5,15000
1593,11800,5,15000
1594,11801,5,30000
1595,11804,5,26000
1596,11805,5,26000
1597,11806,5,76000
1598,11807,5,80000
1599,11808,5,53000
1600,11809,5,15000
1601,11810,5,30000
1602,11817,5,20000
1603,11818,5,40000
1604,11819,5,75000
1605,11820,5,110000
1606,11821,5,35000
1607,11822,5,25000
1608,11823,5,25000
1609,11828,5,15000
1610,11829,5,20000
1611,11830,5,40000
1612,11831,5,15000
1613,11832,5,20000
1614,11833,5,20000
1615,11834,5,40000
1616,11835,5,40000
1617,11836,5,40000
1618,11837,5,20000
1619,11838,5,15000
1620,11839,5,30000
1621,11840,5,20000
1622,11841,5,48000
1623,11842,5,18000
1624,11843,5,20000
1625,11844,5,15000
1626,11845,5,10000
1627,11846,5,15000
1629,11848,5,10000
1630,11849,5,16000
1631,11850,5,48000
1632,11851,5,20000
1633,11852,5,5000
1634,11853,5,5000
1635,11854,5,5000
1636,11855,5,5000
1637,11856,5,10000
1638,11857,5,5000
1639,11858,5,14000
1640,11859,5,20000
1641,11860,5,10000
1642,11861,5,12000
1643,11862,5,10000
1644,11863,5,10000
1645,11864,5,44000
1646,11865,5,80000
1647,11866,5,80000
1648,11867,5,5000
1649,11939,5,2000
1650,11938,5,2000
1651,11942,5,2000
1652,11941,5,2000
2030,12077,5,15000
2031,12078,5,15000
2032,12079,5,10000
2033,12080,5,15000
2034,12081,5,15000
2035,12082,5,15000
2036,12083,5,15000
2053,12233,5,15000
2061,12235,5,15000
2062,12237,5,15000
2065,12263,5,40000
2068,12362,5,2000
2177,12818,5,40000
2193,12960,5,15000
2336,14364,5,10000
2344,14380,5,30000
2346,14366,5,1000
2351,14467,5,10000
2352,14470,5,10000
2354,14639,5,50000
2357,14848,5,10000
2358,14849,5,10000
2360,14944,5,10000
2361,14951,5,50000
2432,15081,5,1500
2437,15428,5,25000
2444,15848,5,60000
2447,15870,5,50000
2449,15972,5,2000
2450,16290,5,2000
2451,16294,5,30000
2452,16453,5,15000
2453,16555,5,10000
2488,16565,5,20000
2489,16743,5,3000
2490,16758,5,30000
2491,16761,5,40000
2495,16843,5,10000
2499,16854,5,10000
2501,16865,5,40000
2502,16871,5,30000
2508,16908,5,2000
2515,17149,5,10000
2516,17162,5,1200
2518,16700,5,5000
2519,16380,5,5000
2523,17282,5,10000
2549,17468,5,60000
2558,17782,5,30000
2570,18198,5,20000
2580,18542,5,2000
2581,18543,5,10000
2582,18590,5,5000
2583,18591,5,1000000
2584,17538,5,30000
2585,18045,5,30000
2589,18740,5,40000
2602,18932,5,5000
2603,18968,5,300000
2612,19057,5,100000
2616,19093,5,30000
2617,19094,5,50000
2626,19173,5,100000
2628,19211,5,100000
2629,19281,5,75000
2631,19349,5,35000
2632,19523,5,150000
2633,19571,5,100000
2634,19591,5,100000
2636,19720,5,8000
2640,19831,5,30000
2641,19832,5,30000
2655,20108,5,2500
2656,20109,5,2500
2660,20172,5,10000
2665,20259,5,10000
2700,20861,5,5000
2761,21028,5,10000
2781,21228,5,10000
2783,21252,5,10000
2784,21253,5,10000
2785,21257,5,20000
2796,21193,0,0
2797,21194,0,0
2798,21192,0,0
2799,21182,0,0
2800,21183,0,0
2803,21192,0,0
2804,21383,0,0
2805,21384,0,0
2807,21399,0,0
2809,21425,0,0
2810,21426,0,0
