ID,BonusTendies,OrderIndex,Threshold,PerksActivityThresholdGroupID
1,100,0,200,1
2,100,1,400,1
3,100,2,600,1
4,100,3,800,1
5,100,4,1000,1
11,100,0,200,6
12,100,1,400,6
13,100,2,600,6
14,100,3,800,6
15,100,4,1000,6
16,100,0,200,7
17,100,1,400,7
18,100,2,600,7
19,100,3,800,7
20,100,4,1000,7
21,100,0,200,8
22,100,1,400,8
23,100,2,600,8
24,100,3,800,8
25,100,4,1000,8
26,100,0,200,9
27,100,1,400,9
28,100,2,600,9
29,100,3,800,9
30,100,4,1000,9
31,100,0,200,10
32,100,1,400,10
33,100,2,600,10
34,100,3,800,10
35,100,4,1000,10
39,100,0,200,11
40,100,1,400,11
41,100,2,600,11
42,100,3,800,11
43,100,4,1000,11
44,100,0,200,12
45,100,1,400,12
46,100,2,600,12
47,100,3,800,12
48,100,4,1000,12
49,100,5,1200,12
50,100,6,1400,12
51,100,0,200,13
52,100,1,400,13
53,100,2,600,13
54,100,3,800,13
55,100,4,1000,13
56,100,5,1200,13
58,100,0,200,14
59,100,1,400,14
60,100,2,600,14
61,100,3,800,14
62,100,4,1000,14
64,100,6,1400,13
70,100,0,200,16
71,100,1,400,16
72,100,2,600,16
73,100,3,800,16
74,100,4,1000,16
80,100,0,200,18
81,100,1,400,18
82,100,2,600,18
83,100,3,800,18
84,100,4,1000,18
85,100,0,200,19
86,100,1,400,19
87,100,2,600,19
88,100,3,800,19
89,100,4,1000,19
90,100,0,200,20
91,100,1,400,20
92,100,2,600,20
93,100,3,800,20
94,100,4,1000,20
95,200,0,200,21
96,200,1,400,21
97,200,2,600,21
98,200,3,800,21
99,200,4,1000,21
100,100,0,200,22
101,100,1,400,22
102,100,2,600,22
103,100,3,800,22
104,100,4,1000,22
105,100,0,200,23
106,100,1,400,23
107,100,2,600,23
108,100,3,800,23
109,100,4,1000,23
110,100,0,200,24
111,100,1,400,24
112,100,2,600,24
113,100,3,800,24
114,100,4,1000,24
115,100,0,200,25
116,100,1,400,25
117,100,2,600,25
118,100,3,800,25
119,100,4,1000,25
120,100,0,200,26
121,100,1,400,26
122,100,2,600,26
123,100,3,800,26
124,100,4,1000,26
125,100,0,200,27
126,100,1,400,27
127,100,2,600,27
128,100,3,800,27
129,100,4,1000,27
130,100,0,200,28
131,100,1,400,28
132,100,2,600,28
133,100,3,800,28
134,100,4,1000,28
135,100,0,200,29
136,100,1,400,29
137,100,2,600,29
138,100,3,800,29
139,100,4,1000,29
140,100,0,200,30
141,100,1,400,30
142,100,2,600,30
143,100,3,800,30
144,100,4,1000,30
145,100,0,200,31
146,100,1,400,31
147,100,2,600,31
148,100,3,800,31
149,100,4,1000,31
150,100,0,200,32
151,100,1,400,32
152,100,2,600,32
153,100,3,800,32
154,100,4,1000,32
155,200,0,200,33
156,200,1,400,33
157,200,2,600,33
158,200,3,800,33
159,200,4,1000,33
160,100,0,200,34
161,100,1,400,34
162,100,2,600,34
163,100,3,800,34
164,100,4,1000,34
165,100,0,200,35
166,100,1,400,35
167,100,2,600,35
168,100,3,800,35
169,100,4,1000,35
170,100,0,200,36
171,100,1,400,36
172,100,2,600,36
173,100,3,800,36
174,100,4,1000,36
175,100,0,200,37
176,100,1,400,37
177,100,2,600,37
178,100,3,800,37
179,100,4,1000,37
180,100,0,200,38
181,100,1,400,38
182,100,2,600,38
183,100,3,800,38
184,100,4,1000,38
185,100,0,200,39
186,100,1,400,39
187,100,2,600,39
188,100,3,800,39
189,100,4,1000,39
190,100,0,200,40
191,100,1,400,40
192,100,2,600,40
193,100,3,800,40
194,100,4,1000,40
195,100,0,200,41
196,100,1,400,41
197,100,2,600,41
198,100,3,800,41
199,100,4,1000,41
200,100,0,200,42
201,100,1,400,42
202,100,2,600,42
203,100,3,800,42
204,100,4,1000,42
205,100,0,200,43
206,100,1,400,43
207,100,2,600,43
208,100,3,800,43
209,100,4,1000,43
