Name_lang,ID,Priority
Returning,1,0
New Arrivals,2,1000
Celebration,3,1100
Plunderstorm,4,1100
Paladin,5,235
Rogue,6,225
Priest,7,230
Warlock,8,215
Warrior,9,210
Monk,10,240
Druid,11,260
Death Knight,12,270
Demon Hunter,13,265
Mage,14,245
Shaman,15,220
Hunter,16,250
Evoker,17,255
Cloth,18,310
Leather,19,320
Plate,20,340
Mail,21,330
Pets,22,1100
Mounts,23,1200
Toys,24,1000
Floral,25,1100
Summer Fun,26,1100
Ocean Depths,27,1100
Lovely Witches,28,1100
High Seas Plunder,29,1100
Weapon Collections,30,900
Melee Weapons,31,800
Off Hand Weapon,32,800
Armor Transmog,33,1000
Ranged Weapons,34,800
Armor Collections,35,1100
Iconic,36,1100
Odds and Ends,37,800
