ID,PerksVendorItemID,Field_10_0_5_47118_001
1235,110,0
1236,60,0
1237,229,0
1238,224,0
1239,227,0
1240,228,0
1241,74,20
1242,6,0
1243,9,0
1245,223,0
1246,230,0
1247,231,0
1248,76,0
1250,225,0
1252,232,0
1253,233,0
1254,68,0
1255,66,0
1256,24,0
1257,78,0
1258,35,0
1259,90,0
1260,39,0
1261,91,0
1262,92,0
1265,7,0
1266,94,0
1267,237,0
1268,80,0
1269,200,0
1270,235,0
1271,10,0
1272,236,0
1273,11,0
1274,98,0
1275,117,0
1276,103,0
1277,104,0
1278,112,0
1279,79,30
1280,239,0
1281,238,0
1282,142,0
1283,141,0
1284,116,0
1285,131,0
1286,144,0
1287,125,0
1289,130,0
1290,240,0
1295,36,0
1296,245,0
1297,243,0
1298,242,0
1306,248,0
1309,267,0
1310,266,0
1311,251,0
1313,256,0
1314,252,0
1315,257,0
1316,250,0
1317,255,0
1319,254,0
1320,259,0
1326,8,0
1327,121,25
1328,268,0
1329,114,0
1330,234,0
1331,123,35
1332,204,0
1360,396,0
1362,283,0
1363,241,0
1400,331,0
1401,348,0
1402,247,0
1403,287,0
1404,359,0
1405,312,0
1407,309,0
1408,258,43
1409,357,0
1410,113,0
1411,264,0
1412,429,0
1413,430,0
1419,431,50
1421,337,0
1422,338,0
1423,305,0
1424,304,0
1429,237,0
1431,35,0
1432,232,0
1433,434,0
1434,277,0
1445,124,64
1446,445,0
1447,446,0
1448,447,0
1450,449,0
1451,353,0
1452,262,0
1453,260,0
1454,354,0
1455,349,0
1456,53,0
1457,313,0
1458,314,0
1459,450,0
1460,451,0
1461,452,0
1462,453,0
1463,454,0
1466,457,0
1467,458,0
1469,286,0
1470,288,0
1471,289,0
1477,292,0
1478,462,0
1479,463,0
1480,464,0
1481,73,62
1482,465,0
1483,466,0
1488,467,0
1489,468,0
1490,469,0
1491,470,0
1492,471,0
1493,472,0
1495,8,0
1496,235,0
1497,60,0
1498,110,0
1499,90,0
1500,24,0
1502,11,0
1510,479,0
1511,480,0
1512,481,0
1513,473,0
1518,486,0
1519,487,0
1520,488,0
1521,489,0
1522,490,0
1523,491,0
1524,492,0
1525,493,0
1526,494,0
1527,495,0
1528,496,0
1529,497,0
1530,498,74
1531,342,0
1532,343,0
1533,499,0
1534,500,0
1535,143,0
1537,126,0
1538,344,0
1540,345,0
1544,55,0
1546,503,0
1549,282,0
1551,504,0
1552,356,0
1553,253,0
1554,505,0
1555,148,0
1556,506,0
1557,507,0
1558,311,0
1559,370,0
1561,316,0
1562,317,0
1563,318,0
1564,324,0
1566,302,0
1569,269,0
1572,111,0
1574,511,0
1575,512,0
1576,513,0
1577,514,0
1578,515,0
1579,516,0
1580,517,0
1581,518,0
1582,519,0
1584,520,0
1585,521,0
1595,451,0
1596,252,0
1597,144,0
1598,66,0
1599,112,0
1600,255,0
1601,125,0
1602,248,0
1603,502,0
1614,455,0
1615,456,0
1616,522,84
1622,114,0
1627,523,0
1635,529,0
1638,337,0
1639,338,0
1640,531,0
1641,530,0
1645,532,0
1650,533,0
1651,534,0
1652,329,0
1653,224,0
1654,353,0
1655,354,0
1656,200,0
1657,341,89
1685,471,0
1686,245,0
1687,286,0
1688,292,0
1690,328,0
1691,322,0
1692,273,0
1693,540,0
1695,544,0
1698,549,94
1699,550,0
1700,296,0
1701,355,0
1702,551,0
1703,554,0
1704,555,0
1705,556,0
1706,557,0
1707,558,0
1708,559,0
1709,560,0
1710,369,0
1711,562,0
1712,563,0
1713,564,0
1714,565,0
1715,457,0
1716,566,0
1717,567,0
1718,510,0
1719,464,0
1720,463,0
1721,569,0
1722,570,0
1726,572,0
1727,573,0
1728,574,0
1729,575,0
1730,541,0
1731,576,0
1732,577,0
1733,578,0
1734,579,0
1735,580,0
1736,581,99
1737,582,0
1738,583,0
1739,584,0
1740,585,0
1741,586,0
1742,587,0
1743,588,0
1744,272,0
1745,589,0
1746,330,0
1747,261,0
1748,451,0
1749,450,0
1750,231,0
1751,230,0
1752,228,0
1753,590,0
1754,591,0
1755,592,0
1756,593,0
1757,594,0
1758,595,0
1759,596,0
1760,597,0
1761,598,0
1762,599,0
1763,600,0
1764,147,0
1765,601,0
1766,145,0
1767,326,0
1768,51,0
1769,297,0
1770,40,0
1771,87,0
1772,456,0
1773,455,0
1774,357,0
1775,142,0
1776,35,0
1777,283,0
1778,602,0
1779,603,0
1780,604,0
1781,605,0
1782,606,0
1783,607,0
1784,608,0
1785,609,104
1786,610,0
1787,611,0
1788,612,0
1789,613,0
1790,614,0
1791,615,0
1792,616,0
1793,617,0
1794,618,0
1795,619,0
1796,319,0
1797,300,0
1798,307,0
1799,362,0
1800,361,0
1801,346,0
1802,56,0
1803,620,0
1804,621,0
1805,622,0
1806,543,0
1807,623,0
1808,624,0
1809,625,0
1810,626,0
1811,627,0
1818,628,0
1819,629,109
1820,630,0
1821,631,0
1822,632,0
1823,633,0
1824,634,0
1825,635,114
1826,636,0
1827,637,0
1828,638,0
1829,552,0
1830,639,0
1831,640,0
1832,641,0
1833,642,0
1834,643,0
1835,127,0
1836,61,0
1837,65,0
1838,275,0
1839,325,0
1841,645,0
1842,646,0
1843,647,0
1844,648,0
1845,649,0
1846,650,0
1847,651,0
1848,79,0
1849,652,0
1850,446,0
1851,277,0
1852,10,0
1853,92,0
1854,91,0
1855,656,0
1856,657,0
1857,658,0
1858,659,0
1859,660,0
1860,661,0
1861,482,0
1862,664,0
1863,665,0
1864,114,0
1865,24,0
1866,111,0
1867,331,0
1868,90,0
1869,666,0
1870,667,0
1871,668,0
1872,131,0
1873,282,0
1874,540,0
1875,267,0
1876,266,0
1877,669,0
1880,438,0
1885,698,119
1886,699,0
1887,700,0
1888,701,0
1889,702,0
1890,703,0
1891,704,0
1892,705,0
1893,706,0
1894,707,0
1895,708,0
1900,363,0
1901,352,0
1902,709,0
1903,710,0
1904,711,0
1905,712,0
1906,713,0
1907,569,0
1908,696,0
1909,695,0
1910,697,0
1911,714,0
1912,715,0
1913,716,0
1914,717,0
1915,718,0
1916,719,0
1917,720,0
1918,721,0
1919,722,0
1920,723,0
1921,724,0
1922,725,0
1923,726,0
1924,727,0
1925,728,0
1926,729,0
1927,730,0
1928,731,0
1929,732,0
1930,733,0
1931,734,0
1932,735,0
1933,736,0
1934,737,0
1935,738,0
1936,739,0
1937,740,0
1938,741,0
1939,742,0
1940,743,0
1941,744,0
1942,745,0
1943,746,0
1944,747,0
1945,748,0
1946,749,0
1947,750,0
1949,752,0
1950,753,0
1951,754,124
1952,755,0
1953,756,0
1954,757,129
1955,758,0
1956,759,0
1957,530,0
1958,760,0
1959,548,0
1960,547,0
1961,223,0
1962,541,0
1963,532,0
1964,445,0
1965,353,0
1966,354,0
1967,260,0
1968,262,0
1969,314,0
1970,313,0
1971,473,0
1972,761,0
1973,762,0
1974,763,0
1975,764,0
1976,765,0
1977,766,0
1978,767,0
1979,768,0
1980,769,0
1981,770,0
1982,771,0
1983,772,0
1984,773,0
1985,774,0
1986,775,0
1987,776,0
1988,777,0
1989,778,0
1990,779,0
1991,489,0
1992,488,0
1993,492,0
1994,497,0
1995,519,0
1996,513,0
1997,496,0
1998,494,0
1999,517,0
2000,514,0
2001,515,0
2002,518,0
2003,516,0
2004,512,0
2005,467,0
2006,469,0
2007,468,0
2008,480,0
2009,470,0
2010,479,0
2011,493,0
2012,495,0
2013,486,0
2014,487,0
2015,490,0
2016,491,0
2017,467,0
2018,479,0
2019,480,0
2020,492,0
2021,493,0
2022,496,0
2023,490,0
2024,486,0
2025,488,0
2026,516,0
2027,515,0
2028,517,0
2029,519,0
2030,469,0
2031,470,0
2032,468,0
2033,497,0
2034,495,0
2035,494,0
2036,491,0
2037,487,0
2038,489,0
2039,512,0
2040,518,0
2041,514,0
2042,513,0
2043,780,0
2044,781,0
2045,782,0
2046,783,0
2047,784,0
2048,785,0
2049,786,0
2050,787,0
2051,788,0
2052,789,0
2053,790,0
2054,791,0
2055,792,0
2056,793,0
2057,794,0
2058,542,0
2059,795,0
2060,796,0
2061,63,0
2062,797,0
2063,798,0
2064,799,134
2065,511,0
2066,499,0
2067,500,0
2068,238,0
2069,318,0
2070,98,0
2071,131,0
2072,605,0
2073,328,0
2074,355,0
2075,800,0
2076,801,0
2077,802,0
2078,803,0
2079,804,0
