ID,SkillLineID,ProfessionEnumValue,ResourcefulEffectLow,ResourcefulEffectHigh,MinCraftExtraQtyPct,MaxCraftExtraQtyPct,GatherTimeIncreasePct,ActionTypeEnumValue,RecraftModSkillGainPct,PublicOrderCapacityCurrencyID
1,129,0,0,0,0,0,0,0,0,0
2,164,1,0,0,0,0,0,0,0,0
3,165,2,0,0,0,0,0,0,0,0
4,171,3,0,0,0,0,0,0,0,0
5,182,4,0,0,0,0,0,1,0,0
6,185,5,0,0,0,0,0,0,0,0
7,186,6,0,0,0,0,0,1,0,0
8,197,7,0,0,0,0,0,0,0,0
9,202,8,0,0,0,0,0,0,0,0
10,333,9,0,0,0,0,0,0,0,0
11,356,10,0,0,0,0,0,1,0,0
12,393,11,0,0,0,0,0,1,0,0
