ID,EpicF[0],EpicF[1],SuperiorF[0],SuperiorF[1],GoodF[0],GoodF[1],Epic[0],Epic[1],Superior[0],Superior[1],Good[0],Good[1]
1,2156.8198,1725.4558,2156.8198,1725.4558,2156.8198,1725.4558,2156,1725,2156,1725,2156,1725
2,2183.78,1747.0239,2183.78,1747.0239,2183.78,1747.0239,2183,1747,2183,1747,2183,1747
3,2211.0771,1768.8618,2211.0771,1768.8618,2211.0771,1768.8618,2211,1768,2211,1768,2211,1768
4,2238.7156,1790.9725,2238.7156,1790.9725,2238.7156,1790.9725,2238,1790,2238,1790,2238,1790
5,2266.6997,1813.3597,2266.6997,1813.3597,2266.6997,1813.3597,2266,1813,2266,1813,2266,1813
6,2295.0334,1836.0267,2295.0334,1836.0267,2295.0334,1836.0267,2295,1836,2295,1836,2295,1836
7,2323.7212,1858.977,2323.7212,1858.977,2323.7212,1858.977,2323,1858,2323,1858,2323,1858
8,2352.7678,1882.2142,2352.7678,1882.2142,2352.7678,1882.2142,2352,1882,2352,1882,2352,1882
9,2382.1775,1905.742,2382.1775,1905.742,2382.1775,1905.742,2382,1905,2382,1905,2382,1905
10,2411.9546,1929.5637,2411.9546,1929.5637,2411.9546,1929.5637,2411,1929,2411,1929,2411,1929
11,2442.104,1953.6832,2442.104,1953.6832,2442.104,1953.6832,2442,1953,2442,1953,2442,1953
12,2472.6304,1978.1042,2472.6304,1978.1042,2472.6304,1978.1042,2472,1978,2472,1978,2472,1978
13,2503.5383,2002.8306,2503.5383,2002.8306,2503.5383,2002.8306,2503,2002,2503,2002,2503,2002
14,2534.8325,2027.866,2534.8325,2027.866,2534.8325,2027.866,2534,2027,2534,2027,2534,2027
15,2566.5178,2053.2144,2566.5178,2053.2144,2566.5178,2053.2144,2566,2053,2566,2053,2566,2053
16,2598.5994,2078.8794,2598.5994,2078.8794,2598.5994,2078.8794,2598,2078,2598,2078,2598,2078
17,2631.0818,2104.8655,2631.0818,2104.8655,2631.0818,2104.8655,2631,2104,2631,2104,2631,2104
18,2663.9702,2131.1763,2663.9702,2131.1763,2663.9702,2131.1763,2663,2131,2663,2131,2663,2131
19,2697.27,2157.816,2697.27,2157.816,2697.27,2157.816,2697,2157,2697,2157,2697,2157
20,2730.9858,2184.7886,2730.9858,2184.7886,2730.9858,2184.7886,2730,2184,2730,2184,2730,2184
21,2765.123,2212.0986,2765.123,2212.0986,2765.123,2212.0986,2765,2212,2765,2212,2765,2212
22,2799.6873,2239.7498,2799.6873,2239.7498,2799.6873,2239.7498,2799,2239,2799,2239,2799,2239
23,2834.6833,2267.7466,2834.6833,2267.7466,2834.6833,2267.7466,2834,2267,2834,2267,2834,2267
24,2870.117,2296.0935,2870.117,2296.0935,2870.117,2296.0935,2870,2296,2870,2296,2870,2296
25,2905.9934,2324.7947,2905.9934,2324.7947,2905.9934,2324.7947,2905,2324,2905,2324,2905,2324
26,2942.318,2353.8545,2942.318,2353.8545,2942.318,2353.8545,2942,2353,2942,2353,2942,2353
27,2979.0972,2383.2778,2979.0972,2383.2778,2979.0972,2383.2778,2979,2383,2979,2383,2979,2383
28,3016.336,2413.0686,3016.336,2413.0686,3016.336,2413.0686,3016,2413,3016,2413,3016,2413
29,3054.04,2443.2322,3054.04,2443.2322,3054.04,2443.2322,3054,2443,3054,2443,3054,2443
30,3092.2156,2473.7725,3092.2156,2473.7725,3092.2156,2473.7725,3092,2473,3092,2473,3092,2473
31,3130.8684,2504.6946,3130.8684,2504.6946,3130.8684,2504.6946,3130,2504,3130,2504,3130,2504
32,3170.0042,2536.0034,3170.0042,2536.0034,3170.0042,2536.0034,3170,2536,3170,2536,3170,2536
33,3209.6292,2567.7034,3209.6292,2567.7034,3209.6292,2567.7034,3209,2567,3209,2567,3209,2567
34,3249.7495,2599.7996,3249.7495,2599.7996,3249.7495,2599.7996,3249,2599,3249,2599,3249,2599
35,3290.3713,2632.297,3290.3713,2632.297,3290.3713,2632.297,3290,2632,3290,2632,3290,2632
36,3331.501,2665.201,3331.501,2665.201,3331.501,2665.201,3331,2665,3331,2665,3331,2665
37,3373.1448,2698.5159,3373.1448,2698.5159,3373.1448,2698.5159,3373,2698,3373,2698,3373,2698
38,3415.309,2732.2473,3415.309,2732.2473,3415.309,2732.2473,3415,2732,3415,2732,3415,2732
39,3458.0005,2766.4004,3458.0005,2766.4004,3458.0005,2766.4004,3458,2766,3458,2766,3458,2766
40,3501.2256,2800.9805,3501.2256,2800.9805,3501.2256,2800.9805,3501,2800,3501,2800,3501,2800
41,3544.991,2835.9927,3544.991,2835.9927,3544.991,2835.9927,3544,2835,3544,2835,3544,2835
42,3589.3032,2871.4426,3589.3032,2871.4426,3589.3032,2871.4426,3589,2871,3589,2871,3589,2871
43,3634.1694,2907.3357,3634.1694,2907.3357,3634.1694,2907.3357,3634,2907,3634,2907,3634,2907
44,3679.5967,2943.6772,3679.5967,2943.6772,3679.5967,2943.6772,3679,2943,3679,2943,3679,2943
45,3725.5916,2980.4734,3725.5916,2980.4734,3725.5916,2980.4734,3725,2980,3725,2980,3725,2980
46,3772.1614,3017.7292,3772.1614,3017.7292,3772.1614,3017.7292,3772,3017,3772,3017,3772,3017
47,3819.3135,3055.451,3819.3135,3055.451,3819.3135,3055.451,3819,3055,3819,3055,3819,3055
48,3867.055,3093.644,3867.055,3093.644,3867.055,3093.644,3867,3093,3867,3093,3867,3093
49,3915.393,3132.3145,3915.393,3132.3145,3915.393,3132.3145,3915,3132,3915,3132,3915,3132
50,3964.3354,3171.4685,3964.3354,3171.4685,3964.3354,3171.4685,3964,3171,3964,3171,3964,3171
51,4013.8896,3211.1118,4013.8896,3211.1118,4013.8896,3211.1118,4013,3211,4013,3211,4013,3211
52,4064.0632,3251.2507,4064.0632,3251.2507,4064.0632,3251.2507,4064,3251,4064,3251,4064,3251
53,4114.8643,3291.8914,4114.8643,3291.8914,4114.8643,3291.8914,4114,3291,4114,3291,4114,3291
54,4166.3,3333.04,4166.3,3333.04,4166.3,3333.04,4166,3333,4166,3333,4166,3333
55,4218.379,3374.703,4218.379,3374.703,4218.379,3374.703,4218,3374,4218,3374,4218,3374
56,4271.1084,3416.8867,4271.1084,3416.8867,4271.1084,3416.8867,4271,3416,4271,3416,4271,3416
57,4324.497,3459.598,4324.497,3459.598,4324.497,3459.598,4324,3459,4324,3459,4324,3459
58,4378.5537,3502.8428,4378.5537,3502.8428,4378.5537,3502.8428,4378,3502,4378,3502,4378,3502
59,4433.2856,3546.6284,4433.2856,3546.6284,4433.2856,3546.6284,4433,3546,4433,3546,4433,3546
60,4488.7017,3590.9612,4488.7017,3590.9612,4488.7017,3590.9612,4488,3590,4488,3590,4488,3590
61,4544.81,3635.8481,4544.81,3635.8481,4544.81,3635.8481,4544,3635,4544,3635,4544,3635
62,4601.6206,3681.2964,4601.6206,3681.2964,4601.6206,3681.2964,4601,3681,4601,3681,4601,3681
63,4659.1406,3727.3125,4659.1406,3727.3125,4659.1406,3727.3125,4659,3727,4659,3727,4659,3727
64,4717.38,3773.9038,4717.38,3773.9038,4717.38,3773.9038,4717,3773,4717,3773,4717,3773
65,4776.347,3821.0776,4776.347,3821.0776,4776.347,3821.0776,4776,3821,4776,3821,4776,3821
66,4836.0513,3868.841,4836.0513,3868.841,4836.0513,3868.841,4836,3868,4836,3868,4836,3868
67,4896.502,3917.2017,4896.502,3917.2017,4896.502,3917.2017,4896,3917,4896,3917,4896,3917
68,4957.7085,3966.1667,4957.7085,3966.1667,4957.7085,3966.1667,4957,3966,4957,3966,4957,3966
69,5019.6797,4015.744,5019.6797,4015.744,5019.6797,4015.744,5019,4015,5019,4015,5019,4015
70,5082.426,4065.9407,5082.426,4065.9407,5082.426,4065.9407,5082,4065,5082,4065,5082,4065
71,5145.956,4116.7646,5145.956,4116.7646,5145.956,4116.7646,5145,4116,5145,4116,5145,4116
72,5210.281,4168.2246,5210.281,4168.2246,5210.281,4168.2246,5210,4168,5210,4168,5210,4168
73,5275.409,4220.327,5275.409,4220.327,5275.409,4220.327,5275,4220,5275,4220,5275,4220
74,5341.3516,4273.0815,5341.3516,4273.0815,5341.3516,4273.0815,5341,4273,5341,4273,5341,4273
75,5408.1187,4326.4946,5408.1187,4326.4946,5408.1187,4326.4946,5408,4326,5408,4326,5408,4326
76,5475.72,4380.576,5475.72,4380.576,5475.72,4380.576,5475,4380,5475,4380,5475,4380
77,5544.1665,4435.333,5544.1665,4435.333,5544.1665,4435.333,5544,4435,5544,4435,5544,4435
78,5613.4688,4490.775,5613.4688,4490.775,5613.4688,4490.775,5613,4490,5613,4490,5613,4490
79,5683.6367,4546.9097,5683.6367,4546.9097,5683.6367,4546.9097,5683,4546,5683,4546,5683,4546
80,5754.6826,4603.746,5754.6826,4603.746,5754.6826,4603.746,5754,4603,5754,4603,5754,4603
81,5826.6157,4661.293,5826.6157,4661.293,5826.6157,4661.293,5826,4661,5826,4661,5826,4661
82,5899.4487,4719.559,5899.4487,4719.559,5899.4487,4719.559,5899,4719,5899,4719,5899,4719
83,5973.192,4778.553,5973.192,4778.553,5973.192,4778.553,5973,4778,5973,4778,5973,4778
84,6047.8564,4838.285,6047.8564,4838.285,6047.8564,4838.285,6047,4838,6047,4838,6047,4838
85,6123.455,4898.7637,6123.455,4898.7637,6123.455,4898.7637,6123,4898,6123,4898,6123,4898
86,6199.998,4959.9985,6199.998,4959.9985,6199.998,4959.9985,6199,4959,6199,4959,6199,4959
87,6277.498,5021.9985,6277.498,5021.9985,6277.498,5021.9985,6277,5021,6277,5021,6277,5021
88,6355.967,5084.7734,6355.967,5084.7734,6355.967,5084.7734,6355,5084,6355,5084,6355,5084
89,6435.4165,5148.333,6435.4165,5148.333,6435.4165,5148.333,6435,5148,6435,5148,6435,5148
90,6515.859,5212.687,6515.859,5212.687,6515.859,5212.687,6515,5212,6515,5212,6515,5212
91,6597.307,5277.8457,6597.307,5277.8457,6597.307,5277.8457,6597,5277,6597,5277,6597,5277
92,6679.7734,5343.819,6679.7734,5343.819,6679.7734,5343.819,6679,5343,6679,5343,6679,5343
93,6763.271,5410.6167,6763.271,5410.6167,6763.271,5410.6167,6763,5410,6763,5410,6763,5410
94,6847.8115,5478.2495,6847.8115,5478.2495,6847.8115,5478.2495,6847,5478,6847,5478,6847,5478
95,6933.409,5546.7275,6933.409,5546.7275,6933.409,5546.7275,6933,5546,6933,5546,6933,5546
96,7020.077,5616.0615,7020.077,5616.0615,7020.077,5616.0615,7020,5616,7020,5616,7020,5616
97,7107.828,5686.262,7107.828,5686.262,7107.828,5686.262,7107,5686,7107,5686,7107,5686
98,7196.676,5757.341,7196.676,5757.341,7196.676,5757.341,7196,5757,7196,5757,7196,5757
99,7286.6343,5829.307,7286.6343,5829.307,7286.6343,5829.307,7286,5829,7286,5829,7286,5829
100,7377.7173,5902.174,7377.7173,5902.174,7377.7173,5902.174,7377,5902,7377,5902,7377,5902
