ID,Field_10_0_0_45454_000,Field_10_0_0_45454_001,Field_10_0_0_45454_002,Field_10_0_0_45454_003
1,2v2,0,0,-1
2,3v3,1,0,-1
3,rbg,3,0,-1
4,,4,0,-1
5,,5,0,-1
6,shuffle-mage-arcane,6,62,-1
7,shuffle-mage-fire,6,63,-1
8,shuffle-mage-frost,6,64,-1
9,shuffle-paladin-holy,6,65,-1
10,shuffle-paladin-protection,6,66,-1
11,shuffle-paladin-retribution,6,70,-1
12,shuffle-warrior-arms,6,71,-1
13,shuffle-warrior-fury,6,72,-1
14,shuffle-warrior-protection,6,73,-1
15,shuffle-druid-balance,6,102,-1
16,shuffle-druid-feral,6,103,-1
17,shuffle-druid-guardian,6,104,-1
18,shuffle-druid-restoration,6,105,-1
19,shuffle-deathknight-blood,6,250,-1
20,shuffle-deathknight-frost,6,251,-1
21,shuffle-deathknight-unholy,6,252,-1
22,shuffle-hunter-beastmastery,6,253,-1
23,shuffle-hunter-marksmanship,6,254,-1
24,shuffle-hunter-survival,6,255,-1
25,shuffle-priest-discipline,6,256,-1
26,shuffle-priest-holy,6,257,-1
27,shuffle-priest-shadow,6,258,-1
28,shuffle-rogue-assassination,6,259,-1
29,shuffle-rogue-outlaw,6,260,-1
30,shuffle-rogue-subtlety,6,261,-1
31,shuffle-shaman-elemental,6,262,-1
32,shuffle-shaman-enhancement,6,263,-1
33,shuffle-shaman-restoration,6,264,-1
34,shuffle-warlock-affliction,6,265,-1
35,shuffle-warlock-demonology,6,266,-1
36,shuffle-warlock-destruction,6,267,-1
37,shuffle-monk-brewmaster,6,268,-1
38,shuffle-monk-windwalker,6,269,-1
39,shuffle-monk-mistweaver,6,270,-1
40,shuffle-demonhunter-havoc,6,577,-1
41,shuffle-demonhunter-vengeance,6,581,-1
42,shuffle-evoker-devastation,6,1467,-1
43,shuffle-evoker-preservation,6,1468,-1
