ID,QuestID,AreaPoiID
1,78226,7940
2,78631,7911
3,78658,7911
4,78671,7911
5,78685,7911
6,78738,7911
7,78838,7911
8,78874,7911
9,78877,7911
10,78879,7911
11,78895,7911
12,78900,7911
13,78918,7911
15,79024,7911
16,79025,7911
18,79029,7911
19,79030,7911
20,79217,7911
21,79256,7911
22,79324,7911
24,79343,7911
25,79354,7911
26,79504,7911
27,79505,7911
28,79507,7911
29,79508,7911
30,79510,7911
31,79542,7911
32,79556,7911
33,79680,7911
34,79681,7911
35,79682,7911
36,79683,7911
37,80058,7911
38,80079,7911
39,80517,7911
40,81689,7911
41,81751,7911
42,81869,7911
43,81896,7911
44,81999,7911
45,82836,7911
46,82946,7911
47,83108,7911
48,83154,7911
49,83333,7911
50,84021,7911
51,84023,7911
52,84024,7911
53,84025,7911
