ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF[0],EpicF[1],EpicF[2],EpicF[3],EpicF[4],SuperiorF[0],SuperiorF[1],SuperiorF[2],SuperiorF[3],SuperiorF[4],GoodF[0],GoodF[1],GoodF[2],GoodF[3],GoodF[4],Epic[0],Epic[1],Epic[2],Epic[3],Epic[4],Superior[0],Superior[1],Superior[2],Superior[3],Superior[4],Good[0],Good[1],Good[2],Good[3],Good[4]
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.2060856,0.2060856,0,0,1.9784218,1.4838163,1.1128622,0.9892109,0.9892109,1.9784218,1.4838163,1.1128622,0.9892109,0.9892109,1.9784218,1.4838163,1.1128622,0.9892109,0.9892109,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
5,0.250654,0.250654,0,0,2.3633094,1.772482,1.3293614,1.1816547,1.1816547,2.3633094,1.772482,1.3293614,1.1816547,1.1816547,2.3633094,1.772482,1.3293614,1.1816547,1.1816547,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
6,0.29985613,0.29985613,0,0,2.7776148,2.0832112,1.5624083,1.3888074,1.3888074,2.7776148,2.0832112,1.5624083,1.3888074,1.3888074,2.7776148,2.0832112,1.5624083,1.3888074,1.3888074,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1
7,0.3538246,0.3538246,0,0,3.2210238,2.415768,1.8118259,1.6105119,1.6105119,3.2210238,2.415768,1.8118259,1.6105119,1.6105119,3.2210238,2.415768,1.8118259,1.6105119,1.6105119,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
8,0.4126944,0.4126944,0,0,3.693265,2.7699487,2.0774615,1.8466325,1.8466325,3.693265,2.7699487,2.0774615,1.8466325,1.8466325,3.693265,2.7699487,2.0774615,1.8466325,1.8466325,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1
9,0.47660252,0.47660252,0,0,4.1941023,3.1455767,2.3591824,2.0970511,2.0970511,4.1941023,3.1455767,2.3591824,2.0970511,2.0970511,4.1941023,3.1455767,2.3591824,2.0970511,2.0970511,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
10,0.548914,0.548914,0,0,4.7512555,3.5634418,2.6725814,2.3756278,2.3756278,4.7512555,3.5634418,2.6725814,2.3756278,2.3756278,4.7512555,3.5634418,2.6725814,2.3756278,2.3756278,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
