ID,RecipeProgressionGroupID,SkillLineAbilityID,Order,RequiredRecipeExperience,EarnedExperienceMask,Field_9_0_1_35256_005
1,1,42517,0,0,25,0
2,1,45223,1,75,50,0
3,1,45239,2,225,75,0
4,1,45607,3,450,125,0
5,2,42512,0,0,25,0
6,2,45218,1,75,50,0
7,2,45234,2,225,75,0
8,2,45602,3,450,125,0
9,3,42514,0,0,25,0
10,3,45220,1,75,50,0
11,3,45236,2,225,75,0
12,3,45604,3,450,125,0
13,4,42513,0,0,25,0
14,4,45219,1,75,50,0
15,4,45235,2,225,75,0
16,4,45603,3,450,125,0
17,5,42515,0,0,25,0
18,5,45221,1,75,50,0
19,5,45237,2,225,75,0
20,5,45605,3,450,125,0
21,6,42510,0,0,25,0
22,6,45216,1,75,50,0
23,6,45232,2,225,75,0
24,6,45601,3,450,125,0
25,7,42511,0,0,25,0
26,7,45217,1,75,50,0
27,7,45233,2,225,75,0
28,7,45600,3,450,125,0
29,8,42516,0,0,25,0
30,8,45222,1,75,50,0
31,8,45238,2,225,75,0
32,8,45606,3,450,125,0
33,9,42858,0,0,25,0
34,9,45251,1,75,50,0
35,9,45260,2,225,75,0
36,9,45615,3,450,125,0
37,10,42857,0,0,25,0
38,10,45252,1,75,50,0
39,10,45261,2,225,75,0
40,10,45616,3,450,125,0
41,11,42863,0,0,25,0
42,11,45246,1,75,50,0
43,11,45255,2,225,75,0
44,11,45608,3,450,125,0
45,12,42861,0,0,25,0
46,12,45248,1,75,50,0
47,12,45257,2,225,75,0
48,12,45612,3,450,125,0
49,13,42862,0,0,25,0
50,13,45247,1,75,50,0
51,13,45256,2,225,75,0
52,13,45611,3,450,125,0
53,14,42860,0,0,25,0
54,14,45249,1,75,50,0
55,14,45258,2,225,75,0
56,14,45613,3,450,125,0
57,15,42864,0,0,25,0
58,15,45245,1,75,50,0
59,15,45254,2,225,75,0
60,15,45609,3,450,125,0
61,16,42856,0,0,25,0
62,16,45244,1,75,50,0
63,16,45253,2,225,75,0
64,16,45610,3,450,125,0
65,17,42859,0,0,25,0
66,17,45250,1,75,50,0
67,17,45259,2,225,75,0
68,17,45614,3,450,125,0
69,18,42388,0,0,25,0
70,18,45192,1,75,50,0
71,18,45200,2,225,75,0
72,18,45589,3,450,125,0
73,19,42381,0,0,25,0
74,19,45199,1,75,50,0
75,19,45207,2,225,75,0
76,19,45582,3,450,125,0
77,20,42383,0,0,25,0
78,20,45197,1,75,50,0
79,20,45205,2,225,75,0
80,20,45584,3,450,125,0
81,21,42385,0,0,25,0
82,21,45195,1,75,50,0
83,21,45203,2,225,75,0
84,21,45586,3,450,125,0
85,22,42384,0,0,25,0
86,22,45196,1,75,50,0
87,22,45204,2,225,75,0
88,22,45585,3,450,125,0
89,23,42386,0,0,25,0
90,23,45194,1,75,50,0
91,23,45202,2,225,75,0
92,23,45587,3,450,125,0
93,24,42382,0,0,25,0
94,24,45198,1,75,50,0
95,24,45206,2,225,75,0
96,24,45583,3,450,125,0
97,25,42387,0,0,25,0
98,25,45193,1,75,50,0
99,25,45201,2,225,75,0
100,25,45588,3,450,125,0
101,26,44871,0,0,25,0
102,26,45241,1,75,50,0
103,26,45243,2,225,75,0
104,26,45590,3,450,125,0
105,27,44870,0,0,25,0
106,27,45240,1,75,50,0
107,27,45242,2,225,75,0
108,27,45591,3,450,125,0
109,28,42509,0,0,25,0
110,28,45215,1,75,50,0
111,28,45231,2,225,75,0
112,28,45599,3,450,125,0
113,29,42504,0,0,25,0
114,29,45210,1,75,50,0
115,29,45226,2,225,75,0
116,29,45594,3,450,125,0
117,30,42505,0,0,25,0
118,30,45211,1,75,50,0
119,30,45227,2,225,75,0
120,30,45595,3,450,125,0
121,31,42506,0,0,25,0
122,31,45212,1,75,50,0
123,31,45228,2,225,75,0
124,31,45596,3,450,125,0
125,32,42507,0,0,25,0
126,32,45213,1,75,50,0
127,32,45229,2,225,75,0
128,32,45597,3,450,125,0
129,33,42502,0,0,25,0
130,33,45208,1,75,50,0
131,33,45224,2,225,75,0
132,33,45593,3,450,125,0
133,34,42503,0,0,25,0
134,34,45209,1,75,50,0
135,34,45225,2,225,75,0
136,34,45592,3,450,125,0
137,35,42508,0,0,25,0
138,35,45214,1,75,50,0
139,35,45230,2,225,75,0
140,35,45598,3,450,125,0
