ID,ItemID,ItemQuantity,RewardPackID
21,134026,1,17
22,134026,1,19
23,140228,1,4
29,133804,1,27
30,141889,1,2
39,139777,1,40
40,140233,1,41
41,140408,1,42
42,140232,1,43
43,140230,1,44
44,140407,1,45
45,134031,1,46
46,134032,1,47
47,134034,1,48
48,140452,1,49
49,140453,1,50
50,140454,1,51
52,147351,1,56
53,139020,1,58
55,124124,1,60
56,143786,1,61
57,139026,1,62
58,139024,1,63
59,139023,1,64
60,139025,1,65
61,139021,1,66
62,139467,1,67
63,140152,1,68
64,139484,1,69
65,139486,1,70
66,139487,1,71
67,139488,1,72
68,140148,1,73
69,140154,1,74
70,140150,1,75
74,141028,1,87
76,141154,1,93
97,139879,1,118
99,163036,20,59
104,146939,1,126
107,142247,1,236
109,142553,1,238
110,142554,1,239
111,137642,1,240
113,143561,1,242
114,143590,1,243
116,163036,5,121
117,143786,1,245
118,143844,1,246
119,142381,1,247
121,147905,1,299
122,147203,1,398
123,137642,30,399
226,183993,1,716
227,183994,1,716
228,183995,1,716
229,183996,1,716
230,183997,1,716
231,183998,1,716
232,183999,1,716
233,184000,1,716
234,184001,1,716
235,184002,1,716
236,184003,1,717
237,184004,1,717
238,184005,1,717
239,184006,1,717
240,184007,1,717
241,184008,1,717
242,184009,1,717
243,184010,1,717
244,184011,1,717
245,184012,1,717
