ID,SoundParameterID,GameParameterID,CurveID,Field_9_0_1_33978_004,SoundKitID
1774,1,20,69378,10,233590
1775,1,20,69378,10,233591
1776,1,20,69378,10,233592
1777,1,20,69378,10,233593
1778,1,20,69378,10,233594
1779,1,20,69378,10,233595
2898,29,26,83397,1000,282812
2899,29,26,83397,1000,283041
2901,29,26,83397,1000,283585
2902,29,26,83397,1000,283586
3085,1,11,87325,100,283055
3086,1,11,87325,100,283055
3087,1,11,87325,100,283055
3088,1,11,87325,100,283055
3089,1,11,87325,100,283055
3090,1,11,87325,100,283055
3091,1,11,87325,100,283055
3092,1,11,87325,100,283055
3093,1,11,87325,100,283055
3132,29,26,83397,1000,290624
3167,29,26,83397,1000,292197
3168,29,26,83397,1000,292199
3169,29,26,83397,1000,292201
3170,29,26,83397,1000,292203
3171,29,26,83397,1000,292205
3172,29,26,83397,1000,292207
3173,29,26,83397,1000,292209
3174,29,26,83397,1000,292235
3178,29,26,83397,1000,292496
3179,29,26,83397,1000,292498
3180,29,26,83397,1000,292500
3181,29,26,83397,1000,292502
3182,29,26,83397,1000,292504
3183,29,26,83397,1000,292507
3203,29,26,83397,1000,294420
3204,29,26,83397,1000,294421
3205,29,26,83397,1000,294422
3206,29,26,83397,1000,294423
3207,29,26,83397,1000,294425
3208,29,26,83397,1000,294427
3209,29,26,83397,1000,294429
3210,29,26,83397,1000,294432
3211,29,26,83397,1000,294625
3212,29,26,83397,1000,294626
3213,29,26,83397,1000,294627
3214,29,26,83397,1000,294628
3215,29,26,83397,1000,294630
3216,29,26,83397,1000,294632
3217,29,26,83397,1000,294634
3218,29,26,83397,1000,294636
3219,29,26,83397,1000,294638
3220,29,26,83397,1000,294640
3221,29,26,83397,1000,294642
3222,29,26,83397,1000,294644
3224,29,26,83397,1000,294984
3225,29,26,83397,1000,294985
3226,29,26,83397,1000,294986
3227,29,26,83397,1000,294987
3228,29,26,83397,1000,294988
3229,29,26,83397,1000,294989
3230,29,26,83397,1000,294990
3231,29,26,83397,1000,294991
3232,29,26,83397,1000,294992
3233,29,26,83397,1000,294993
3292,29,26,83397,1000,295185
3293,29,26,83397,1000,295187
3294,29,26,83397,1000,295189
3298,29,26,83397,1000,295198
3299,29,26,83397,1000,295221
3306,29,26,83397,1000,295400
3307,29,26,83397,1000,295401
3308,29,26,83397,1000,295402
3309,29,26,83397,1000,295403
3310,29,26,83397,1000,295404
3326,29,26,83397,1000,295651
3327,29,26,83397,1000,295655
3328,29,26,83397,1000,295656
3329,29,26,83397,1000,295657
3330,29,26,83397,1000,295658
3331,29,26,83397,1000,295659
3348,29,26,83397,1000,295937
3349,29,26,83397,1000,295938
3350,29,26,83397,1000,295939
3351,29,26,83397,1000,295940
3352,29,26,83397,1000,295941
3357,29,26,83397,1000,296225
3358,29,26,83397,1000,296227
3359,29,26,83397,1000,296228
3360,29,26,83397,1000,296229
3361,29,26,83397,1000,296230
3362,29,26,83397,1000,296231
3363,29,26,83397,1000,296232
3364,29,26,83397,1000,296233
3365,29,26,83397,1000,296234
3368,29,26,83397,1000,296284
3369,29,26,83397,1000,296285
3371,29,26,83397,1000,296296
3384,29,26,83397,1000,296669
3385,29,26,83397,1000,296670
3386,29,26,83397,1000,296671
3387,29,26,83397,1000,296672
3388,29,26,83397,1000,296673
3393,29,26,83397,1000,297317
3394,29,26,83397,1000,297318
3395,29,26,83397,1000,297319
3396,29,26,83397,1000,297320
3475,29,26,83397,1000,310485
3476,29,26,83397,1000,310486
3477,29,26,83397,1000,310487
3478,29,26,83397,1000,310488
3487,29,26,83397,1000,310780
3488,29,26,83397,1000,310781
3489,29,26,83397,1000,310782
3490,29,26,83397,1000,310783
3491,29,26,83397,1000,310784
3492,29,26,83397,1000,310785
3493,29,26,83397,1000,310786
3494,29,26,83397,1000,310796
3495,29,26,83397,1000,310797
3496,29,26,83397,1000,310798
3497,29,26,83397,1000,310799
3504,29,26,83397,1000,311088
3505,29,26,83397,1000,311089
3506,29,26,83397,1000,311090
3507,29,26,83397,1000,311091
3508,29,26,83397,1000,311092
3509,29,26,83397,1000,311285
3510,29,26,83397,1000,311287
3511,29,26,83397,1000,311289
3512,29,26,83397,1000,311291
3513,29,26,83397,1000,311293
3514,29,26,83397,1000,311295
3515,29,26,83397,1000,311297
3554,29,26,83397,1000,312468
3555,29,26,83397,1000,312470
3556,29,26,83397,1000,312472
3557,29,26,83397,1000,312474
3558,29,26,83397,1000,312476
3559,29,26,83397,1000,312478
3699,29,26,83397,1000,313203
3700,29,26,83397,1000,313204
3701,29,26,83397,1000,313205
3702,29,26,83397,1000,313206
3703,29,26,83397,1000,313207
3757,1,14,94117,100,315222
3758,1,14,94117,100,315224
3759,1,14,94117,100,315225
3760,1,14,94117,100,315226
3762,1,14,94117,500,315232
3763,1,14,94117,100,315297
3764,1,14,94117,100,315298
3765,1,14,94117,100,315303
3766,29,26,83397,1000,315702
3767,29,26,83397,1000,315703
3768,29,26,83397,1000,315704
3769,29,26,83397,1000,315705
3770,29,26,83397,1000,315706
3771,29,26,83397,1000,315707
3772,29,26,83397,1000,315708
3773,29,26,83397,1000,315805
3774,29,26,83397,1000,315806
3775,29,26,83397,1000,315807
3776,29,26,83397,1000,315808
3777,1,14,94117,500,315823
3778,1,14,94117,500,315824
3779,1,14,94117,500,315825
3780,1,14,94117,500,315826
3781,1,14,94117,500,315828
3782,1,14,94117,500,315829
3783,1,14,94117,500,315831
3784,1,14,94117,500,315832
3785,1,14,94117,500,315833
3786,1,14,94117,500,315842
3792,1,14,94117,500,315940
3793,1,14,94117,500,315941
3794,1,14,94447,500,315943
3795,1,14,94447,250,315944
3796,1,14,94447,250,315945
3797,1,14,94117,500,315946
3798,1,14,94117,500,315947
3799,1,14,94117,500,315954
3800,1,14,94117,500,315955
3801,1,14,94117,500,315956
3802,1,14,94117,500,315957
3803,1,14,94117,500,315958
3804,1,14,94117,500,315959
3805,1,14,94117,500,315960
3806,1,14,94117,500,315963
3807,1,14,94117,500,315964
3808,1,14,94117,500,315965
3809,1,14,94117,500,315966
3810,1,14,94117,500,315967
3811,1,14,94117,500,315968
3813,1,14,94117,500,315970
3814,1,14,94117,500,315971
3815,1,14,94117,500,315973
3817,1,14,94117,500,315976
3818,1,14,94117,500,315977
3820,1,14,94447,250,316001
3823,1,14,94117,500,316410
3825,1,14,94117,500,316490
3826,1,14,94117,500,316646
3827,1,14,94117,500,316648
3831,1,14,94117,100,317034
3832,1,14,94117,100,317035
3836,29,26,83397,1000,317211
3837,29,26,83397,1000,317212
3838,29,26,83397,1000,317214
3839,29,26,83397,1000,317215
3840,29,26,83397,1000,317216
3841,29,26,83397,1000,317217
3854,1,14,94447,250,317303
3998,1,14,94447,250,319612
4001,29,26,83397,1000,319754
4002,29,26,83397,1000,319755
4003,29,26,83397,1000,319756
4004,29,26,83397,1000,319760
4013,29,26,83397,1000,319864
4014,29,26,83397,1000,319865
4015,29,26,83397,1000,319866
4016,29,26,83397,1000,319867
4030,29,26,83397,1000,319960
4031,29,26,83397,1000,319961
4032,29,26,83397,1000,319962
4033,29,26,83397,1000,319963
4034,29,26,83397,1000,319977
4035,29,26,83397,1000,319978
4036,29,26,83397,1000,319980
4037,29,26,83397,1000,319981
4054,1,14,94117,500,320187
4120,29,26,83397,1000,321172
4121,29,26,83397,1000,321173
4122,29,26,83397,1000,321174
4123,29,26,83397,1000,321175
4124,29,26,83397,1000,321176
4125,29,26,83397,1000,321177
4126,29,26,83397,1000,321178
4127,29,26,83397,1000,321179
4128,29,26,83397,1000,321180
4129,29,26,83397,1000,321181
4130,29,26,83397,1000,321182
4131,29,26,83397,1000,321183
4132,29,26,83397,1000,321184
4133,29,26,83397,1000,321185
4134,29,26,83397,1000,321584
4135,29,26,83397,1000,321593
4136,29,26,83397,1000,321594
4137,29,26,83397,1000,321595
4138,29,26,83397,1000,321596
4139,29,26,83397,1000,321597
4140,29,26,83397,1000,321598
4859,1,14,94447,1000,341992
4860,1,14,94447,1000,342004
4861,1,14,94447,1000,342054
4862,1,14,94447,1000,342055
4878,1,14,94447,500,342215
4879,1,14,94447,500,342216
4880,1,14,94447,500,342217
4881,1,14,94447,500,342218
4882,1,14,94447,500,342219
4883,1,14,94447,500,342222
4884,1,14,94447,500,342223
4885,1,14,94447,500,342224
4886,1,14,94117,500,342225
4887,1,14,94447,500,342226
4888,1,14,94117,500,342227
4889,1,14,94117,500,342228
4890,1,14,94117,500,342229
4891,1,14,94447,500,342230
4892,1,14,94447,500,342231
4893,1,14,94447,250,342250
4894,1,14,94447,250,342251
4897,1,14,94117,100,342257
4898,1,14,94117,500,342436
4899,1,14,94447,500,342428
4900,1,14,94447,500,342434
4901,1,14,94447,500,342439
4902,1,14,94447,500,342437
4903,1,14,94447,500,342432
4904,1,14,94447,500,342431
4905,1,14,94447,500,342429
4906,1,14,94447,500,342435
4907,1,14,94447,500,342443
4908,1,14,94447,500,342444
4909,1,14,94447,500,342445
4910,1,14,94447,500,342446
4914,1,14,100715,500,342623
4915,1,14,100715,500,342624
4916,1,14,94117,500,342625
4917,1,14,94447,500,342714
4918,1,14,94447,500,342727
4919,1,14,94447,500,342728
4920,1,14,94447,500,342731
4921,1,14,94447,500,342732
4922,1,14,94447,500,342733
4923,1,14,94447,500,342734
4927,1,14,94447,500,342914
4928,1,14,94117,500,343182
4929,29,26,83397,1000,343183
4930,29,26,83397,1000,343185
4931,29,26,83397,1000,343187
4932,29,26,83397,1000,343189
4935,1,14,94447,500,343312
4936,1,14,94447,500,343314
4937,1,14,94117,500,343329
4938,1,14,94447,500,343333
4939,1,14,94117,500,343344
4940,1,14,94447,500,343346
4941,1,14,94117,500,343347
4942,1,14,94447,500,343351
4943,1,14,94447,500,343352
4944,1,14,94117,100,343362
4945,1,14,94117,100,343363
4946,1,14,94117,100,343364
4947,29,26,83397,1000,343405
4948,29,26,83397,1000,343406
4949,29,26,83397,1000,343407
4950,29,26,83397,1000,343408
4951,1,14,94447,500,343437
4952,1,14,94447,500,343442
4953,1,14,94447,500,343443
4954,1,14,94447,500,343459
4955,1,14,94117,500,343602
4956,1,14,94117,500,343604
4957,1,14,94117,500,343603
4959,29,26,83397,1000,343711
4960,29,26,83397,1000,343713
4961,29,26,83397,1000,343715
4962,29,26,83397,1000,343717
4963,1,14,94447,500,343974
4964,1,14,94447,500,343975
4965,1,14,94447,500,343976
4968,1,14,94447,500,344076
4995,1,14,94447,200,345935
4996,1,14,94117,150,346130
4997,1,14,94117,150,346131
4998,1,14,94447,150,346126
4999,1,14,94447,150,346129
5000,1,14,94447,150,346146
5012,29,26,83397,1000,346407
5013,29,26,83397,1000,346408
5014,29,26,83397,1000,346417
5015,29,26,83397,1000,346418
5016,29,26,83397,1000,346419
5017,29,26,83397,1000,346420
5018,29,26,83397,1000,346423
5019,29,26,83397,1000,346424
5020,29,26,83397,1000,346425
5021,29,26,83397,1000,346426
5022,29,26,83397,1000,346427
5023,29,26,83397,1000,346428
5024,29,26,83397,1000,346429
5025,29,26,83397,1000,346430
5026,29,26,83397,1000,346431
5027,29,26,83397,1000,346433
5028,29,26,83397,1000,346437
5029,29,26,83397,1000,346438
5030,29,26,83397,1000,346439
5031,29,26,83397,1000,346440
5032,29,26,83397,1000,346441
5033,29,26,83397,1000,346442
5034,29,26,83397,1000,346444
5035,29,26,83397,1000,346445
5036,29,26,83397,1000,346447
5037,29,26,83397,1000,346448
5039,29,26,83397,1000,346516
5040,29,26,83397,1000,346518
5041,29,26,83397,1000,346520
5042,29,26,83397,1000,346522
5043,29,26,83397,1000,346524
5044,29,26,83397,1000,346526
5045,29,26,83397,1000,346528
5046,29,26,83397,1000,346530
5050,1,14,94447,500,346543
5051,1,14,94447,500,346544
5052,1,14,94447,500,346545
5059,29,26,83397,1000,346557
5060,29,26,83397,1000,346558
5061,29,26,83397,1000,346560
5062,1,14,94447,500,346561
5063,29,26,83397,1000,346562
5069,1,14,94447,500,346876
5071,1,14,94447,500,346945
5072,1,14,94447,500,346955
5091,1,14,94447,500,347532
5092,1,14,94447,500,347536
5093,1,14,94447,500,347547
5094,1,14,94447,500,347557
5095,1,14,94447,500,347558
5096,1,14,94447,500,347559
5097,1,14,94447,500,347562
5098,1,14,94447,500,347563
5099,1,14,94447,500,347564
5100,1,14,94447,500,347585
5101,1,14,94447,500,347628
5102,1,14,94447,500,347635
5103,1,14,94447,500,347642
5104,1,14,94447,500,347643
5105,1,14,103113,0,347776
5106,1,14,94447,500,347788
5107,1,14,94447,500,347789
5108,1,14,94447,1000,347791
5109,1,14,94447,1000,347792
5110,1,14,94447,1000,347795
5111,1,14,94447,500,347841
5126,1,14,94117,500,347966
5127,1,14,94117,500,347967
5128,1,14,94117,500,347968
5129,1,14,94117,500,347969
5130,1,14,94117,500,347970
5131,1,14,94117,500,347971
5132,1,14,94117,500,347972
5133,1,14,94117,500,347973
5134,1,14,94117,500,347974
5135,29,26,83397,1000,348060
5136,29,26,83397,1000,348063
5137,29,26,83397,1000,348064
5138,29,26,83397,1000,348066
5139,29,26,83397,1000,348068
5140,29,26,83397,1000,348069
5141,29,26,83397,1000,348091
5142,29,26,83397,1000,348092
5143,29,26,83397,1000,348093
5144,29,26,83397,1000,348094
5145,29,26,83397,1000,348095
5146,29,26,83397,1000,348099
5147,29,26,83397,1000,348100
5148,29,26,83397,1000,348101
5149,29,26,83397,1000,348102
5150,29,26,83397,1000,348103
5151,29,26,83397,1000,348104
5152,29,26,83397,1000,348105
5153,29,26,83397,1000,348107
5154,29,26,83397,1000,348108
5155,29,26,83397,1000,348110
5156,29,26,83397,1000,348111
5157,29,26,83397,1000,348112
5158,29,26,83397,1000,348113
5159,29,26,83397,1000,348114
5160,29,26,83397,1000,348116
5161,29,26,83397,1000,348117
5162,29,26,83397,1000,348118
5163,29,26,83397,1000,348119
5164,29,26,83397,1000,348120
5165,29,26,83397,1000,348121
5166,29,26,83397,1000,348122
5167,29,26,83397,1000,348123
5168,29,26,83397,1000,348124
5169,29,26,83397,1000,348125
5170,29,26,83397,1000,348126
5171,29,26,83397,1000,348127
5172,29,26,83397,1000,348128
5173,29,26,83397,1000,348129
5174,29,26,83397,1000,348130
5175,29,26,83397,1000,348131
5176,29,26,83397,1000,348132
5177,29,26,83397,1000,348133
5178,29,26,83397,1000,348134
5179,29,26,83397,1000,348135
5180,29,26,83397,1000,348136
5181,29,26,83397,1000,348137
5182,29,26,83397,1000,348138
5183,29,26,83397,1000,348139
5184,29,26,83397,1000,348140
5185,29,26,83397,1000,348141
5186,29,26,83397,1000,348142
5187,29,26,83397,1000,348144
5188,29,26,83397,1000,348146
5189,29,26,83397,1000,348147
5190,29,26,83397,1000,348148
5191,29,26,83397,1000,348149
5192,29,26,83397,1000,348150
5193,29,26,83397,1000,348151
5194,29,26,83397,1000,348152
5195,29,26,83397,1000,348153
5196,29,26,83397,1000,348154
5197,29,26,83397,1000,348155
5198,29,26,83397,1000,348156
5199,29,26,83397,1000,348157
5200,29,26,83397,1000,348158
5201,29,26,83397,1000,348159
5202,29,26,83397,1000,348160
5203,29,26,83397,1000,348161
5204,29,26,83397,1000,348162
5205,29,26,83397,1000,348163
5206,29,26,83397,1000,348164
5207,29,26,83397,1000,348165
5208,29,26,83397,1000,348166
5209,29,26,83397,1000,348167
5210,29,26,83397,1000,348168
5211,29,26,83397,1000,348169
5212,29,26,83397,1000,348170
5213,29,26,83397,1000,348171
5214,29,26,83397,1000,348172
5215,29,26,83397,1000,348173
5216,29,26,83397,1000,348241
5217,29,26,83397,1000,348242
5218,29,26,83397,1000,348244
5219,29,26,83397,1000,348245
5220,29,26,83397,1000,348247
5221,29,26,83397,1000,348248
5222,29,26,83397,1000,348249
5223,29,26,83397,1000,348252
5224,29,26,83397,1000,348253
5225,29,26,83397,1000,348254
5226,29,26,83397,1000,348256
5227,29,26,83397,1000,348257
5228,29,26,83397,1000,348259
5229,29,26,83397,1000,348260
5230,29,26,83397,1000,348262
5231,29,26,83397,1000,348264
5232,29,26,83397,1000,348265
5233,29,26,83397,1000,348266
5234,29,26,83397,1000,348267
5235,29,26,83397,1000,348269
5236,29,26,83397,1000,348270
5237,29,26,83397,1000,348271
5238,29,26,83397,1000,348273
5240,29,26,83397,1000,348275
5241,29,26,83397,1000,348276
5242,29,26,83397,1000,348277
5243,29,26,83397,1000,348278
5244,29,26,83397,1000,348279
5245,29,26,83397,1000,348280
5246,29,26,83397,1000,348281
5247,29,26,83397,1000,348282
5248,29,26,83397,1000,348283
5249,29,26,83397,1000,348284
5250,29,26,83397,1000,348285
5251,29,26,83397,1000,348286
5252,29,26,83397,1000,348287
5253,29,26,83397,1000,348288
5254,29,26,83397,1000,348289
5255,29,26,83397,1000,348290
5256,29,26,83397,1000,348292
5257,29,26,83397,1000,348293
5258,29,26,83397,1000,348294
5259,29,26,83397,1000,348296
5260,29,26,83397,1000,348298
5261,29,26,83397,1000,348299
5262,29,26,83397,1000,348300
5263,29,26,83397,1000,348301
5264,29,26,83397,1000,348302
5267,29,26,83397,1000,348360
5268,29,26,83397,1000,348366
5269,29,26,83397,1000,348370
5270,29,26,83397,1000,348380
5271,29,26,83397,1000,348385
5272,29,26,83397,1000,348396
5273,1,14,94447,150,348394
5274,1,14,94447,150,348395
5275,1,14,94447,150,348404
5276,29,26,83397,1000,348425
5278,1,14,94447,150,348440
5292,1,14,94117,150,349049
5293,1,14,94117,150,349050
5294,1,14,100715,100,349056
5295,1,14,100715,100,349057
5296,1,14,94447,150,349070
5297,1,14,94447,500,349073
5298,1,14,94447,500,349075
5299,1,14,94447,150,349089
5300,1,14,94447,500,349234
5301,1,14,94447,500,349235
5302,1,14,94447,500,349236
5303,1,14,94447,500,349237
5304,1,14,100715,150,348667
5305,1,14,100715,150,348668
5306,1,14,100715,500,349314
5318,29,26,83397,1000,349672
5319,29,26,83397,1000,349675
5320,29,26,83397,1000,349679
5321,29,26,83397,1000,349717
5322,29,26,83397,1000,349722
5323,29,26,83397,1000,349725
5326,1,14,94447,500,350073
5400,1,14,100715,250,353442
5408,1,14,103113,500,354307
5409,1,14,103113,1000,354492
5438,1,14,94117,1000,355115
5439,1,14,94447,500,355443
5453,1,14,100715,100,357560
5528,1,14,94447,500,361345
5529,1,14,94447,500,361344
5530,29,26,83397,1000,361381
5549,1,14,94447,500,362921
5550,1,14,94447,500,362922
7533,1,14,94447,250,366568
7534,1,14,94447,250,366565
7535,1,14,94447,150,294591
7537,1,14,94447,150,366814
7538,1,14,94447,150,366816
7539,1,14,94447,150,366831
7540,1,14,94117,2222,366864
7545,1,11,112054,2000,366813
7546,1,14,100715,1000,366924
7547,1,11,112054,2000,366924
7548,1,14,100715,1000,366926
7549,1,11,112054,2000,366926
7550,1,14,100715,1000,366927
7551,1,11,112054,2000,366927
7552,1,14,94117,150,367081
7614,1,14,100715,1000,367954
7615,1,14,100715,1000,367953
7616,1,14,100715,1000,367955
7773,1,14,94447,1000,370672
7775,1,14,94117,500,371089
7776,1,14,94117,500,371096
