ID,Name,Param[0],Param[1],Param[2],Param[3],Effect,FullScreenEffectID,LightParamsID,LightParamsFadeIn,LightParamsFadeOut,SoundAmbienceID,ZoneMusicID,TimeOfDayOverride,EffectMask,LightFlags
1,Ghost Screen Effect,0,0,0,0,1,0,0,0,0,462,36,-1,13,0
21,Arthas Memory Events,-1023410176,4,0,0,3,0,0,0,0,0,0,-1,-1,0
41,Borean Tundra - Mist of the Kvaldir,-1,6,40,0,3,0,0,0,0,0,0,-1,-1,0
43,ZP - Zombie-Vision,-939589632,4,0,0,3,0,0,0,0,0,0,-1,-1,0
61,BOTM - Jungle Madness,-864698789,2,25,0,3,0,0,0,0,0,0,-1,-1,0
81,Invis Screen Effect,0,0,0,0,2,0,0,0,0,462,36,-1,-1,0
82,Zul'Drak - Altar of Quetz'lun - ELM,0,0,0,0,1,0,0,0,0,462,36,-1,-1,0
101,Quest - Eye of Acherus,-184549376,4,0,0,3,0,0,0,0,0,0,-1,-1,0
121,Quest - Invis Screen Effect,0,0,0,0,2,0,0,0,0,462,36,-1,-1,0
122,Quest - Ghost Screen Effect,0,0,0,0,1,0,0,0,0,462,36,-1,-1,0
123,Quest - Realm of Shadows,-2062348516,1,60,0,3,0,0,0,0,0,0,-1,-1,0
141,Ebon Hold - Chapter II Skybox (DND),0,0,0,0,0,0,775,0,0,472,449,-1,-1,0
161,CoT Stratholme - Time Warp,-7574272,8,40,0,3,0,0,0,0,0,0,-1,-1,0
181,Ebon HOld - Chapter IV - Finale,0,0,0,0,0,0,0,0,0,474,452,-1,-1,0
201,Ebon Hold - Transition,-16777216,1,100,0,3,0,0,0,0,0,0,-1,-1,0
221,Howling Fjord - Echo of Ymiron,0,0,0,0,2,0,0,0,0,0,0,-1,-1,0
222,DrakTharon - Skeleton Form,-6420736,4,10,0,3,0,0,0,0,0,0,-1,-1,0
242,Quest - Iron Colossus Battle (Skybox),0,0,0,0,0,0,810,0,0,0,0,-1,-1,0
262,Icecrown - Argent Skytalon,-1787661710,9,0,0,3,0,0,0,0,0,209,-1,-1,0
282,Icecrown - Emerald Nightmare,-872349952,2,25,0,3,0,0,0,0,28,0,-1,-1,0
302,Icecrown - Argent Defenders,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
322,Ebon Hold - Chapter III,0,0,0,0,0,0,0,0,0,473,452,-1,-1,0
342,Dragonblight - World of Shadows,0,0,0,0,2,0,0,0,0,474,452,-1,-1,0
362,Icecrown - Naz'anak,3355442,200,20,0,3,0,0,0,0,0,0,-1,-1,0
382,Icecrown Bomber - See Cloak Dome,1941958144,2,0,0,3,0,0,0,0,0,0,-1,-1,0
402,Icecrown - Sniper Rifle,0,8,30,0,3,0,0,0,0,0,0,-1,-1,0
422,CoA Black - Twilight Shift,-176267558,4,0,0,3,0,0,0,0,0,0,-1,-1,0
442,Ebon Hold - Chapter IV Skybox (DND),0,0,0,0,0,0,0,0,0,472,502,-1,13,0
462,Drakil'jin Death,0,0,0,0,1,0,0,0,0,462,36,-1,-1,0
482,Ulduar Raid - Worm Hole,0,0,0,0,1,0,0,0,0,0,36,-1,-1,0
502,Ulduar Raid - Phase Punch Effect 01,-1,12,60,0,3,0,0,0,0,0,0,-1,-1,0
602,Hrothgar's Landing - Mist of the Kvaldir,-1,8,40,0,3,0,0,0,0,0,0,-1,-1,0
743,Icecrown Raid - Gushing Wound Screen,-6420736,4,10,0,3,0,0,0,0,0,0,-1,-1,0
744,Icecrown Raid - Swarming Shadows,-946974528,4,0,0,3,0,0,0,0,0,0,-1,-1,0
747,Ruby Sanctum - Twilight Shift,-176267558,4,0,0,3,0,0,0,0,505,0,-1,-1,0
756,CC Prologue - ET - Big Battle,0,0,0,0,0,0,0,0,0,0,574,-1,-1,0
757,CC Prologue - ET - Med Battle,0,0,0,0,0,0,0,0,0,0,572,-1,-1,0
758,CC Prologue - ET - Magic,0,0,0,0,0,0,0,0,0,0,573,-1,-1,0
759,CC Prologue - ET - Quiet,0,0,0,0,0,0,0,0,0,0,571,-1,-1,0
760,CC Prologue - ET - Rally,0,0,0,0,0,0,0,0,0,0,570,-1,-1,0
1913,Invis Screen Effect,0,0,100,0,2,0,0,0,0,0,0,-1,3,0
2083,Generic - Fade to Black - 1/1 sec,0,1000,1000,0,4,0,0,0,0,0,0,-1,1,0
