ID,RankIndex,SpellID,AuraPointsOverride,SoulbindConduitID
10,0,334993,-20000,5
11,1,334993,-22000,5
12,2,334993,-24000,5
13,3,334993,-26000,5
14,4,334993,-28000,5
15,5,334993,-30000,5
16,6,334993,-32000,5
17,7,334993,-34000,5
18,8,334993,-36000,5
19,9,334993,-38000,5
20,10,334993,-40000,5
21,11,334993,-42000,5
22,12,334993,-44000,5
23,13,334993,-46000,5
24,14,334993,-48000,5
26,0,335010,4,7
27,1,335010,4.4,7
28,2,335010,4.8,7
29,3,335010,5.2,7
30,4,335010,5.6,7
31,5,335010,6,7
32,6,335010,6.4,7
33,7,335010,6.8,7
34,8,335010,7.2,7
35,9,335010,7.6,7
36,10,335010,8,7
37,11,335010,8.4,7
38,12,335010,8.8,7
39,13,335010,9.2,7
40,14,335010,9.6,7
41,0,335034,20,8
42,1,335034,22,8
43,2,335034,24,8
44,3,335034,26,8
45,4,335034,28,8
46,5,335034,30,8
47,6,335034,32,8
48,7,335034,34,8
49,8,335034,36,8
50,9,335034,38,8
51,10,335034,40,8
52,11,335034,42,8
53,12,335034,44,8
54,13,335034,46,8
55,14,335034,48,8
58,0,335196,-8,9
59,1,335196,-9,9
60,2,335196,-10,9
61,3,335196,-11,9
62,4,335196,-12,9
63,5,335196,-13,9
64,6,335196,-14,9
65,7,335196,-15,9
66,8,335196,-16,9
67,9,335196,-17,9
68,10,335196,-18,9
69,11,335196,-19,9
70,12,335196,-20,9
71,13,335196,-21,9
72,14,335196,-22,9
73,0,347213,15,10
74,1,347213,16.5,10
75,2,347213,18,10
76,3,347213,19.5,10
77,4,347213,21,10
78,5,347213,22.5,10
79,6,347213,24,10
80,7,347213,25.5,10
81,8,347213,27,10
82,9,347213,28.5,10
83,10,347213,30,10
84,11,347213,31.5,10
85,12,347213,33,10
86,13,347213,34.5,10
87,14,347213,36,10
88,0,335232,2.5,11
89,1,335232,2.75,11
90,2,335232,3,11
91,3,335232,3.25,11
92,4,335232,3.5,11
93,5,335232,3.75,11
94,6,335232,4,11
95,7,335232,4.25,11
96,8,335232,4.5,11
97,9,335232,4.75,11
98,10,335232,5,11
99,11,335232,5.25,11
100,12,335232,5.5,11
101,13,335232,5.75,11
102,14,335232,6,11
103,0,335242,9,12
104,1,335242,9.9,12
105,2,335242,10.8,12
106,3,335242,11.7,12
107,4,335242,12.6,12
108,5,335242,13.5,12
109,6,335242,14.4,12
110,7,335242,15.3,12
111,8,335242,16.2,12
112,9,335242,17.1,12
113,10,335242,18,12
114,11,335242,18.9,12
115,12,335242,19.8,12
116,13,335242,20.7,12
117,14,335242,21.6,12
118,0,335250,80,13
119,1,335250,90,13
120,2,335250,100,13
121,3,335250,110,13
122,4,335250,120,13
123,5,335250,130,13
124,6,335250,140,13
125,7,335250,150,13
126,8,335250,160,13
127,9,335250,170,13
128,10,335250,180,13
129,11,335250,190,13
130,12,335250,200,13
131,13,335250,210,13
132,14,335250,220,13
133,0,335260,32,14
134,1,335260,34,14
135,2,335260,36,14
136,3,335260,38,14
137,4,335260,40,14
138,5,335260,42,14
139,6,335260,44,14
140,7,335260,46,14
141,8,335260,48,14
142,9,335260,50,14
143,10,335260,52,14
144,11,335260,54,14
145,12,335260,56,14
146,13,335260,58,14
147,14,335260,60,14
148,0,336379,25,15
149,1,336379,27.5,15
150,2,336379,30,15
151,3,336379,32.5,15
152,4,336379,35,15
153,5,336379,37.5,15
154,6,336379,40,15
155,7,336379,42.5,15
156,8,336379,45,15
157,9,336379,47.5,15
158,10,336379,50,15
159,11,336379,52.5,15
160,12,336379,55,15
161,13,336379,57.5,15
162,14,336379,60,15
163,0,336452,4,16
164,1,336452,4.4,16
165,2,336452,4.8,16
166,3,336452,5.2,16
167,4,336452,5.6,16
168,5,336452,6,16
169,6,336452,6.4,16
170,7,336452,6.8,16
171,8,336452,7.2,16
172,9,336452,7.6,16
173,10,336452,8,16
174,11,336452,8.4,16
175,12,336452,8.8,16
176,13,336452,9.2,16
177,14,336452,9.6,16
178,0,336460,15,17
179,1,336460,16.5,17
180,2,336460,18,17
181,3,336460,19.5,17
182,4,336460,21,17
183,5,336460,22.5,17
184,6,336460,24,17
185,7,336460,25.5,17
186,8,336460,27,17
187,9,336460,28.5,17
188,10,336460,30,17
189,11,336460,31.5,17
190,12,336460,33,17
191,13,336460,34.5,17
192,14,336460,36,17
193,0,336472,8,18
194,1,336472,8.8,18
195,2,336472,9.6,18
196,3,336472,10.4,18
197,4,336472,11.2,18
198,5,336472,12,18
199,6,336472,12.8,18
200,7,336472,13.6,18
201,8,336472,14.4,18
202,9,336472,15.2,18
203,10,336472,16,18
204,11,336472,16.8,18
205,12,336472,17.6,18
206,13,336472,18.4,18
207,14,336472,19.2,18
208,0,336526,10,19
209,1,336526,11,19
210,2,336526,12,19
211,3,336526,13,19
212,4,336526,14,19
213,5,336526,15,19
214,6,336526,16,19
215,7,336526,17,19
216,8,336526,18,19
217,9,336526,19,19
218,10,336526,20,19
219,11,336526,21,19
220,12,336526,22,19
221,13,336526,23,19
222,14,336526,24,19
223,0,336522,7.5,20
224,1,336522,8.25,20
225,2,336522,9,20
226,3,336522,9.75,20
227,4,336522,10.5,20
228,5,336522,11.25,20
229,6,336522,12,20
230,7,336522,12.75,20
231,8,336522,13.5,20
232,9,336522,14.25,20
233,10,336522,15,20
234,11,336522,15.75,20
235,12,336522,16.5,20
236,13,336522,17.25,20
237,14,336522,18,20
238,0,336569,4,21
239,1,336569,4.4,21
240,2,336569,4.8,21
241,3,336569,5.2,21
242,4,336569,5.6,21
243,5,336569,6,21
244,6,336569,6.4,21
245,7,336569,6.8,21
246,8,336569,7.2,21
247,9,336569,7.6,21
248,10,336569,8,21
249,11,336569,8.4,21
250,12,336569,8.8,21
251,13,336569,9.2,21
252,14,336569,9.6,21
253,0,336598,8.75,22
254,1,336598,9.625,22
255,2,336598,10.5,22
256,3,336598,11.375,22
257,4,336598,12.25,22
258,5,336598,13.125,22
259,6,336598,14,22
260,7,336598,14.875,22
261,8,336598,15.75,22
262,9,336598,16.625,22
263,10,336598,17.5,22
264,11,336598,18.375,22
265,12,336598,19.25,22
266,13,336598,20.125,22
267,14,336598,21,22
268,0,336613,-25000,23
269,1,336613,-27500,23
270,2,336613,-30000,23
271,3,336613,-32500,23
272,4,336613,-35000,23
273,5,336613,-37500,23
274,6,336613,-40000,23
275,7,336613,-42500,23
276,8,336613,-45000,23
277,9,336613,-47500,23
278,10,336613,-50000,23
279,11,336613,-52500,23
280,12,336613,-55000,23
281,13,336613,-57500,23
282,14,336613,-60000,23
284,0,336616,10,24
285,1,336616,11,24
286,2,336616,12,24
287,3,336616,13,24
288,4,336616,14,24
289,5,336616,15,24
290,6,336616,16,24
291,7,336616,17,24
292,8,336616,18,24
293,9,336616,19,24
294,10,336616,20,24
295,11,336616,21,24
296,12,336616,22,24
297,13,336616,23,24
