ID,Name
1,Death Knight Human Male
2,Death Knight Human Female
3,Death Knight Dwarf Male
4,Death Knight Dwarf Female
5,Death Knight NightElf Male
6,Death Knight NightElf Female
7,Death Knight Gnome Male
8,Death Knight Gnome Female
9,Death Knight Draenei Male
10,Death Knight Draenei Female
11,Death Knight Orc Male
12,Death Knight Orc Female
13,Death Knight Scourge Male
14,Death Knight Scourge Female
15,Death Knight Tauren Male
16,Death Knight Tauren Female
17,Death Knight Troll Male
18,Death Knight Troll Female
19,Death Knight BloodElf Male
20,Death Knight BloodElf Female
21,Death Knight Goblin Male
22,Death Knight Goblin Female
23,Death Knight Gilnean Male
24,Death Knight Gilnean Female
25,Death Knight Worgen Male
26,Death Knight Worgen Female
