ID,Params[0],Params[1],Params[2],Params[3],Params[4],Params[5],Params[6],Params[7],Params[8],FilterType,SoundFilterID
1,1,0.908,0,0,0,0,0,0,0,1,1
2,1,1,0.878,1,0,4.512,1.1,0.015,0.012,4,1
3,1,67,0.035,0.16,1,0,0,0,0,5,1
4,1,70,0.035,0.163,1,0,0,0,0,5,2
5,1,1,1,1,0,22.044,0.838,0.133,0.005,4,2
6,1,0.884,0,0,0,0,0,0,0,1,3
7,1,1,0.491,1,0,22.044,1.066,0.024,0.01,4,3
8,1,65,0.037,0.119,1,0,0,0,0,5,3
9,1,70,0.035,0.163,1,0,0,0,0,5,4
10,1,1,1,1,0,22.044,0.838,0.03,0.01,4,4
11,1,0.918,0,0,0,0,0,0,0,1,5
12,1,1,0.881,1,0,22.044,1.066,0.021,0.005,4,5
13,1,67,0.037,0.163,1,0,0,0,0,5,5
14,1,74,0.04,0.163,1,0,0,0,0,5,6
15,1,1,1,1,0,22.044,0.838,0.03,0.005,4,6
16,1,0.884,0,0,0,0,0,0,0,1,7
17,1,1,0.612,0.571,0,22.044,1.111,0.024,0.01,4,7
18,1,56,0.037,0.201,1,0,0,0,0,5,7
19,1,70,0.04,0.163,1,0,0,0,0,5,8
20,1,1,1,1,0,24.093,0.838,0.131,0.01,4,8
21,1,0.864,0,0,0,0,0,0,0,1,9
22,1,1,0.785,0.577,0,22.044,1.111,0.024,0.01,4,9
23,1,67,0.037,0.135,1,0,0,0,0,5,9
24,1,70,0.037,0.16,1,0,0,0,0,5,10
25,1,1,1,1,0,22.044,0.838,0.03,0.005,4,10
26,1,0.912,0,0,0,0,0,0,0,1,11
27,1,1,0.682,0.796,0,22.044,1.1,0.019,0.01,4,11
28,1,67,0.037,0.158,1,0,0,0,0,5,11
29,1,72,0.04,0.158,1,0,0,0,0,5,12
30,1,1,0.992,1,0,22.272,0.883,0.033,0.01,4,12
31,1,1.134,0,0,0,0,0,0,0,1,13
32,1,1,0.876,1,0,22.044,1.111,0.021,0.008,4,13
33,1,67,0.042,0.16,1,0,0,0,0,5,13
34,1,72,0.042,0.165,1,0,0,0,0,5,14
35,1,1,1,1,0,22.044,0.838,0.026,0.01,4,14
36,1,0.97,0,0,0,0,0,0,0,1,15
37,1,1,0.785,0.817,0,22.044,1.111,0.021,0.005,4,15
38,1,67,0.035,0.119,1,0,0,0,0,5,15
39,1,72,0.04,0.165,1,0,0,0,0,5,16
40,1,1,1,1,0,22.044,0.838,0.028,0.008,4,16
41,1,0.894,0,0,0,0,0,0,0,1,17
42,1,1,0.881,1,0,21.816,1.1,0.03,0.01,4,17
43,1,65,0.035,0.16,1,0,0,0,0,5,17
44,1,7897.586,1,0,0,0,0,0,0,3,17
45,1,72,0.044,0.158,1,0,0,0,0,5,18
46,1,1,1,1,0,22.272,0.838,0.026,0.01,4,18
47,1,0.877,0,0,0,0,0,0,0,1,19
48,1,1,0.878,1,0,22.044,1.1,0.019,0.01,4,19
49,1,67,0.037,0.156,1,0,0,0,0,5,19
50,1,72,0.037,0.16,1,0,0,0,0,5,20
51,1,1,0.995,1,0,22.272,0.838,0.028,0.01,4,20
