ID,SoundKitID,ParentSoundKitID
1,49814,49813
2,49819,49813
136,50076,50077
345,53937,53934
355,49813,40440
356,49814,40440
357,49819,40440
364,56724,56696
385,57652,57655
386,57657,57656
391,57665,57666
393,57667,57668
394,57659,57670
396,57672,57673
398,57672,57674
399,57661,57675
400,57657,57676
401,57661,57677
403,57950,57949
407,58852,58851
411,60199,58757
412,60200,58757
418,61005,61004
421,56209,61087
427,62419,62418
431,64043,58322
432,64044,58321
433,64359,64360
434,64516,64515
436,64874,64893
439,40865,67895
441,68144,68143
442,68146,68143
443,68161,68145
447,68195,68194
448,68196,68194
455,69100,69101
457,69367,69365
459,69582,69580
460,69583,69584
461,69659,69658
462,69699,69700
463,69957,69956
464,69954,69953
465,69958,69713
466,70174,70168
467,70323,70321
468,70458,70457
470,71098,59000
478,72134,71948
479,68678,68681
481,73066,73064
482,73113,64333
483,73121,73122
485,73260,73264
487,69699,73535
488,73535,69601
489,69699,73621
490,69699,73622
491,73633,73586
494,73790,73787
500,73841,73844
501,73843,73842
502,74095,68229
504,74113,74115
505,73841,74164
506,74182,74179
507,74190,74189
510,74219,74218
511,74220,74212
512,74220,74319
513,74373,74120
514,74382,74381
516,74113,74446
517,73841,74453
520,69699,74541
521,74610,74609
522,74729,74728
524,74765,74752
525,74782,74783
527,74858,74857
529,74917,56622
530,74917,53924
531,74953,74945
532,73113,74974
534,49695,75255
537,73113,75457
539,75637,75635
540,75671,75669
544,75708,75709
545,75793,75783
546,75920,75908
547,75923,75922
548,75927,75926
550,75990,75989
551,76020,76021
552,74113,76028
553,74113,76041
554,70323,76056
555,73113,76059
557,76126,76127
558,76208,76186
559,76271,76270
560,76300,76299
561,76520,76517
562,75671,76531
563,75923,76587
564,76591,76589
565,76628,76627
568,76681,58307
569,73841,76740
570,73843,76740
572,77468,77466
574,77468,78052
575,78128,78129
576,78131,78130
577,78548,78547
579,78689,78688
580,78743,78742
581,78823,78739
583,78907,78906
584,75637,78955
585,76271,79017
586,79157,79060
587,79163,79160
588,75637,79198
593,79380,79379
594,79744,79745
597,80258,80255
598,80257,80256
601,80841,80617
603,81339,81338
605,81602,81601
619,83338,56846
620,83479,83478
621,83477,83478
622,83477,83476
624,83338,84057
629,84092,60195
630,79270,84197
633,83338,84334
635,84366,72640
636,84436,84435
637,74113,84459
638,83338,84475
639,83338,84900
640,84931,84781
642,85650,85651
644,85674,85673
645,85735,85730
650,86944,86941
651,87398,87397
652,87558,87559
653,88387,88388
655,69699,88561
657,88683,88673
658,88685,86404
660,69699,88690
664,69699,88779
665,69699,88791
666,88746,88747
667,88818,88816
668,88829,88828
669,88897,88896
670,88911,88910
671,81602,88929
672,88746,88945
673,88962,88961
674,88973,88963
675,69699,89023
676,89045,89044
677,88818,89112
678,88746,89127
679,88818,89137
680,88818,89155
681,89247,89246
682,89256,89255
685,88683,89377
686,89554,89105
687,69699,89780
688,89819,89821
690,89901,89696
691,89903,89710
693,89921,89791
694,89920,89790
695,69699,89975
697,89978,89979
701,69699,90188
702,90242,90241
703,90348,90322
704,90348,90357
705,90372,88797
706,90414,89836
709,90465,90168
714,90623,90247
715,90627,89834
717,91156,91155
718,78689,91166
721,92118,93105
722,90980,90987
723,93603,90987
725,90980,93628
726,93603,93628
728,85650,96760
730,98250,98251
731,98251,98231
733,98250,98252
734,98252,98232
737,98253,98245
738,98257,98255
739,98258,98256
741,98264,98263
743,98279,98278
744,92118,101706
745,102848,102855
746,103255,103247
747,103267,103266
749,103886,103882
756,103950,103951
757,104091,104090
758,104414,104285
759,104415,104285
761,104432,104431
762,104494,104493
763,104495,104493
765,104498,104497
766,104502,104501
767,103886,104569
769,92118,105751
770,106110,106019
773,106525,106468
774,106553,106552
775,106758,106757
777,106762,106759
778,107108,69671
779,107430,107438
782,107489,107488
784,107900,107826
785,107958,107957
787,103267,108166
789,108169,108168
790,74220,108366
792,108560,108559
793,108688,108687
796,108606,108584
798,106525,109049
800,109179,108341
804,106525,110043
808,110117,110108
809,110117,110109
810,110117,110111
811,110117,110112
814,110447,110446
817,110642,110641
820,111044,90912
821,111050,111049
822,111051,111049
825,106110,111198
826,74220,111281
829,111316,111317
831,111689,111679
832,103886,111930
833,106525,112023
834,112076,112065
835,112170,112169
838,112191,112187
840,112202,112201
842,112227,112226
845,112250,112249
846,112458,112466
847,112458,112470
848,112753,112752
949,2560,113331
951,113409,113410
952,113411,113410
953,113437,113096
954,112458,113457
956,113512,113505
957,113538,113097
958,113929,113922
959,113983,113984
960,114004,114003
962,114071,114072
965,114112,114111
967,114147,114146
969,114147,114149
971,72686,112710
972,114235,114255
973,114362,114361
975,114389,114388
977,114379,114381
979,113437,114692
980,114471,114487
981,57661,114765
982,114840,114837
986,114875,104755
987,114876,104755
988,114957,114949
992,114972,114971
993,114975,114974
994,114977,114976
995,114978,114976
997,110447,115084
999,115133,115132
1000,114826,114827
1001,113437,115337
1005,115480,115482
1008,115484,115483
1009,115485,115483
1011,115486,115483
1012,89978,115517
1014,115784,115696
1015,115802,115800
1016,115802,115801
1017,115853,115873
1018,115850,115882
1019,115848,115884
1020,115850,115885
1021,115848,115886
1022,114963,115913
1023,114964,115913
1024,115850,115923
1027,115848,115955
1029,116049,103533
1030,113299,116069
1031,113299,116071
1032,115424,116069
1033,116092,116016
1034,116117,116016
1035,116238,116233
1038,116323,116321
1039,116325,116324
1040,116327,116328
1041,116330,116331
1042,116295,116332
1044,116336,116334
1046,116338,116337
1048,116340,116339
1050,116343,116341
1051,116349,116348
1052,116350,116348
1053,116351,104756
1054,116352,104756
1055,74220,116393
1056,116427,116426
1058,83338,116536
1059,116675,43716
1060,116049,116803
1061,104414,116827
1062,104415,116827
1063,116872,116871
1064,116890,116889
1065,117000,116999
1066,117003,117002
1067,117023,117018
1068,117064,117063
1070,117068,117067
1072,117069,117066
1073,117078,117077
1075,102848,97166
1076,117308,117305
1077,117309,117305
1079,117332,117331
1080,117411,117412
1081,113983,117469
1082,117474,117473
1083,117564,117562
1085,117531,117568
1086,117583,117568
1087,117594,117595
1089,117619,117618
1090,117799,117798
1091,117855,117843
1092,117799,117958
1093,117915,117909
1094,117069,118009
1095,118041,118040
1096,118048,118047
1100,118057,118056
1106,118078,118077
1108,118215,118214
1109,118217,118214
1110,118212,118211
1113,118236,118235
1114,118237,118235
1115,118241,118239
1116,118242,118243
1117,118244,118240
1118,118245,118213
1120,118248,118213
1121,118253,118206
1122,118261,114992
1123,118266,118214
1125,118279,118278
1126,118281,118273
1127,118279,118284
1128,118279,118285
1129,118279,118286
1133,118289,118288
1134,118291,118272
1135,118316,111828
1136,118322,118310
1137,118460,118264
1138,118477,115058
1139,115401,115400
1141,118502,115400
1142,118549,118528
1143,118689,118685
1144,118692,118691
1145,116890,118698
1146,118704,118529
1147,118718,118685
1148,118798,118668
1149,118813,118810
1150,118813,118811
1151,118824,118811
1152,118824,118810
1153,118828,118827
1154,113291,118843
1155,118846,118845
1157,118884,26883
1158,118886,115005
1159,118889,118585
1160,118922,118920
1161,118935,118936
1162,118974,118970
1165,119274,115400
1166,43776,119283
1167,113299,119283
1168,43776,116071
1169,119332,118301
1170,119334,119333
1171,119381,110266
1173,119418,111043
1174,119440,119436
1175,119444,119427
1177,119466,119465
1178,119478,119475
1179,119469,119427
1181,119487,119482
1182,119487,119481
1183,119502,110592
1184,110595,110594
1185,119229,119228
1186,119230,119228
1187,119141,119143
1188,119543,119149
1191,119592,118347
1195,119635,110807
1196,119685,119686
1197,119742,110914
1198,119756,119755
1199,119769,119767
1202,119802,119801
1203,119803,119801
1205,119828,119826
1207,119963,119961
1208,74220,120014
1212,106110,120188
1213,120213,120208
1214,120225,119767
1215,120226,119767
1216,120248,120247
1218,120308,120309
1225,120417,120416
1226,120418,120419
1227,120476,120475
1228,120820,120780
1229,120834,120833
1230,120835,120833
1231,120836,120833
1237,120839,120838
1238,120840,120838
1239,120841,120838
1242,121138,121137
1247,121388,121390
1248,121389,121390
1249,121440,121390
1250,121454,121453
1252,121461,121456
1253,121467,121466
1257,121514,121466
1259,121716,121717
1260,72686,121765
1261,121867,121866
1263,122304,122208
1264,122679,122678
1265,122680,122678
1266,122272,122208
1268,122927,122924
1269,122928,122925
1270,122940,122939
1274,122944,122938
1275,122947,122946
1277,123055,123056
1278,123059,123058
1279,123062,123061
1280,123062,123064
1281,123071,123070
1282,123073,123070
1287,123257,123256
1288,123296,123276
1289,123296,123277
1290,123296,123275
1291,123300,123298
1292,123302,122208
1293,123303,122208
1294,123306,123304
1295,123305,123304
1296,123327,122208
1297,123328,122208
1299,123346,123345
1300,123378,122923
1301,123379,122922
1302,123380,122924
1304,123381,123301
1305,123390,122946
1307,123399,122939
1309,123403,122935
1312,123414,122948
1313,123396,122948
1314,122949,122948
1316,123441,120784
1317,123455,123454
1320,123469,123467
1321,123472,123471
1323,123492,123335
1324,123494,123471
1325,123495,123467
1326,123498,123496
1327,123499,123496
1328,123492,123570
1329,123608,123607
1330,123562,123397
1331,123610,123397
1332,123621,123398
1335,123634,123632
1336,123638,123637
1337,123639,122934
1339,123640,123397
1340,123641,123397
1342,123644,123643
1343,123648,123647
1344,123650,123649
1346,123655,123654
1347,123657,123656
1352,123669,123668
1354,123675,123672
1356,123677,123673
1359,123689,123688
1360,123691,123688
1361,123692,123685
1372,123750,123749
1373,123751,123749
1374,123874,123872
1375,123885,123879
1376,123900,123899
1377,123901,123899
