ID,Field_10_0_2_45779_000,Field_10_0_2_45779_001,Field_10_0_2_45779_002,Field_10_0_2_45779_003,Field_10_0_2_45779_004
23,SFX - UI,UI,197,197,1
24,SFX - UI - Character Creation Class Preview,Character Creation Class Preview,197,23,0.5011872
25,SFX - UI - Character Creation Class Preview - Warrior,Warrior,197,24,1
26,SFX - UI - Character Creation Class Preview - Warlock,Warlock,197,24,1
27,SFX - UI - Character Creation Class Preview - Shaman,Shaman,197,24,1
28,SFX - UI - Character Creation Class Preview - Rogue,Rogue,197,24,1
29,SFX - UI - Character Creation Class Preview - Priest,Priest,197,24,1
30,SFX - UI - Character Creation Class Preview - Paladin,Paladin,197,24,1
31,SFX - UI - Character Creation Class Preview - Monk,Monk,197,24,1
32,SFX - UI - Character Creation Class Preview - Mage,Mage,197,24,1
33,SFX - UI - Character Creation Class Preview - Hunter,Hunter,197,24,1
34,SFX - UI - Character Creation Class Preview - Evoker,Evoker,197,24,1
35,SFX - UI - Character Creation Class Preview - Druid,Druid,197,24,1
36,SFX - UI - Character Creation Class Preview - Death Knight,Death Knight,197,24,1
37,SFX - UI - Character Creation Class Preview - Demon Hunter,Demon Hunter,197,24,1
38,SFX - Player,Player,197,197,1
39,SFX - Player - Class,Class,197,38,1
40,SFX - Player - Class - Shaman,Shaman,197,39,1
41,SFX - Player - Race,Race,197,38,1
42,SFX - Player - Class - Death Knight,Death Knight,197,39,1
43,SFX - Player - Class - Demon Hunter,Demon Hunter,197,39,1
44,SFX - Player - Class - Druid,Druid,197,39,1
45,SFX - Player - Class - Evoker,Evoker,197,39,1
46,SFX - Player - Class - Hunter,Hunter,197,39,1
47,SFX - Player - Class - Mage,Mage,197,39,1
48,SFX - Player - Class - Monk,Monk,197,39,1
49,SFX - Player - Class - Paladin,Paladin,197,39,1
50,SFX - Player - Class - Priest,Priest,197,39,1
51,SFX - Player - Class - Rogue,Rogue,197,39,1
52,SFX - Player - Class - Warlock,Warlock,197,39,1
53,SFX - Player - Class - Warrior,Warrior,197,39,1
54,SFX - Mount,Mount,197,197,1
55,SFX - Mount - Mechanical,Mechanical,197,54,1
56,SFX - Mount - Mechanical - MechaCycle,MechaCycle,197,55,0.56234133
57,SFX - Mount - Mechanical - Motorcycle,Motorcycle,197,55,1
58,SFX - Mount - Mechanical - Trike,Trike,197,55,1
59,SFX - Mount - Mechanical - Car,Car,197,55,1
60,SFX - Mount - Mechanical - Gyrocopter,Gyrocopter,197,55,0.5011872
61,SFX - Mount - Mechanical - MechaSuit,MechaSuit,197,55,0.5011872
62,SFX - Toy,Toy,197,197,1
66,SFX - WeaponImpact,WeaponImpact,197,197,1
67,SFX - WeaponImpact - Mace1H,Mace1H,197,66,1
68,SFX - WeaponImpact - Mace2H,Mace2H,197,66,1
69,SFX - Raid,Raid,197,197,1
70,SFX - Raid - Dragonflight,Dragonflight,197,69,1
71,SFX - Raid - Dragonflight - 10.1 Aberrus,10.1 Aberrus,197,70,1
72,SFX - Raid - Dragonflight - 10.1 Aberrus - 1. Kazzara,1. Kazzara,197,71,1
73,SFX - Raid - Dragonflight - 10.1 Aberrus - 2. Amalgamation Chamber,2. Amalgamation Chamber,197,71,1
74,SFX - Raid - Dragonflight - 10.1 Aberrus - 3. Forgotten Experiments,3. Forgotten Experiments,197,71,1
75,SFX - Raid - Dragonflight - 10.1 Aberrus - 4. Assault of the Zaqali,4. Assault of the Zaqali,197,71,1
76,"SFX - Raid - Dragonflight - 10.1 Aberrus - 5. Rashock, the Elder","5. Rashock, the Elder",197,71,1
77,"SFX - Raid - Dragonflight - 10.1 Aberrus - 6. Vigilant Steward, Zskarn","6. Vigilant Steward, Zskarn",197,71,1
78,SFX - Raid - Dragonflight - 10.1 Aberrus - 7. Echo of Neltharion,7. Echo of Neltharion,197,71,1
79,SFX - Raid - Dragonflight - 10.1 Aberrus - 8. Scalecommander Sarkareth,8. Scalecommander Sarkareth,197,71,1
80,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates,10.0 Vault of the Incarnates,197,70,1
81,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 1. Eranog,1. Eranog,197,80,1
82,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 2. Terros,2. Terros,197,80,1
83,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 3. Primal Council,3. Primal Council,197,80,1
84,"SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 4. Sennarth, the Cold Breath","4. Sennarth, the Cold Breath",197,80,1
85,"SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 5. Dathea, Ascended","5. Dathea, Ascended",197,80,1
86,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 6. Kurog Grimtotem,6. Kurog Grimtotem,197,80,1
87,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 7. Broodkeeper Diurna,7. Broodkeeper Diurna,197,80,1
88,SFX - Raid - Dragonflight - 10.0 Vault of the Incarnates - 8. Raszageth the Storm-Eater,8. Raszageth the Storm-Eater,197,80,1
89,SFX - Raid - Shadowlands,Shadowlands,197,69,1
90,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones,9.2 Sepulcher of the First Ones,197,89,1
91,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 01. Vigilant Guardian,01. Vigilant Guardian,197,90,1
92,"SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 02. Skolex, the Insatiable Ravener","02. Skolex, the Insatiable Ravener",197,90,1
93,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 03. Artificer Xy'mox,03. Artificer Xy'mox,197,90,1
94,"SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 04. Dausegne, the Fallen Oracle","04. Dausegne, the Fallen Oracle",197,90,1
95,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 05. Prototype Pantheon,05. Prototype Pantheon,197,90,1
96,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 07. Halondrus the Reclaimer,07. Halondrus the Reclaimer,197,90,1
97,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 08. Anduin Wrynn,08. Anduin Wrynn,197,90,1
98,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 09. Lords of Dread,09. Lords of Dread,197,90,1
99,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 10. Rygelon,10. Rygelon,197,90,1
100,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 11. The Jailer,11. The Jailer,197,90,1
101,"SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 06. Lihuvim, Principle Architect","06. Lihuvim, Principle Architect",197,90,1
102,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination,9.1 Sanctum of Domination,197,89,1
103,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 01. Tarragrue,01. Tarragrue,197,102,1
104,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 02. Eye of the Jailer,02. Eye of the Jailer,197,102,1
105,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 03. The Nine,03. The Nine,197,102,1
106,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 04. Remnant of Ner'zhul,04. Remnant of Ner'zhul,197,102,1
107,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 05. Soulrender Dormazain,05. Soulrender Dormazain,197,102,1
108,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 06. Painsmith Raznal,06. Painsmith Raznal,197,102,1
109,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 07. Guardian of the First Ones,07. Guardian of the First Ones,197,102,1
110,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 08. Fatescribe Roh-Kalo,08. Fatescribe Roh-Kalo,197,102,1
111,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 09. Kel'Thuzad,09. Kel'Thuzad,197,102,1
112,SFX - Raid - Shadowlands - 9.1 Sanctum of Domination - 10. Sylvanas Windrunner,10. Sylvanas Windrunner,197,102,1
113,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 07. Halondrus the Reclaimer - Model,Model,197,96,1
114,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 07. Halondrus the Reclaimer - Spell,Spell,197,96,1
115,SFX - Raid - Shadowlands - 9.2 Sepulcher of the First Ones - 07. Halondrus the Reclaimer - Voice,Voice,197,96,1
116,SFX - Raid - Shadowlands - 9.0 Castle Nathria,9.0 Castle Nathria,197,89,1
117,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 01. Shriekwing,01. Shriekwing,197,116,1
118,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 02. Huntsman Altimor,02. Huntsman Altimor,197,116,1
119,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 03. Sun King's Salvation,03. Sun King's Salvation,197,116,1
120,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 04. Artificer Xy'mox,04. Artificer Xy'mox,197,116,1
121,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 05. Hungering Destroyer,05. Hungering Destroyer,197,116,1
122,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 06. Lady Inerva Darkvein,06. Lady Inerva Darkvein,197,116,1
123,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 07. Council of Blood,07. Council of Blood,197,116,1
124,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 08. Sludgefist,08. Sludgefist,197,116,1
125,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 09. Stone Legion Generals,09. Stone Legion Generals,197,116,1
126,SFX - Raid - Shadowlands - 9.0 Castle Nathria - 10. Sire Denathrius,10. Sire Denathrius,197,116,1
127,SFX - Dungeon,Dungeon,197,197,1
128,SFX - Dungeon - Dragonflight,Dragonflight,197,127,1
129,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite,10.1.5 Dawn of the Infinite,197,128,1
130,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 1. Chronikar,1. Chronikar,197,129,1
131,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 2. Manifested Timeways,2. Manifested Timeways,197,129,1
132,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 3. Blight of Galakrond,3. Blight of Galakrond,197,129,1
133,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 4. Iridikron the Stonescaled,4. Iridikron the Stonescaled,197,129,1
134,"SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 5. Tyr, the Infinite Keeper","5. Tyr, the Infinite Keeper",197,129,1
135,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 6. Morchie,6. Morchie,197,129,1
136,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 7. Time-Lost Battlefield,7. Time-Lost Battlefield,197,129,1
137,SFX - Dungeon - Dragonflight - 10.1.5 Dawn of the Infinite - 8. Chrono-Lord Deios,8. Chrono-Lord Deios,197,129,1
138,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr,10.0 Uldaman: Legacy of Tyr,197,128,1
139,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr - 1. Lost Dwarves,1. Lost Dwarves,197,138,1
140,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr - 2. Bromach,2. Bromach,197,138,1
141,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr - 3. Sentinel Talondras,3. Sentinel Talondras,197,138,1
142,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr - 4. Emberon,4. Emberon,197,138,1
143,SFX - Dungeon - Dragonflight - 10.0 Uldaman: Legacy of Tyr - 5. Chrono-Lord Deios,5. Chrono-Lord Deios,197,138,1
144,SFX - Dungeon - Dragonflight - 10.0 Algeth'ar Academy,10.0 Algeth'ar Academy,197,128,1
145,SFX - Dungeon - Dragonflight - 10.0 Algeth'ar Academy - 1. Vexamus,1. Vexamus,197,144,1
146,SFX - Dungeon - Dragonflight - 10.0 Algeth'ar Academy - 2. Overgrown Ancient,2. Overgrown Ancient,197,144,1
147,SFX - Dungeon - Dragonflight - 10.0 Algeth'ar Academy - 3. Crawth,3. Crawth,197,144,1
148,SFX - Dungeon - Dragonflight - 10.0 Algeth'ar Academy - 4. Echo Doragosa,4. Echo Doragosa,197,144,1
