ID,SpecializationID,SpellID[0],SpellID[1],SpellID[2],SpellID[3],SpellID[4],SpellID[5]
2,62,5143,5143,5143,365350,365350,365350
3,63,133,11366,195283,257541,31661,190319
4,64,116,30455,31687,112965,44614,84714
5,65,20473,20473,20473,53563,53563,53563
6,66,31935,31935,31935,31850,31850,31850
7,70,85256,85256,85256,255937,255937,255937
114,577,162794,162794,162794,198013,198013,198013
128,581,228477,228477,228477,212084,212084,212084
129,250,49998,49998,49998,49028,49028,49028
130,251,49020,49020,49020,51271,51271,51271
131,252,46584,46584,46584,275699,275699,275699
133,102,24858,190984,78674,24858,78675,78674
134,103,768,768,768,106951,106951,106951
148,104,5487,5487,5487,61336,61336,61336
149,105,18562,18562,18562,740,740,740
168,253,34026,34026,34026,19574,19574,19574
188,254,19434,19434,19434,257044,257044,257044
189,255,186270,259489,259491,190925,259495,360952
190,268,121253,121253,121253,124502,124502,124502
191,270,115175,115175,115175,322118,322118,322118
192,269,113656,113656,113656,123904,123904,123904
193,256,17,47540,62618,2061,33206,81749
194,257,33076,2050,88625,63733,20711,20711
208,258,232698,8092,15407,232698,228260,228260
228,259,32645,703,1943,51723,32645,360194
229,260,2098,8676,185763,13877,2098,13877
230,261,185438,185438,185438,185313,185313,185313
231,262,188443,188443,188443,198067,198067,198067
232,263,17364,17364,17364,51533,51533,51533
233,264,1064,1064,1064,98008,98008,98008
234,265,324536,324536,324536,205180,205180,205180
235,266,105174,105174,105174,265187,265187,265187
236,267,116858,116858,116858,1122,1122,1122
248,71,12294,7384,227847,260708,118038,167105
249,72,23881,184361,46917,184367,184364,1719
250,73,23922,2565,6343,46968,871,871
308,1467,356995,356995,356995,357210,357210,357210
328,1468,364343,355913,364343,360995,366155,355936
348,1473,395152,395152,395152,403631,403631,403631
