ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
3,,,
4,,,
5,,Instantly Kills the target.  I hope you feel good about yourself now.....,
7,,"The caster commits suicide, instantly killing themself.",
10,,Ice shards pelt the target area doing ${$42208m1*8} Frost damage over $10d and slowing enemies by 50%.,$42208s1 Frost damage every $42208t1 sec.
11,,Deals $s1 Frost damage to the target.,
12,,,
13,,,
14,,,
15,,,
17,,"Draws on the soul of the friendly target to shield them, absorbing $<shield> damage$?s55672[ and healing them for $55672s1% of the absorption amount][].  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",Absorbs $w1 damage.
18,,,
22,,,
24,,,
25,,,
26,,,
27,,,
31,,,
33,,,
34,,,
35,,,
43,Racial,,
45,,Knocks nearby enemies back.,
47,,,
49,,Heals the target for $s1.,
50,,Dumps the dot variables of the current target to the console.,
53,,"Backstab the target, causing $m2% weapon damage plus $m1 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.",
56,,Stuns target for $d.,Stunned.
58,,,
59,,,
60,,,
61,,,
65,,Increases your melee haste by $s1 for $d.,
66,,"Turns the caster invisible over $66d, reducing threat each second. While invisible, you are untargetable by enemies. Lasts $32612d.$?s56366[

You move $87833s1% faster while invisible. ][]

Invisibility is cancelled if you perform any actions.",Fading.
68,,,
71,,"A tanking combat stance.

Decreases damage taken by $7376s1%. $?s146969[][
Significantly increases threat generation.]
Generates 1 Rage every 3 sec while in combat.",
75,,Automatically shoots the target until cancelled.,Firing at the target.
77,,,
78,,"An attack that instantly deals $m2% weapon damage plus $m1 (${$m2*1.40}% plus ${$m1*1.40} if a one-handed weapon is equipped)$?s58366[, reducing the target's movement speed by $129923s1% for $129923d][].

Use when you have more Rage than you can spend.",
81,Passive,Gives a chance to dodge enemy melee attacks.,
87,QAE,Makes you immune to all spell mechanics.  Used in Automation scripts to give the bot immunity to negative effects while still being able to interact with objects.,Immune to spell mechanics
89,,"Cripples the target, reducing movement speed by $s3%, increasing time between melee and ranged attacks by $s1%.  Lasts $d.",Movement speed reduced by $s3%.  Time between melee and ranged attacks increased by $s1%.
91,,,
96,,Increases the damage of your next melee swing by $s1 and causes the target to bleed,Bleeding for $s2 damage every $t2 seconds
99,,"Invokes the spirit of Ursol to roar, disorienting all enemies within $A1 yards for $d.  Any damage caused will remove the effect.  Useable in all shapeshift forms.",Disoriented.
100,,"Charge to an enemy, $?s103828[rooting][stunning] it $?s58377[and $58377s1 additional nearby targets ][]for $?s103828[$105771d and reducing movement speed by $137637s1% for $137637d][$7922d]. Generates $/10;s2 Rage.",
101,Rank 1,"Trips the enemy humanoid, causing $s2 damage and knocking the opponent down for $d.  Awards $s3 combo point.",
107,Passive,Gives a chance to block enemy melee and ranged attacks.,
108,,,
110,,,
111,,,
112,,,
113,,"Forms icy chains around the enemy, locking the target in place for $d.",Rooted in place.
116,,"Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.",$?$w1=0[][Movement slowed by $w1%.]
118,,"Transforms the enemy into a $?s52648[penguin]?s57927[monkey]?s57924[porcupine]?s58136[polar bear cub][sheep], forcing it to wander around for up to $d.  

While wandering, the $?s52648[penguin]?s57927[monkey]?s57924[porcupine]?s58136[polar bear cub][sheep] cannot attack or cast spells but will regenerate very quickly.  Any damage will transform the target back into its normal form.  

Only one target can be polymorphed at a time.  Only works on Beasts, Humanoids and Critters.",Cannot attack or cast spells.  Increased regeneration.
120,,Targets in a cone in front of the caster take $s2 Frost damage and are slowed by $s1% for $d.,Movement slowed by $s1%.
