ID,SpellID,PreferredActionBarMask
30,163201,1
31,34428,1
32,6544,1
34,1715,1
36,6552,1
37,118038,1
38,167105,1
39,1719,1
40,78674,513
41,78675,512
44,88747,512
47,339,513
48,16914,512
49,8921,513
50,5217,64
51,52610,64
52,1079,64
53,106832,320
55,106839,320
57,22570,64
58,1822,64
59,106785,320
61,22812,320
62,6807,256
65,15407,1
66,8092,1
67,15487,1
68,73510,1
69,34914,1
70,47585,1
72,15286,1
74,32379,1
75,115181,128
76,115180,128
77,115308,128
78,115295,128
79,119582,128
80,121253,128
81,115176,448
85,115151,320
86,115294,320
87,115310,448
88,116670,1
89,116680,320
90,115175,320
91,116849,320
92,124682,320
96,115288,64
101,12294,1
102,1680,1
103,6343,1
104,97462,1
105,23881,1
106,100130,64
107,85288,1
109,5308,1
110,23922,1
111,2565,1
112,20243,1
113,6572,1
114,12975,1
116,1160,1
117,871,1
119,589,1
120,34433,1
122,33786,513
123,1850,64
124,22568,64
125,22842,256
126,6795,256
127,33917,256
128,5215,64
129,5221,64
130,106898,320
131,61336,833
132,5176,513
133,77758,256
134,6673,1
135,18499,1
136,100,1
138,57755,1
141,23920,1
142,355,1
143,8676,64
144,1833,64
145,1725,64
146,703,65
147,921,64
148,6770,64
149,114018,64
174,86101,1
175,772,1
176,12323,1
184,88163,1
187,185438,64
188,203782,1
209,93402,513
210,190984,512
211,194153,513
212,228477,1
213,8936,961
214,192081,256
215,99,256
321,330036,512
322,330034,512
323,330035,512
324,330033,512
325,330284,512
337,357208,1
338,357211,3
339,355936,1
340,364343,1
341,351338,1
342,372608,1024
343,372610,1024
344,361584,1024
345,374990,1024
346,376743,64
347,376744,64
352,403092,1024
353,403216,64
354,108920,1
355,10060,1
356,415667,65
357,425782,1024
