ID,SpellID,FacingCasterFlags,MinFactionID,MinReputation,RequiredAreasID,RequiredAuraVision,RequiresSpellFocus
2,53,1,0,0,0,0,0
4,75,1,0,0,0,0,0
6,100,1,0,0,0,0,0
8,133,1,0,0,0,0,0
9,348,1,0,0,0,0,0
11,408,1,0,0,0,0,0
13,585,1,0,0,0,0,0
17,703,1,0,0,0,0,0
18,772,1,0,0,0,0,0
22,1079,1,0,0,0,0,0
25,1329,1,0,0,0,0,0
26,1464,1,0,0,0,0,0
28,1752,1,0,0,0,0,0
29,1766,1,0,0,0,0,0
30,1776,1,0,0,0,0,0
31,1822,1,0,0,0,0,0
32,1833,1,0,0,0,0,0
33,1943,1,0,0,0,0,0
36,2098,1,0,0,0,0,0
38,2538,0,0,0,0,0,4
39,2539,0,0,0,0,0,4
40,2540,0,0,0,0,0,4
41,2541,0,0,0,0,0,4
42,2542,0,0,0,0,0,4
43,2543,0,0,0,0,0,4
44,2544,0,0,0,0,0,4
45,2545,0,0,0,0,0,4
46,2546,0,0,0,0,0,4
47,2547,0,0,0,0,0,4
48,2548,0,0,0,0,0,4
49,2549,0,0,0,0,0,4
50,2643,1,0,0,0,0,0
51,2657,0,0,0,0,0,3
52,2658,0,0,0,0,0,3
53,2659,0,0,0,0,0,3
54,2661,0,0,0,0,0,1
55,2662,0,0,0,0,0,1
56,2663,0,0,0,0,0,1
57,2664,0,0,0,0,0,1
58,2666,0,0,0,0,0,1
59,2667,0,0,0,0,0,1
60,2668,0,0,0,0,0,1
61,2670,0,0,0,0,0,1
62,2671,0,0,0,0,0,1
63,2672,0,0,0,0,0,1
64,2673,0,0,0,0,0,1
65,2675,0,0,0,0,0,1
66,2737,0,0,0,0,0,1
67,2738,0,0,0,0,0,1
68,2739,0,0,0,0,0,1
69,2740,0,0,0,0,0,1
70,2741,0,0,0,0,0,1
71,2742,0,0,0,0,0,1
72,2764,1,0,0,0,0,0
73,2795,0,0,0,0,0,4
75,2948,1,0,0,0,0,0
78,3018,1,0,0,0,0,0
82,3292,0,0,0,0,0,1
83,3293,0,0,0,0,0,1
84,3294,0,0,0,0,0,1
85,3295,0,0,0,0,0,1
86,3296,0,0,0,0,0,1
87,3297,0,0,0,0,0,1
88,3304,0,0,0,0,0,3
89,3307,0,0,0,0,0,3
90,3308,0,0,0,0,0,3
91,3319,0,0,0,0,0,1
92,3321,0,0,0,0,0,1
93,3323,0,0,0,0,0,1
94,3324,0,0,0,0,0,1
