ID,Base,Minimum
1,0,0
2,250,250
3,500,500
4,1000,1000
5,2000,2000
6,5000,5000
7,10000,10000
8,20000,20000
9,30000,30000
10,1000,500
11,2000,1000
12,5000,2500
13,30000,10000
14,3000,3000
15,4000,4000
16,1500,1500
18,-1000000,-1000000
19,2500,2500
20,2500,2500
21,2600,2600
22,3500,3500
23,1800,1800
24,2200,2200
25,2900,2900
26,3700,3700
27,4100,4100
28,3200,3200
29,4700,4700
30,4500,4500
31,2300,2300
32,7000,7000
33,5125,3000
34,8000,4000
35,12500,5000
36,600,600
37,25000,10000
38,45000,15000
39,60000,30000
50,1300,1300
70,300000,300000
90,1700,1700
91,2800,2800
110,750,750
130,1600,1600
150,3800,3800
151,2700,2700
152,3100,3100
153,3400,3400
170,8000,8000
171,6000,6000
190,100,100
191,0,0
202,1400,1400
541,2000,0
545,2000,0
579,2250,2250
584,3300,3300
590,3600,3600
591,60000,60000
592,40000,40000
593,850,850
599,-1,0
619,5200,5200
630,3500,2500
631,1900,1900
632,2100,2100
633,3220,3220
649,180000,180000
650,120000,120000
651,150000,150000
653,15000,15000
658,1500,1500
