ID,DifficultyID,Category,DefenseType,DispelType,Mechanic,PreventionType,StartRecoveryCategory,ChargeCategory,SpellID
2228,0,0,0,0,0,0,133,0,15602
9869,0,0,1,0,0,1,0,0,43574
13050,0,0,0,0,21,0,0,0,58615
14717,0,0,1,1,0,0,0,0,64527
15320,4,0,1,0,0,1,0,0,67197
15483,4,0,1,0,0,0,0,0,66193
15484,5,0,1,0,0,0,0,0,66193
15485,6,0,1,0,0,0,0,0,66193
15795,4,0,1,0,0,1,0,0,68921
15861,4,0,1,1,0,1,0,0,18958
16079,4,0,1,1,0,1,0,0,69060
16116,4,0,1,1,0,1,0,0,68778
16313,4,1152,0,0,0,0,0,0,69278
16314,4,0,1,3,0,1,0,0,69674
16329,0,0,0,0,12,0,0,0,71293
16384,4,0,0,0,0,0,133,0,70867
16405,5,0,0,0,0,0,133,0,70867
16406,6,0,0,0,0,0,133,0,70867
16561,4,1152,1,1,0,1,0,0,72090
16666,4,0,3,0,0,2,0,0,72380
16667,5,0,3,0,0,2,0,0,72380
16668,6,0,3,0,0,2,0,0,72380
16678,4,0,1,0,0,1,0,0,72454
16694,5,0,1,0,0,1,0,0,72454
16695,6,0,1,0,0,1,0,0,72454
16730,4,2,1,1,0,0,0,0,70116
16734,4,0,1,1,0,1,0,0,72649
16770,4,0,1,0,0,1,0,0,70911
16771,5,0,1,0,0,1,0,0,70911
16772,6,0,1,0,0,1,0,0,70911
16791,5,0,1,3,0,1,0,0,69674
16792,6,0,1,3,0,1,0,0,69674
16816,0,0,1,0,6,1,0,0,73325
16817,0,0,1,0,0,1,133,0,73413
16818,0,0,1,0,0,1,133,0,73510
16821,0,0,0,0,0,4,133,0,73651
16823,0,0,0,0,0,1,133,0,73680
16824,0,0,2,0,0,0,0,0,73681
16825,0,0,1,0,0,0,0,0,73682
16826,0,0,1,0,0,0,0,0,73683
16827,0,0,0,0,16,0,133,0,73684
16828,0,0,0,0,0,0,133,0,73685
16833,4,0,0,3,0,0,0,0,70338
16834,5,0,0,3,0,0,0,0,70338
16835,6,0,0,3,0,0,0,0,70338
16855,0,1254,2,0,0,2,133,0,73899
16856,0,0,1,0,0,1,133,0,73910
16857,4,0,0,3,0,0,0,0,70337
16858,5,0,0,3,0,0,0,0,70337
16859,6,0,0,3,0,0,0,0,70337
16860,0,0,0,0,0,1,133,0,73920
16861,0,0,1,0,0,1,0,0,73921
16882,0,0,2,0,0,2,133,0,73975
16883,0,0,0,0,0,4,133,0,73981
16884,0,0,1,1,0,1,133,0,74063
16896,4,1152,0,0,0,0,0,0,73654
16897,5,1152,0,0,0,0,0,0,73654
16898,6,1152,0,0,0,0,0,0,73654
16913,0,0,0,0,0,1,0,0,74434
16930,0,0,1,0,0,1,133,0,74625
16932,0,0,0,2,0,0,0,0,74627
16934,0,1177,1,0,0,1,133,0,74650
16961,0,0,2,0,32,2,133,0,74860
17041,0,0,3,0,0,2,0,0,76083
17042,0,133,1,1,0,1,0,0,76102
17043,0,0,1,0,0,1,133,0,76108
17044,0,0,1,0,0,1,0,0,76111
17047,0,0,1,1,0,0,0,0,76533
17048,0,0,2,0,0,2,0,0,76555
17050,0,37,1,0,29,1,1421,0,76568
17051,0,0,0,0,0,4,133,0,76577
17053,0,98,1,1,12,0,0,0,76615
17054,0,98,1,1,12,0,0,0,76632
17055,0,0,3,0,0,0,0,0,76663
17057,0,0,1,1,18,1,133,0,76780
17058,0,0,0,0,0,1,0,0,76781
17059,0,0,2,0,0,0,0,0,76858
17060,0,0,2,0,0,2,1421,0,76871
17061,0,0,3,0,0,2,0,0,76899
17062,0,0,0,0,0,1,0,0,77179
17063,0,1152,0,0,0,0,0,0,77276
17064,0,0,0,0,0,1,0,0,77442
17065,0,0,0,1,0,0,0,0,77443
17066,0,0,1,0,0,1,0,0,77451
17067,0,0,1,0,0,1,133,0,77467
17068,0,0,1,0,0,1,133,0,77472
17069,0,0,1,0,0,1,133,0,77478
17070,0,0,1,0,0,1,133,0,77479
17071,0,0,0,1,0,0,0,0,77482
17072,0,0,1,1,0,1,133,0,77487
17073,0,0,0,0,12,0,0,0,77505
17074,0,0,1,0,0,4,133,0,77575
17077,0,0,0,1,0,0,0,0,77661
17079,0,0,2,0,15,2,133,0,77758
17080,0,1257,1,0,0,1,133,0,77761
17081,0,1257,1,0,0,1,133,0,77764
17084,0,0,3,0,0,2,133,0,77767
17086,0,0,1,0,0,1,133,0,77799
17088,0,0,1,0,0,1,0,0,77801
17089,0,0,1,0,0,1,133,0,77960
17090,0,0,1,0,0,1,133,0,77961
17093,0,0,0,1,0,1,133,0,78164
17095,0,0,1,0,0,1,133,0,78674
17096,0,1420,0,0,0,1,0,0,78675
17100,0,0,1,0,0,0,0,0,78777
17101,0,1152,0,0,0,0,0,0,78932
17102,0,0,0,0,12,0,0,0,78987
17103,0,0,0,0,12,0,0,0,78994
17104,0,0,0,0,12,0,0,0,79000
17119,0,0,2,0,0,1,0,0,79136
17120,0,0,0,0,0,6,133,0,79140
17122,0,0,1,1,0,1,0,0,79206
17125,0,133,1,1,0,1,0,0,79280
17126,0,85,1,0,0,1,133,0,79282
17127,0,85,1,0,0,1,133,0,79286
17128,0,133,1,1,0,1,0,0,79289
17129,0,0,3,0,0,2,0,0,79307
17130,0,0,3,0,0,2,0,0,79308
17131,0,0,1,0,0,1,133,0,79311
17132,0,0,1,0,0,1,133,0,79312
17133,0,0,1,0,0,1,0,0,79313
17134,0,0,1,0,0,1,0,0,79314
17135,0,0,1,0,0,1,133,0,79315
17136,0,0,1,0,0,1,133,0,79316
17137,0,0,0,1,0,0,0,0,79438
17144,0,0,1,1,0,1,0,0,79579
17146,0,0,1,0,0,1,133,0,79623
17148,0,0,1,2,0,1,133,0,80240
17150,0,0,0,5,0,0,0,0,80325
17151,0,0,0,1,0,1,0,0,80353
17157,0,0,1,1,9,1,0,0,80483
17162,0,0,1,0,0,0,0,0,80843
17165,0,1260,2,0,0,2,0,0,80964
17166,0,1260,2,0,0,2,0,0,80965
17173,0,0,0,0,0,1,0,0,81070
17179,0,0,1,0,0,0,0,0,81256
17181,0,0,1,0,9,0,0,0,81261
17182,0,0,1,0,0,1,0,0,81262
17183,0,0,1,1,0,0,0,0,81269
17185,0,0,1,1,11,1,0,0,81281
17186,0,0,1,0,0,1,0,0,81282
17187,0,0,1,0,0,1,0,0,81283
17192,0,0,0,1,0,0,0,0,81292
17193,0,0,1,0,0,1,0,0,81297
17194,0,0,1,0,0,1,0,0,81298
17201,0,1268,0,1,0,1,0,0,81700
17202,0,0,1,0,0,1,0,0,81751
17336,0,0,0,1,0,0,0,0,10235
17704,0,0,3,0,0,2,0,0,61871
17705,0,0,1,2,0,1,133,0,62232
17706,0,1201,0,0,0,0,133,0,62246
17707,0,0,1,0,0,1,0,0,62294
17709,0,0,1,1,0,1,1421,0,62682
17710,0,0,1,1,0,1,133,0,62804
17711,0,0,1,0,0,1,0,0,62810
17712,0,0,3,0,0,2,0,0,62818
17713,0,25,1,0,0,1,0,0,62822
17714,0,0,0,1,0,0,0,0,62856
17715,0,0,1,0,0,1,133,0,62975
17716,0,0,1,0,0,1,133,0,62982
17717,0,0,1,1,0,1,0,0,62983
17718,0,0,1,0,0,1,0,0,63032
17719,0,38,0,5,0,0,0,0,63051
17720,0,0,0,0,0,0,133,0,63520
17722,0,0,0,3,0,0,0,0,63939
17724,0,0,0,0,0,0,133,0,63996
17726,0,49,1,0,0,1,133,0,64244
17727,0,0,0,0,0,0,133,0,64327
17728,0,0,0,0,0,0,133,0,64439
17729,0,38,0,5,0,0,0,0,64585
17730,0,0,0,0,0,0,133,0,64664
17732,0,0,1,0,0,0,0,0,64954
17733,0,0,0,0,0,0,133,0,65046
17734,0,133,0,0,0,0,133,0,65048
