ID,CastUI
1747,1
1748,1
1749,1
1750,1
1751,1
1853,1
2975,1
2976,1
2977,1
2980,1
2981,1
2982,1
3231,3
3666,1
3667,1
4195,1
4196,1
4197,1
4198,1
4199,1
4200,1
4201,1
4202,1
4741,1
4783,1
4785,1
4806,1
5048,1
5049,1
5169,2
5264,2
5265,2
5266,2
5267,2
5268,2
6476,3
6539,1
6560,3
7370,1
7418,3
7420,3
7421,3
7426,3
7428,3
7434,3
7439,3
7443,3
7448,3
7451,3
7454,3
7457,3
7745,3
7748,3
7766,3
7769,3
7771,3
7776,3
7779,3
7782,3
7786,3
7788,3
7793,3
7795,3
7853,3
7855,3
7857,3
7859,3
7861,3
7863,3
7865,3
7867,3
8087,3
8088,3
8089,3
8090,3
8532,3
9092,3
13378,3
13380,3
13419,3
13421,3
13464,3
13485,3
13501,3
13503,3
13522,3
13529,3
13536,3
13538,3
13607,3
13612,3
13617,3
13620,3
13622,3
13626,3
13628,3
13631,3
13635,3
13637,3
13640,3
13642,3
13644,3
13646,3
13648,3
13653,3
13655,3
13657,3
13659,3
13661,3
13663,3
13687,3
13689,3
13693,3
13695,3
13698,3
13700,3
13702,3
13746,3
13794,3
13815,3
13817,3
13822,3
13836,3
13841,3
13846,3
13858,3
13868,3
13882,3
13887,3
13890,3
13898,3
13905,3
13915,3
13917,3
13931,3
13933,3
13935,3
13937,3
13939,3
13941,3
13943,3
13945,3
13947,3
13948,3
14293,3
14807,3
14809,3
14810,3
14847,3
14922,1
14923,1
14924,1
14925,1
14926,1
14927,1
15596,3
16698,1
17180,3
17181,3
17254,1
17262,1
17263,1
17264,1
17265,1
17266,1
17267,1
17268,1
19927,3
19931,3
19932,3
20008,3
20009,3
20010,3
20011,3
20012,3
20013,3
20014,3
20015,3
20016,3
20017,3
20020,3
20023,3
20024,3
20025,3
20026,3
20028,3
20029,3
20030,3
20031,3
20032,3
20033,3
20034,3
20035,3
20036,3
20051,3
21931,3
22051,3
22052,3
22053,3
22054,3
22089,3
22090,3
22091,3
22092,3
22094,3
22095,3
22096,3
22097,3
22098,3
22099,3
22100,3
22101,3
22102,3
22103,3
22104,3
22105,3
22106,3
22749,3
22750,3
23141,3
23142,3
23143,3
23144,3
23146,1
23149,1
23150,1
23799,3
23800,3
23801,3
23802,3
23803,3
23804,3
24424,1
24440,1
24441,1
24451,1
24454,1
24455,1
24463,1
24464,1
24475,1
24476,1
24477,1
24478,1
24490,1
24494,1
24508,1
24509,1
24510,1
24511,1
24512,1
24513,1
24514,1
24515,1
24516,1
24547,1
24556,1
24557,1
24558,1
24559,1
24560,1
24561,1
24562,1
24580,1
24581,1
24582,1
24584,1
24588,1
24589,1
24631,1
24632,1
24641,1
24845,1
25013,1
25014,1
25015,1
25016,1
25017,1
25072,3
25073,3
25074,3
25077,1
25078,3
25079,3
25080,3
25081,3
25082,3
25083,3
25084,3
25086,3
25124,3
25125,3
25126,3
25127,3
25128,3
25129,3
25130,3
26065,1
26094,1
26184,1
26185,1
26186,1
26189,1
26190,1
26202,1
26743,3
26792,3
26793,3
27093,3
27102,3
27104,3
27105,3
27107,3
27108,3
27109,3
27110,3
27111,3
27112,3
27113,3
27114,3
27115,3
27116,3
27117,3
27118,3
27119,3
27120,3
27121,3
27122,3
27123,3
27344,1
27346,1
27347,1
27348,1
27349,1
27350,1
27351,1
27352,1
27353,1
27354,1
27361,1
27362,1
27364,1
27366,1
27622,3
27837,3
27899,3
27905,3
27906,3
27911,3
27913,3
27914,3
27917,3
27920,3
27924,3
27926,3
27927,3
27944,3
27945,3
27946,3
27947,3
27948,3
27950,3
27951,3
27954,3
27957,3
27958,3
27960,3
27961,3
27962,3
27964,3
27967,3
27968,3
27971,3
27972,3
27975,3
27977,3
27981,3
27982,3
27984,3
28003,3
28004,3
28016,3
28019,3
28021,3
28022,3
28027,3
28028,3
28343,1
30183,3
30187,3
30190,3
30229,3
32664,3
32665,3
32667,3
33990,3
33991,3
33992,3
33993,3
33994,3
33995,3
33996,3
33997,3
33999,3
34001,3
34002,3
34003,3
34004,3
34005,3
34006,3
34007,3
34008,3
34009,3
34010,3
35299,1
35300,1
35302,1
35303,1
35304,1
35305,1
35306,1
35307,1
35308,1
35348,1
35388,1
35390,1
35391,1
35791,3
35792,3
35793,3
35794,3
35795,3
35796,3
35797,3
35798,3
35799,3
35800,3
35801,3
35802,3
35803,3
35804,3
35805,3
35811,3
35812,3
35813,3
35814,3
35815,3
35816,3
35817,3
35818,3
35819,3
35820,3
35821,3
35822,3
35823,3
35824,3
35825,3
35826,3
36281,3
36282,3
36283,3
36284,3
36285,3
36286,3
36503,3
39403,3
39404,3
39405,3
39406,3
39407,3
39408,3
39409,3
39410,3
39411,3
42012,3
42613,3
42615,3
42620,3
42974,3
43005,3
43699,3
44119,3
44383,3
44483,3
44484,3
44488,3
44489,3
44492,3
44494,3
44500,3
44506,3
44508,3
44509,3
44510,3
44513,3
44524,3
44528,3
44529,3
44555,3
44556,3
44575,3
44576,3
44582,3
44584,3
44588,3
44589,3
44590,3
44591,3
44592,3
44593,3
44595,3
44596,3
44598,3
44612,3
44616,3
44621,3
44623,3
44625,3
44629,3
44630,3
44631,3
44633,3
44635,3
44636,3
44645,3
45028,3
45731,3
45765,3
46578,3
46594,3
47051,3
47103,3
47672,3
47715,3
47766,3
47898,3
47899,3
47900,3
47901,3
48036,3
48401,3
48555,3
48556,3
48557,3
51320,3
359639,3
359640,3
359641,3
359642,3
359685,3
359847,3
359858,3
359895,3
359949,3
359950,3
454501,0
454503,0
454506,0
454507,0
453556,0
46816,0
84646,0
88333,0
88473,0
83771,0
453830,0
91812,0
348,0
1949,0
5740,0
18088,0
30859,0
37279,0
37465,0
39842,0
40717,0
42223,0
47897,0
47960,0
49883,0
49884,0
50989,0
50990,0
51338,0
65810,0
79621,0
84807,0
85403,0
87389,0
80353,0
80354,0
79268,0
58382,0
50452,0
453082,0
453126,0
50401,0
53695,0
53696,0
746,0
1159,0
3267,0
3268,0
7926,0
7927,0
10838,0
10839,0
18608,0
18610,0
23696,0
27030,0
27031,0
45543,0
45544,0
51803,0
51827,0
53298,0
53299,0
47509,0
47511,0
47515,0
81096,0
455034,0
455054,0
455064,0
455199,0
455206,0
48168,0
65069,0
88611,0
65068,0
65066,0
88453,0
65065,0
18540,0
19263,0
20549,0
20577,0
33702,0
62618,0
69070,0
70940,0
74001,0
76577,0
79140,0
82726,0
85730,0
89140,0
97462,0
48266,0
63621,0
16857,0
455661,0
455924,0
455928,0
455940,0
455941,0
71726,0
55685,0
26297,0
52109,0
77747,0
82676,0
82736,0
84721,0
