ID,Variables
807,$power=${6.568597+0.672028*$PL+0.031721*$PL*$PL}
808,"$base=${5.741530-0.255683*$PL+0.032656*$PL*$PL}
$percombo=${8.740728-0.415787*$PL+0.051973*$PL*$PL}"
809,"$power=${13.828124+0.018012*$PL+0.044141*$PL*$PL}
$healpower=${38.258376+0.904195*$PL+0.161311*$PL*$PL}
$frostdamage1=$?s11151[${1.02}][${1.0}]
$frostdamage2=$?s12952[${1.04}][${$<frostdamage1>}]
$frostdamage=$?s12953[${1.06}][${$<frostdamage2>}]"
810,"$damagepower=${9.456667+0.635108*$PL+0.039063*$PL*$PL}
$healpower=${38.258376+0.904195*$PL+0.161311*$PL*$PL}"
815,"$damagepower=${9.046514+0.676562*$PL+0.019349*$PL*$PL}
$healpower=${38.258376+0.904195*$PL+0.161311*$PL*$PL}"
823,"$damagepower=${9.183105+0.616405*$PL+0.028608*$PL*$PL}
$healpower=${38.949830+0.606705*$PL+0.167780*$PL*$PL}"
824,"$damagepower=${7.583798+0.471881*$PL+0.036599*$PL*$PL}
$healpower=${29.888200+0.690312*$PL+0.136267*$PL*$PL}"
826,"$damagepower=${2.976264+0.641066*$PL+0.022519*$PL*$PL}
"
840,$buff=${$?$PL>=60[89]$?$PL>=56[74]$?$PL>52[60]$?$PL>42[45]$?$PL>32[26]$?$PL>=22[17]$?$PL>12[11][6]}
842,$threat=$?s63326[${$m3*-1+$63326m1}][${$m3}]
859,"$mult1=$?s17815[${1.05}][${1.0}]
$mult2=$?s17833[${1.10}][${$<mult1>}]
$mult3=$?s17834[${1.15}][${$<mult2>}]
$mult4=$?s17835[${1.20}][${$<mult3>}]
$mult=$?s17836[${1.25}][${$<mult4>}]
$power=${6.568597+0.672028*$PL+0.031721*$PL*$PL}"
860,"$mult1=$?s29192[${1.06}][${1.0}]
$mult=$?s29193[${1.12}][${$<mult1>}]
"
861,"$mult1=$?s29192[${1.15}][${1.0}]
$mult=$?s29193[${1.30}][${$<mult1>}]"
865,"$ticks=$?s436895[${8}][${6}]
$mult=$?s436895[${1.5}][${1.0}]"
894,$resist=${$?$PL>56[1][2]}
960,$mult=$?s14165[${$14165m1/100+1}][${1}]
984,$points=$?a446212[${$446212m1/1000}][${0}]
985,"$sk=${$sk43+$skm43}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp43:0}$gp1=${100-$sgp43:5}$gp2=${100-$sgp43:10}$gp3=${100-$sgp43:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
986,$b=${$<a>+7}
988,"$sk=${$sk55+$skm55}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp55:0}$gp1=${100-$sgp55:5}$gp2=${100-$sgp55:10}$gp3=${100-$sgp55:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
989,"$sk=${$sk45+$skm45}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp45:0}$gp1=${100-$sgp45:5}$gp2=${100-$sgp45:10}$gp3=${100-$sgp45:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
990,"$sk=${$sk45+$skm45}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp45:0}$gp1=${100-$sgp45:5}$gp2=${100-$sgp45:10}$gp3=${100-$sgp45:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
991,"$sk=${$sk46+$skm46}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp46:0}$gp1=${100-$sgp46:5}$gp2=${100-$sgp46:10}$gp3=${100-$sgp46:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
992,"$sk=${$sk54+$skm54}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp54:0}$gp1=${100-$sgp54:5}$gp2=${100-$sgp54:10}$gp3=${100-$sgp54:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
993,"$sk=${$sk136+$skm136}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp136:0}$gp1=${100-$sgp136:5}$gp2=${100-$sgp136:10}$gp3=${100-$sgp136:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
994,"$sk=${$sk160+$skm160}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp160:0}$gp1=${100-$sgp160:5}$gp2=${100-$sgp160:10}$gp3=${100-$sgp160:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
995,"$sk=${$sk162+$skm162}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp162:0}$gp1=${100-$sgp162:5}$gp2=${100-$sgp162:10}$gp3=${100-$sgp162:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
996,"$sk=${$sk172+$skm172}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp172:0}$gp1=${100-$sgp172:5}$gp2=${100-$sgp172:10}$gp3=${100-$sgp172:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
997,"$sk=${$sk173+$skm173}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp173:0}$gp1=${100-$sgp173:5}$gp2=${100-$sgp173:10}$gp3=${100-$sgp173:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
998,"$sk=${$sk176+$skm176}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp176:0}$gp1=${100-$sgp176:5}$gp2=${100-$sgp176:10}$gp3=${100-$sgp176:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
999,"$sk=${$sk226+$skm226}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp226:0}$gp1=${100-$sgp226:5}$gp2=${100-$sgp226:10}$gp3=${100-$sgp226:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
1000,"$sk=${$sk228+$skm228}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp228:0}$gp1=${100-$sgp228:5}$gp2=${100-$sgp228:10}$gp3=${100-$sgp228:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>-)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
1001,"$sk=${$sk229+$skm229}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp229:0}$gp1=${100-$sgp229:5}$gp2=${100-$sgp229:10}$gp3=${100-$sgp229:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
1002,"$sk=${$sk473+$skm473}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp473:0}$gp1=${100-$sgp473:5}$gp2=${100-$sgp473:10}$gp3=${100-$sgp473:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
1008,"$sk=${$sk134+$skm134}$sc=${$PL*5}$gcl=${$min($<sk>,$<sc>)}$hdp=${($<sk>-$<sc>)*0.04}$cr=${($<sk>-$<sc>)*0.02}$hdp1=${($<sk>-($PL+1)*5)*0.04}$cr1=${($<sk>-($PL+1)*5)*0.02}$hdp2=${($<sk>-($PL+2)*5)*0.04}$cr2=${($<sk>-($PL+2)*5)*0.02}$hdp3=${($<sk>-($PL+3)*5)*0.04}$cr3=${($<sk>-($PL+3)*5)*0.02}$gp=${100-$sgp134:0}$gp1=${100-$sgp134:5}$gp2=${100-$sgp134:10}$gp3=${100-$sgp134:15}$gc=${($<sc>-$<gcl>)*2+10}$gc1=${(($PL+1)*5-$<gcl>)*2+10}$gc2=${(($PL+2)*5-$<gcl>)*2+10}$gc3=${(($PL+3)*5-$<gcl>)*2+10}"
1011,"$imp=$?a14748[${1.2}][${1}]

$shield=${$s1)*$<imp>}.#"
1014,"$impE=$?s14162[${$14162m1/100+1}][${1}]
$agg=$?s18427[${$18427m1/100+1}][${1}]
$mult=${$<impE>*$<agg>}"
1015,"$twinD=$?s1225132[${$1225132m1/100+1)}][${1}]
$spiritualH=$?s14898[${$14898m1/100+1)}][${1}]
$mult=${$<twinD>*$<spiritualH>}"
1016,"$shadowMult=$?a23761[${$23785m1/100+1}][${1}]
$fireMult=$?a23759[${$23785m1/100+1}][${1}]
$petMult=$?a18769[${$18769m1/100+1}][${1}]
$mult=${$<fireMult>*$<petMult>*$<shadowMult>}
$sps=${$SPS}
$spfi=${$SPFI}
$which=${$cond($gt($<spfi>,$<sps>), $<spfi>,$<sps>)}
$minDam=${((($pl-26)*1.5)+14+(0.078*$<which>))*$<mult>}
$maxDam=${((($pl-26)*1.5)+17+(0.078*$<which>))*$<mult>}"
1017,"$shadowMult=$?a23761[${$23785m1/100+1}][${1}]
$petMult=$?a18769[${$18769m1/100+1}][${1}]
$mult=${$<petMult>*$<shadowMult>}
$minDam=${((($pl-26)*1.5)+14+(0.078*$sps))*$<mult>}
$maxDam=${((($pl-26)*1.5)+17+(0.078*$sps))*$<mult>}"
1018,"$fireMult=$?a23759[${$23785m1/100+1}][${1}]
$petMult=$?a18769[${$18769m1/100+1}][${1}]
$mult=${$<fireMult>*$<petMult>}
$minDam=${((($pl-26)*1.5)+14+(0.078*$spfi))*$<mult>}
$maxDam=${((($pl-26)*1.5)+17+(0.078*$spfi))*$<mult>}"
1020,"$shadowMult=$?a23761[${1.1}][${1}]
$fireMult=$?a23759[${1.1}][${1}]
$petMult=$?a18769[${1.1}][${1}]
$mult=${$<fireMult>*$<petMult>*$<shadowMult>}
$sps=${$SPS}
$spfi=${$SPFI}
$which=${$cond($gt($<spfi>,$<sps>), $<spfi>,$<sps>)}
$minDam=${((($pl-26)*1.5)+14+(0.078*$<which>))}
$maxDam=${((($pl-26)*1.5)+17+(0.078*$<which>))}"
1021,"$ratio=${10}
$maxAP=${40}"
