ID,EmissionRate,ModelScale,AreaModelID,Flags
141,1,1,568,0
146,5,1,792,2
147,3,1,755,2
169,20,1,418,0
177,30,0.75,600,2
178,30,4,469,2
180,1,1,327,3
185,1,1,811,0
189,1,1,701,0
194,3,2,814,1
197,10,1,418,0
199,1,1,503,0
203,1,1,772,0
206,1,1,818,0
210,100,1,587,1
214,1,1,819,0
219,30,0.75,802,2
221,1,1,795,0
227,1,1,256,0
228,30,1,857,1
231,1,1,511,0
232,1,1,256,0
238,30,1,816,2
239,15,1,418,2
240,35,1,417,2
244,4,0.5,830,2
251,2,2,833,0
252,10,0.51,418,2
257,100,1,512,0
261,100,1,512,0
262,10,1,838,2
263,15,0.5,839,2
264,80,1,512,2
265,10,1,256,2
266,100,1,842,2
267,100,1,842,2
270,10,0.25,745,2
273,1,1,510,0
274,20,1,510,2
285,15,1,845,2
286,15,1,845,2
287,15,1,845,2
291,1.5,1,575,0
293,5,1,848,2
294,15,1,660,2
296,1,1,847,0
305,2,1,256,0
306,4,1,256,0
307,10,0.5,417,0
308,10,0.5,418,0
309,10,1,808,0
315,18,1.5,858,0
316,28,1.5,858,0
317,30,2.5,858,0
318,5,0.5,691,0
320,3,0.5,327,2
321,70,1,857,2
325,20,1,341,2
327,5,1,417,0
328,10,0.5,417,0
329,10,0.5,417,0
333,5,5.5,859,0
335,10,1,860,1
336,3,0.5,860,0
337,3,0.5,860,1
341,15,2.5,672,2
342,25,1,861,2
343,25,1,861,2
344,25,1,861,2
346,1,1,433,0
348,30,1,418,2
355,5,1,327,0
356,8,1,701,2
357,15,1,796,2
359,30,1,1119,0
360,20,1,542,2
363,1,1,673,0
364,5,1,418,0
366,25,4,865,1
368,20,0.501,417,0
369,20,1,542,0
370,25,1,132,0
371,25,0.5,866,2
374,3,1,612,2
377,3,0.75,141,0
378,10,3.5,763,2
379,5,1,327,2
382,8,0.75,360,2
383,4,0.75,141,0
385,2,1,873,0
386,3,1,874,0
390,80,1,876,0
393,5,1,417,2
397,25,5,534,0
402,10,1.2,846,1
403,5,1,884,0
406,1,1,886,2
408,1,1,886,2
409,10,0.75,437,0
416,20,1,885,0
425,10,1,892,2
426,100,1.25,894,0
427,8,0.75,443,2
428,1,1,444,0
429,1,1,499,0
435,1,1,898,0
436,30,0.75,622,0
437,30,1,434,0
438,10,0.5,417,0
454,5,1,708,0
455,20,1,624,0
459,5,1,860,1
460,10,1,860,0
466,2,1,708,1
467,10,0.5,691,0
468,10,0.5,796,0
471,10,0.5,691,0
472,10,0.5,796,0
473,30,0.5,584,3
474,15,0.5,584,2
475,30,0.5,839,1
484,50,1,907,1
485,50,2,907,0
489,20,1,908,0
490,20,1,909,0
495,10,0.75,437,1
497,30,1,622,1
510,10,0.5,913,3
511,15,0.75,913,2
512,10,0.5,913,3
514,15,0.5,913,0
515,20,0.25,453,3
516,10,1,780,2
517,20,0.5,258,3
518,5,2,258,2
519,1,1,327,0
520,1,1,326,0
521,3,1.5,350,1
524,8,1,453,0
525,5,2.5,350,1
526,1,1,485,0
527,3,1.5,350,1
529,1,1,796,0
530,1,1,691,0
534,10,1,916,0
535,1,1,504,0
537,30,1,277,2
538,30,2,918,2
539,20,1,919,0
540,60,1,918,3
541,20,0.5,918,2
545,1,1,920,0
549,200,1,701,0
550,10,0.5,21,2
551,200,1,701,0
552,1,1,923,0
553,5,0.25,503,2
554,80,0.25,925,1
555,100,0.5,926,0
569,20,1,417,0
573,2,0.25,541,0
574,1,1,923,0
575,10,0.5,705,0
576,10,0.5,778,0
583,1,1,672,0
584,1,1,840,0
586,1,1,750,0
587,10,1,930,0
588,2,1,931,0
591,4,3,453,0
592,1,2,691,1
593,1,1,937,0
597,5,1,845,0
598,1,1,444,0
599,25,1,845,0
600,25,1,444,0
605,2,1,701,0
606,1,1,796,0
633,2,1,635,0
634,2,1,636,0
636,20,1,635,0
637,3,1,636,0
639,200,1,636,2
640,200,1,635,0
644,100,0.75,948,0
649,1,1,725,0
650,1,1,945,0
653,1.5,1,417,0
660,100,2,635,0
669,30,1,951,2
670,30,1,951,2
671,5,1,701,0
676,15,1,256,0
677,25,0.15,510,0
678,30,3,663,0
679,3,1,691,1
685,40,1,796,0
686,40,1,796,0
688,20,1,796,0
689,20,1,417,0
690,20,1,417,0
699,1,1,925,1
739,10,0.5,256,1
741,1,1,542,0
742,1,0.75,417,1
743,2,0.5,417,0
744,5,1,1140,0
745,3,1,511,0
766,1,1,344,0
782,20,1,845,1
783,50,1,444,0
789,1,1,970,0
790,1,1,155,0
804,1,1,444,0
811,10,0.5,978,0
815,12,1,291,0
816,1,4,291,0
817,2,1,979,0
822,10,1,892,2
824,1,1,763,0
825,1,0.5,983,0
826,50,1,403,0
827,50,0.5,404,0
828,35,1,326,0
829,15,0.8,684,0
830,10,1.5,685,0
831,10,0.75,628,0
832,30,2.5,291,0
833,3,0.75,628,0
834,5,2.5,291,0
835,5,1,256,0
836,15,1,256,0
838,20,1,984,0
839,15,0.25,985,2
840,30,1,338,0
841,20,0.75,341,0
842,15,1,338,1
843,1,1,245,0
847,10,0.5,892,1
850,5,0.5,256,0
854,30,1,433,1
858,5,0.5,256,0
860,10,1,663,0
861,10,0.25,256,0
863,20,1,663,0
864,10,1,333,1
865,25,5,649,0
866,10,2,444,0
868,20,0.25,256,0
869,20,0.25,256,0
870,20,1,663,0
871,20,1,338,0
872,20,0.5,990,0
873,1,1,615,0
874,5,0.5,620,0
876,20,0.75,620,0
877,20,1,663,0
977,10,0.25,256,0
978,20,0.5,990,0
979,20,1,258,1
982,10,1,1093,1
984,10,1,1093,0
986,10,1,1093,0
987,20,0.5,990,0
989,20,0.25,256,0
990,20,1,663,0
991,10,1,620,0
994,20,0.25,256,0
999,15,0.25,985,2
1017,1,1,1124,0
1019,35,1,880,2
1022,1,1,700,0
1023,1,1,567,0
1026,1,1,663,0
1033,1,1,256,0
1035,1,1,256,0
1036,20,0.25,256,0
1037,20,1,663,0
1038,10,1,256,0
1039,20,1,338,0
1040,30,0.5,584,3
1041,15,0.5,584,2
1042,20,0.5,990,0
1044,1,1,763,1
1046,1,1,586,0
1049,20,1,438,0
1050,1,1,443,0
1051,1,1,587,0
1052,5,1,1133,0
1053,80,1,1134,0
1054,80,5,641,0
1055,1,1,872,0
1057,1,1,443,0
1058,1,1,636,0
1059,1,1,1138,3
1060,1,1,635,0
1064,2,1,701,1
1067,4,1,256,0
1076,10,10,1145,0
1078,3,0.75,1146,0
1083,7,0.1,1149,2
1091,1,1,1155,0
1093,1,1,806,0
1098,15,0.5,600,1
1099,2,0.5,1158,1
1105,1.5,2.5,575,1
1106,1,1,344,1
1107,4,0.8,575,0
1112,1,1,628,0
1115,1,1,344,0
1117,1,1,1164,1
1119,6,1,1167,0
1124,1,1,1133,0
1125,10,0.35,1171,0
1127,20,1,272,1
1130,1,1,1155,0
1132,30,2.5,291,0
1133,1,1,961,0
1136,50,1,698,0
1138,1,1,614,0
1145,10,1,1191,0
1149,1,1,636,0
1153,30,1,1192,0
1158,1,1,1145,0
1160,1,1,1192,0
1162,5,1,256,0
1163,1,1,1192,1
1164,1,2,691,1
1165,1,2,691,1
1166,5,1,503,0
1168,100,1,842,2
1169,10,1,1195,0
1173,1,1,979,0
1182,1,1,1191,0
1184,1,1,403,0
1185,1,1,960,0
1195,1,1,343,0
1196,15,5,1207,0
1201,1,1,256,0
1202,1,1,663,0
1203,1,1,639,0
1218,2,1,1130,3
1219,2,1,1130,2
1222,1,1,803,0
1223,1,1,803,1
1232,1,1,520,1
