ID,EnumID,Field_12_1_5_69594_001
1,0,0
2,1,2
3,2,2
4,3,2
5,4,2
6,5,2
7,6,2
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,12,2
14,13,2
15,14,3
16,15,2
17,16,3
18,17,2
19,18,2
20,19,2
21,20,2
22,21,2
23,22,2
24,23,2
25,24,2
26,25,2
27,26,2
28,27,2
29,28,2
30,29,2
31,30,2
32,31,2
33,32,2
34,33,3
35,34,2
36,35,2
37,36,3
38,37,2
39,38,2
40,39,2
41,40,2
42,41,2
43,42,2
44,43,2
45,44,3
46,45,3
47,46,2
48,47,2
49,48,2
50,49,2
51,50,2
52,51,2
53,52,3
54,53,3
55,54,3
56,55,2
57,56,2
58,57,3
59,58,2
60,59,2
61,60,2
62,61,0
63,62,2
64,63,2
65,64,2
66,65,2
67,66,2
68,67,2
69,68,2
70,69,2
71,70,2
72,71,2
73,72,2
74,73,2
75,74,3
76,75,2
77,76,2
78,77,2
79,78,2
80,79,2
81,80,3
82,81,2
83,82,2
84,83,2
104,84,2
124,85,2
125,86,2
144,87,2
145,88,2
146,89,2
147,90,2
148,91,2
149,92,2
164,93,2
184,94,2
204,95,2
224,96,2
244,97,2
264,98,2
265,99,2
284,100,3
304,101,2
305,102,2
324,103,3
344,104,2
345,105,2
346,106,2
347,107,2
364,108,2
384,109,2
404,110,2
424,111,2
444,112,2
464,113,2
484,114,2
505,115,2
525,116,2
544,117,2
564,118,2
565,119,2
584,120,3
585,121,2
586,122,3
587,123,2
588,124,2
589,125,2
590,126,2
591,127,2
592,128,2
593,129,2
594,130,2
595,131,3
596,132,3
597,133,2
598,134,2
599,135,2
600,136,2
601,137,2
602,139,2
603,138,2
604,140,2
605,141,2
606,142,2
607,143,2
610,144,2
611,145,2
612,146,3
613,147,2
614,148,2
615,149,2
617,150,3
619,151,2
620,152,2
621,153,2
622,154,3
623,155,2
624,156,2
626,157,2
627,158,2
631,159,3
634,160,2
635,161,2
636,162,2
637,163,2
638,164,2
639,165,2
640,166,2
641,167,3
642,168,2
643,169,2
647,170,2
648,171,2
650,172,2
651,173,2
652,174,2
653,175,2
654,176,2
655,177,2
656,178,2
657,179,2
658,180,2
659,181,2
660,182,2
661,183,2
662,184,3
663,185,2
664,186,2
665,187,3
666,188,3
667,189,2
668,190,2
669,191,3
670,192,3
671,193,2
672,194,2
673,195,2
674,196,2
675,197,2
676,198,2
677,199,2
678,200,3
680,201,2
681,202,2
682,203,2
683,204,3
684,205,2
685,206,2
686,207,2
687,208,3
688,209,2
689,210,3
690,211,3
691,212,2
692,213,2
693,214,2
694,215,2
695,216,3
696,217,3
697,218,2
698,219,2
699,220,3
700,221,3
701,222,3
702,223,2
703,224,3
704,225,3
705,226,2
706,227,3
710,228,2
711,229,3
712,230,2
713,231,3
714,232,2
715,233,3
716,234,2
717,235,2
718,236,3
719,237,3
720,238,2
721,239,3
722,240,2
724,242,2
727,243,3
729,244,3
730,245,3
732,246,3
744,247,3
745,248,3
746,249,2
747,250,2
749,251,3
750,252,3
755,253,2
756,254,2
759,255,3
760,241,2
761,256,2
765,257,2
766,258,2
768,259,2
770,260,2
871,261,2
872,262,2
873,263,2
874,264,2
875,265,2
876,266,2
877,267,2
878,268,3
879,269,2
880,270,2
882,271,2
884,272,2
885,273,2
886,274,3
887,275,3
888,276,3
889,277,2
894,278,3
895,279,2
897,280,3
898,281,2
899,282,2
900,283,2
906,284,2
907,285,2
908,286,3
909,287,3
910,288,2
911,289,2
912,290,2
913,291,2
914,292,2
915,293,2
916,294,2
917,295,2
918,296,2
919,297,2
920,298,2
922,299,2
923,300,2
925,301,2
926,302,2
927,303,2
929,304,2
930,305,2
931,306,2
932,307,2
933,308,2
934,309,2
935,310,2
936,311,2
937,312,2
938,313,2
939,314,2
940,315,3
944,316,2
945,317,2
946,318,2
947,319,3
949,320,2
951,321,2
957,325,2
959,326,2
961,327,2
963,328,2
965,329,2
968,331,2
971,324,0
972,333,2
973,335,2
975,336,2
976,337,2
977,338,2
978,339,3
980,340,2
981,341,3
995,347,0
1026,357,2
1027,358,2
1029,359,2
1032,360,3
