ID,SpellID,Field_10_0_0_44649_002
1,357208,0
2,359073,0
3,355936,0
4,367226,0
5,370912,0
6,369546,0
7,371749,278835
12,379189,0
13,379390,0
14,381641,0
15,382266,0
16,382411,0
17,382614,0
18,382731,0
20,384258,0
24,387839,0
31,396286,0
32,398776,0
36,403307,0
37,406392,0
38,405726,0
39,408092,0
40,408661,0
42,413835,0
43,414040,0
47,423680,0
49,385804,0
51,430985,0
52,431042,0
53,431165,0
54,431191,0
55,431238,0
59,431501,0
60,431851,0
63,432704,0
64,432714,0
65,432724,0
66,432730,0
67,432737,0
68,432744,0
69,433082,0
70,433184,0
71,433185,0
72,433186,0
73,433206,0
74,433224,0
75,433225,0
76,433226,0
77,433573,0
93,436344,0
94,451372,0
95,451373,0
96,451374,0
97,451375,0
98,451376,0
