ID,Name_lang
1,Word of Recall (OLD)
3,Word of Mass Recall (OLD)
4,Word of Recall Other
5,Death Touch
7,Suicide
10,Blizzard
11,Swiftness
12,Hot Foot (TEST)
13,Swim Speed (TEST)
14,Mana Drain
15,Leech (TEST)
16,Fear (NYI)
17,Power Word: Shield
18,Heal Self (TEST)
19,SWORDSPECIAL (DND)
22,Super Food (TEST)
24,Major Heal Self (TEST)
25,Stun
26,Bind Self (TEST)
27,Goldshire Portal
31,Teleport Goldshire
33,Teleport Westfall
34,Teleport Duskwood
35,Teleport Elwynn
45,War Stomp
47,Sprint (TEST)
49,Healing Touch (TEST)
50,Zone Recall (OLD)
53,Backstab
56,Stun
58,Magic Missile (TEST)
59,Normal bow shot (TEST)
60,Long bow shot (TEST)
61,Really Long bow shot (TEST)
65,Haste
66,Lesser Invisibility
67,Vindication
68,Editor Test Spell
71,Defensive Stance
72,Shield Bash
75,Auto Shot
77,Turtle's Shell
78,Heroic Strike
81,Dodge
84,Low Health
87,Windwalk
89,Cripple
91,Savage Assault
96,Dismember
99,Demoralizing Roar
100,Charge
101,Trip
107,Block
108,Evade (DND)
110,Spell Deflection (NYI)
111,Time Step
112,Reflect Magic (TEST)
113,Chains of Ice
116,Frostbolt
118,Polymorph
120,Cone of Cold
122,Frost Nova
126,Eye of Kilrogg
128,Spellstone
130,Slow Fall
131,Water Breathing
132,Detect Invisibility
133,Fireball
134,Fire Shield
136,Mend Pet
139,Renew
142,New Magic Missile (Test)
143,Fireball
145,Fireball
168,Frost Armor
172,Corruption
184,Fire Shield II
196,One-Handed Axes
197,Two-Handed Axes
198,One-Handed Maces
199,Two-Handed Maces
200,Polearms
201,One-Handed Swords
202,Two-Handed Swords
203,Unarmed
204,Defense
205,Frostbolt
227,Staves
228,Polymorph: Chicken
246,Slow
260,Charm (TEST)
261,Summon Skeleton
262,EXOTIC1H (DND)
263,EXOTIC2H (DND)
264,Bows
265,Area Death (TEST)
266,Guns
269,Walk of Fire Trigger (DNC)
271,Call of the Void
284,Heroic Strike
285,Heroic Strike
302,Savage Assault II
324,Lightning Shield
325,Lightning Shield
331,Healing Wave
332,Healing Wave
339,Entangling Roots
348,Immolate
355,Taunt
370,Purge
379,Earth Shield
403,Lightning Bolt
408,Kidney Shot
409,Shadowskin
410,Shadowskin II
411,Shadowskin III
421,Chain Lightning
424,Earthquake
427,Teleport Monastery
428,Teleport Moonbrook
430,Drink
431,Drink
432,Drink
433,Food
434,Food
435,Food
436,Restore Mana
437,Restore Mana
438,Restore Mana
439,Healing Potion
440,Healing Potion
441,Healing Potion
442,Teleport Northshire Abbey
443,Teleport Barracks
444,Teleport Lighthouse
445,Teleport Darkshire
446,Teleport Cemetary
447,Teleport Treant
448,Editor test spell 2
450,Fast Cast (NYI)
453,Mind Soothe
454,Gallop (TEST)
455,Replenish Spirit
456,SHOWLABEL Only OFF
457,Feeblemind
458,Brown Horse
459,Gray Wolf
461,Righteous Flame On
463,Aura Overlap TEST 1
464,Aura Overlap TEST 2
465,Devotion Aura
467,Thorns
468,White Stallion
470,Black Stallion
