ID,ModelFileDataID,BaseMissileSpeed,Scale,MinAllowedScale,MaxAllowedScale,Alpha,Flags,TextureFileDataID,EffectRadius,Type,GenericID,RibbonQualityID,DissolveEffectID,ModelPosition,Field_9_1_0_38549_014,Field_11_0_0_54210_015
1,166784,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
2,166134,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
3,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
4,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
6,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
10,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
11,165419,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
12,165420,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
14,165434,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
17,166807,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
18,875219,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
20,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
21,166464,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
23,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
24,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
25,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
26,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
27,165436,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
28,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
29,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
30,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
32,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
33,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
34,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
36,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
37,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
38,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
39,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
40,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
41,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
42,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
43,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
44,165766,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
45,166122,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
46,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
47,166684,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
48,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
49,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
50,166988,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
51,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
53,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
54,166385,0,1,0.01,100,0.25,0,0,0,0,0,0,0,-1,0,0
55,165407,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
56,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
57,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
58,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
59,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
60,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
61,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
62,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
63,165412,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
64,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
65,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
66,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
67,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
68,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
69,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
70,166694,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
71,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
72,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
73,166602,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
74,165768,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
75,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
77,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
78,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
79,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
80,166042,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
81,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
82,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
83,166369,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
84,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
85,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
86,165914,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
87,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
88,166492,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
89,166401,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
90,166893,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
91,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
92,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
93,166841,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
94,165728,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
95,166553,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
96,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
97,165839,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
98,341982,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
99,166204,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
100,167094,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
101,166291,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
102,165725,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
103,166994,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
104,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
105,165417,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
106,165418,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
107,165412,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
108,165411,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
109,165398,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
110,166329,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
117,166381,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
118,2199492,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
119,166339,0,1,0.01,100,1,0,0,0,0,0,121,0,-1,0,0
120,2199492,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
121,166382,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
122,166378,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
123,166334,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
124,166327,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
125,166325,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
126,166379,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
127,166384,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
128,166383,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
129,166326,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
130,166337,0,1,0.01,100,1,0,0,0,0,0,121,0,-1,0,0
131,166335,0,1,0.01,100,1,0,0,0,0,0,121,0,-1,0,0
134,0,0,1,0.01,100,1,0,0,0,0,0,0,0,-1,0,0
135,166336,0,1,0.01,100,1,0,0,0,0,0,121,0,-1,0,0
