ID,ModelFileDataID,Flags,LifeTime,EmissionRate,Spacing,ModelScale
1,165716,0,0,5,0,1
2,166678,0,0,5,0,1
3,165768,0,0,0.7,0,1
4,166193,0,0,0,0,1
5,165887,0,0,5,0,1
6,165591,0,0,5,0,1
7,166980,0,0,3,0,1
8,166095,0,0,5,0,1
9,166306,0,0,3,0,1
21,165886,0,0,0,0,1
41,240826,0,0,0,0,1
61,240877,0,0,0,0,1
81,165599,0,0,0,0,1
82,165598,0,0,0,0,1
83,341895,0,0,0,0,1
1181,165716,0,0,15,0,1
1182,165716,0,0,10,0,1
1183,166677,0,0,8,0,1
1184,165887,0,0,20,0,1
1186,166306,0,0,5,0,1
1187,166306,0,0,10,0,1
1197,166306,0,0,20,0,1
1198,165716,0,0,30,0,1
1199,165598,0,0,4,0,1
1200,165886,0,0,5,0,1
1201,165768,0,0,0,0,1
1202,166980,0,0,5,0,1
1203,341895,0,0,5,0,1
