ID,SpellID,SpellDescriptionVariablesID
1,66109,1
3,123131,30
4,136,31
5,213690,31
6,214303,31
8,91631,62
9,140524,62
10,69642,62
11,69069,62
12,80342,62
13,80341,62
15,197395,63
16,45462,81
17,47541,84
18,63333,84
19,63958,84
20,118216,86
21,118217,86
22,118218,86
23,88087,86
24,88088,86
25,88086,86
26,88085,86
27,88089,86
28,88090,86
29,106742,86
30,106748,86
31,106747,86
32,187443,86
33,58834,86
34,58833,86
35,58831,86
36,51730,101
37,82944,121
38,13795,121
39,162752,121
40,78578,121
41,126135,162
43,55050,166
44,122,167
45,120,167
46,115757,167
50,126477,167
51,145366,167
52,145373,167
53,150585,167
54,155471,167
55,157563,167
57,190448,167
58,42208,167
59,44572,167
61,71757,167
62,77924,167
63,77922,167
64,215664,167
65,220128,167
67,235235,167
68,185187,169
70,197393,169
71,774,176
75,155777,176
76,162359,176
77,186370,176
78,189875,176
79,189876,176
80,190981,176
81,224392,176
82,158936,193
84,26679,199
85,200909,199
86,324,200
87,55694,201
88,5394,202
89,82661,203
90,105361,204
91,687,205
92,33076,208
93,123259,208
94,156678,208
95,183060,208
96,182915,208
97,183069,208
98,182916,208
99,182917,208
100,182918,208
101,182914,208
102,225275,208
103,3110,214
104,115746,214
114,34026,219
115,186865,219
116,191385,219
117,191387,219
118,191389,219
119,202791,219
120,205434,219
121,205440,219
122,207068,219
123,93433,223
124,95714,223
125,92380,224
126,115611,227
127,138165,228
128,6615,229
129,28176,230
130,97791,233
131,467,235
132,588,236
133,123402,247
134,171452,247
135,115295,247
136,115693,251
137,115057,251
138,212142,251
139,100780,251
140,100784,385
141,108557,251
142,115687,251
143,115695,251
144,113656,251
145,107428,385
146,100787,251
147,115698,251
148,116847,251
149,138713,251
150,147489,251
151,152175,251
152,178345,251
153,178338,251
154,178341,251
155,178342,251
156,190823,251
157,123586,251
158,101546,385
159,121253,251
160,125150,251
161,196085,251
162,196087,251
163,197283,251
164,196730,251
165,205523,251
166,228649,251
167,237618,251
168,242542,251
169,6544,253
170,162052,253
171,178367,253
172,178368,253
173,186650,253
174,51533,254
175,58877,254
176,198506,254
177,202011,254
178,228562,254
179,147494,256
181,135233,259
182,116849,260
183,115203,261
184,120954,261
186,146993,262
187,186644,262
188,1079,263
189,210705,263
190,224435,263
191,348,273
192,157736,273
193,216145,273
194,216139,273
195,228312,273
196,17253,274
197,16827,274
198,49966,274
199,242735,274
200,120360,275
201,205441,275
203,109259,276
204,130283,289
205,125195,290
206,22570,291
207,168881,291
208,168877,291
209,168878,291
210,168879,291
211,168880,291
212,203126,291
213,203123,291
214,236025,291
215,174544,292
216,117952,294
217,182434,294
218,173545,295
219,123986,296
220,186689,297
221,114635,298
222,242381,298
223,108683,298
224,123980,298
225,157701,298
226,213229,298
227,116858,298
228,196670,298
229,214452,298
230,216095,298
231,30455,300
232,196552,300
233,247067,300
234,250184,300
235,1120,302
236,63900,304
237,202044,304
238,209792,305
239,53301,305
240,194301,305
241,198810,305
242,152118,306
