ID,Control,Faction,Title,Slot,Flags[0],Flags[1]
41,1,0,5,5,0,0
61,1,0,2,0,2,0
63,1,0,4,1,1048578,0
64,0,0,0,0,256,0
65,3,0,0,0,0,0
66,0,0,0,0,1,0
67,2,0,1,0,0,0
81,1,0,4,2,1048578,0
82,1,0,4,3,1048578,0
83,1,0,4,4,1048578,0
121,1,0,0,0,2,0
5100,1,0,0,0,2,0
5121,1,0,0,0,2,0
5281,0,0,35,0,536871168,0
5304,0,0,0,0,256,0
5326,0,0,0,0,276929024,0
5590,2,0,3,0,16384,0
5592,1,0,0,0,0,0
5603,2,0,3,0,16384,0
5604,1,0,3,0,16384,0
5650,2,0,1,0,16384,0
5671,2,0,1,0,16384,0
5689,1,0,4,4,1048578,0
5692,1,0,4,2,1048578,0
5695,0,0,0,0,256,0
5715,1,0,4,3,1048578,0
5743,0,0,0,0,33024,0
5768,0,35,0,0,256,0
5771,0,90,0,0,256,0
5777,1,0,0,0,0,0
5834,1,0,0,0,16392,0
5837,0,0,0,0,257,0
5851,0,35,0,0,256,0
5857,1,0,0,0,2,0
5878,0,0,0,0,2304,0
5888,2,0,1,0,18432,0
5891,1,0,0,0,0,0
5893,0,0,0,0,166152,0
5896,4,0,0,0,0,0
5908,0,0,0,0,33024,0
5917,0,0,0,0,256,0
5919,0,168,0,0,256,0
5922,0,168,0,0,256,0
5932,0,0,0,0,1073742080,0
5936,0,0,0,0,4352,0
5937,0,0,0,0,137224,0
5939,0,168,0,0,0,32
