ID,TACTID[0],TACTID[1],TACTID[2],TACTID[3],TACTID[4],TACTID[5],TACTID[6],TACTID[7]
15,62,203,106,18,120,80,80,250
52,84,197,113,196,9,69,133,226
55,90,153,140,23,130,203,226,142
56,5,176,201,78,15,129,19,88
57,234,67,237,102,113,33,158,127
58,247,147,55,210,100,211,168,196
59,229,198,242,188,174,52,162,64
60,229,74,206,203,207,223,247,156
61,79,91,72,184,202,222,75,78
62,228,112,255,78,197,10,165,148
63,44,28,222,1,14,59,151,186
64,239,139,16,142,142,111,74,73
65,2,144,132,195,208,109,141,145
66,202,221,90,145,87,105,95,11
67,43,182,138,205,198,37,79,121
68,33,61,103,193,84,58,99,169
69,234,61,22,62,107,137,93,94
70,127,253,13,1,181,54,190,14
71,15,12,69,250,207,40,232,1
72,174,230,24,254,112,209,123,74
73,79,124,232,117,185,156,84,105
74,102,161,178,114,195,146,12,70
75,98,25,161,204,1,216,101,129
81,201,218,10,9,153,201,241,163
92,152,107,135,116,4,154,78,9
93,94,51,64,106,184,92,178,61
94,134,70,75,95,148,129,205,13
95,137,190,3,40,58,42,106,72
97,6,142,132,173,70,148,246,113
98,233,40,169,101,18,205,31,33
99,140,233,66,126,50,158,220,10
100,241,116,1,182,33,246,233,186
101,94,17,151,220,234,30,222,52
102,223,163,144,19,127,16,126,224
103,48,37,225,77,247,11,105,50
104,150,70,176,220,177,52,55,191
105,190,161,165,2,128,247,244,116
107,35,125,162,108,101,7,63,66
108,93,167,232,131,143,103,145,6
109,86,5,85,15,89,152,68,50
110,152,89,239,11,244,120,44,192
111,65,181,170,204,18,20,1,71
112,214,221,226,76,118,245,182,35
113,131,53,135,5,244,198,0,142
114,166,212,207,228,112,33,72,120
115,191,247,250,75,166,82,235,177
117,246,8,210,152,238,32,111,252
394,8,101,40,194,182,200,159,64
414,70,121,223,158,29,165,17,60
434,33,72,210,110,163,85,46,241
435,54,93,86,255,30,93,170,186
479,192,199,133,12,130,192,25,161
486,137,31,22,188,196,29,246,189
7055,121,55,235,243,182,113,138,57
7058,95,37,241,203,44,155,60,85
7073,150,123,189,95,24,98,37,9
7088,168,81,162,49,40,31,89,109
7089,205,47,85,77,187,14,54,170
7092,129,209,248,135,224,16,161,49
7106,36,199,217,158,209,24,185,159
7413,118,158,7,96,151,35,88,77
7421,189,109,221,207,59,152,104,235
7430,146,137,255,152,67,230,204,160
7546,158,69,206,216,246,209,89,7
7583,31,184,61,238,33,122,76,31
7584,142,15,169,227,136,137,46,45
7585,81,75,209,178,78,104,185,244
7586,57,252,84,246,78,126,131,95
7611,241,224,174,154,249,120,130,219
7637,90,90,134,177,35,61,108,147
7640,143,234,157,26,167,24,71,34
7709,5,81,156,35,42,59,137,3
7728,96,177,128,245,54,133,58,255
7746,200,187,111,99,187,39,47,192
7753,57,152,159,152,56,228,64,212
7790,99,19,191,61,26,233,153,39
7805,128,159,200,161,227,53,160,158
7834,64,103,115,36,242,123,71,30
7835,9,236,80,182,176,144,33,74
7847,19,8,117,5,132,211,159,72
7867,1,166,243,172,155,195,216,53
7873,63,44,9,8,157,167,47,186
7887,145,194,138,181,58,128,221,200
7888,80,43,72,133,223,250,85,65
7890,192,237,244,18,20,93,50,46
7891,42,159,101,78,160,240,93,70
7908,183,33,23,183,249,162,3,81
7910,57,152,5,157,230,188,64,198
7914,201,90,186,246,47,166,120,31
7915,101,128,219,98,86,7,44,1
7916,58,147,235,232,19,73,157,82
7917,14,155,61,222,35,199,88,45
7918,45,205,144,179,145,167,208,150
7921,253,7,73,56,185,152,199,31
7926,103,243,167,206,162,179,44,25
7965,163,43,164,49,177,33,20,25
7967,195,190,54,160,28,21,72,39
7968,3,215,27,140,47,225,40,204
7969,103,92,160,91,237,128,90,80
7971,15,252,5,191,181,51,27,100
7977,55,180,94,169,242,36,148,61
7978,75,242,198,55,56,209,249,91
7992,61,9,120,27,18,15,188,200
7998,74,162,103,177,86,12,110,226
7999,141,235,245,24,141,111,112,20
8000,216,154,179,132,154,219,63,54
8003,223,57,104,71,43,91,130,32
8012,245,245,175,118,176,149,196,2
8013,92,215,49,26,63,116,190,91
8014,41,117,160,231,172,154,176,207
8015,218,115,242,67,176,109,94,12
8016,254,244,227,160,246,179,216,19
8019,27,4,123,70,117,121,120,21
8020,42,155,129,60,60,201,71,163
8021,116,252,27,56,87,82,25,72
8023,115,209,142,35,151,99,139,78
8024,172,143,112,236,86,99,158,226
8025,197,149,128,82,202,241,118,105
8026,252,229,107,189,224,38,124,3
8027,22,107,230,168,35,171,30,45
8028,29,162,129,29,34,0,63,36
8035,26,228,181,143,178,204,206,152
8037,2,70,6,47,138,103,17,213
8040,181,191,69,219,132,52,94,178
8042,170,79,104,126,45,213,117,80
8088,241,61,210,247,137,187,74,241
8112,138,45,207,188,185,54,214,52
8114,48,37,253,201,73,91,182,187
8115,97,127,212,206,76,146,238,249
8119,183,171,185,238,166,20,9,250
8120,40,130,13,163,235,147,175,82
8121,92,63,216,165,131,93,69,217
8122,204,159,176,21,243,198,181,173
8123,86,176,128,202,0,179,127,154
8124,152,98,23,35,105,22,164,87
8131,146,70,199,5,54,212,13,141
8139,21,59,207,68,67,89,141,124
8140,161,218,39,72,36,119,141,17
8144,114,103,154,210,15,63,74,170
8145,7,183,19,212,108,136,125,24
8147,58,93,181,110,69,100,81,96
