ID,Description_lang,TierID,Flags,ColumnIndex,TabID,ClassID,SpecID,SpellID,OverridesSpellID,RequiredSpellID,CategoryMask[0],CategoryMask[1],SpellRank[0],SpellRank[1],SpellRank[2],SpellRank[3],SpellRank[4],SpellRank[5],SpellRank[6],SpellRank[7],SpellRank[8],PrereqTalent[0],PrereqTalent[1],PrereqTalent[2],PrereqRank[0],PrereqRank[1],PrereqRank[2]
23,,2,2,3,41,0,0,0,0,0,0,0,11083,12351,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,3,2,1,41,0,0,0,0,0,0,0,11094,13043,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,3,2,0,41,0,0,0,0,0,0,0,11095,12872,12873,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,2,2,41,0,0,0,0,0,0,0,11069,12338,12339,12340,12341,0,0,0,0,0,0,0,0,0,0
27,,0,2,0,41,0,0,0,0,0,0,0,11078,11080,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,2,2,0,41,0,0,0,0,0,0,0,11100,12353,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,2,3,2,41,0,0,0,0,0,0,0,11366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,2,2,1,41,0,0,0,0,0,0,0,11103,12357,12358,0,0,0,0,0,0,0,0,0,0,0,0
31,,1,2,2,41,0,0,0,0,0,0,0,11108,12349,12350,0,0,0,0,0,0,0,0,0,0,0,0
32,,4,3,2,41,0,0,0,0,0,0,0,11113,0,0,0,0,0,0,0,0,29,0,0,0,0,0
33,,4,2,1,41,0,0,0,0,0,0,0,11115,11367,11368,0,0,0,0,0,0,0,0,0,0,0,0
34,,1,2,0,41,0,0,0,0,0,0,0,11119,11120,12846,12847,12848,0,0,0,0,0,0,0,0,0,0
35,,5,2,2,41,0,0,0,0,0,0,0,11124,12378,12398,12399,12400,0,0,0,0,0,0,0,0,0,0
