ID,Field_9_0_1_33978_000_tier,Field_9_0_1_33978_001_animationdataID,Field_9_0_1_33978_002_animationdataID,Field_9_0_1_33978_003_milliseconds
1,0,-1,-1,0
2,3,-1,-1,0
3,0,-1,-1,0
4,3,-1,-1,0
5,-1,-1,-1,0
6,0,-1,-1,0
7,0,-1,-1,0
8,3,-1,-1,0
9,3,-1,-1,0
10,3,-1,-1,0
11,3,-1,-1,0
12,0,-1,-1,0
13,3,-1,-1,0
14,3,-1,-1,0
15,2,-1,-1,0
16,3,-1,-1,0
17,3,-1,-1,0
18,3,-1,-1,0
19,0,-1,-1,0
20,3,-1,-1,0
21,3,-1,-1,0
22,3,-1,-1,0
23,3,-1,-1,0
24,0,-1,-1,0
25,2,-1,-1,0
26,3,-1,-1,0
27,3,-1,-1,0
28,3,-1,-1,0
29,3,-1,-1,0
30,3,-1,-1,0
31,-1,-1,-1,0
32,3,-1,-1,0
33,3,-1,-1,0
34,0,-1,-1,0
35,3,-1,-1,0
36,3,-1,-1,0
37,3,-1,-1,0
38,3,-1,-1,0
39,3,-1,-1,0
40,3,-1,-1,0
41,2,-1,-1,0
42,3,-1,-1,0
43,3,-1,-1,0
44,3,-1,-1,0
45,0,-1,-1,0
46,3,-1,-1,0
47,2,-1,-1,0
48,0,-1,-1,0
49,0,-1,-1,0
50,3,-1,-1,0
51,3,-1,-1,0
52,2,-1,-1,0
53,0,-1,-1,0
54,2,-1,-1,0
55,0,-1,-1,0
56,2,-1,-1,0
57,0,-1,-1,0
58,0,-1,-1,0
59,3,-1,-1,0
60,3,-1,-1,0
61,3,-1,-1,0
62,3,-1,-1,0
63,3,-1,-1,0
64,2,-1,-1,0
65,2,-1,-1,0
66,2,-1,-1,0
67,2,-1,-1,0
68,3,-1,-1,0
69,3,-1,-1,0
70,0,-1,-1,0
71,3,-1,-1,0
72,3,-1,-1,0
73,2,-1,-1,0
74,3,-1,-1,0
75,3,-1,-1,0
76,3,-1,-1,0
77,0,-1,-1,0
78,0,-1,-1,0
79,0,-1,-1,0
80,0,-1,-1,0
81,0,-1,-1,0
82,3,-1,-1,0
83,2,-1,-1,0
84,0,-1,-1,0
85,3,-1,-1,0
86,0,-1,-1,0
87,3,-1,-1,0
88,3,-1,-1,0
89,0,-1,-1,0
90,3,-1,-1,0
91,3,-1,-1,0
92,3,-1,-1,0
93,2,-1,-1,0
94,2,-1,-1,0
95,2,-1,-1,0
96,2,-1,-1,0
97,2,-1,-1,0
98,3,-1,-1,0
99,2,-1,-1,0
100,3,-1,-1,0
101,2,-1,-1,0
102,0,-1,-1,0
103,3,-1,-1,0
104,3,-1,-1,0
106,3,-1,-1,0
107,3,-1,-1,0
108,0,-1,-1,0
109,0,-1,-1,0
110,3,-1,-1,0
111,0,-1,-1,0
112,3,-1,-1,0
113,3,-1,-1,0
114,3,-1,-1,0
115,0,-1,-1,0
116,3,-1,-1,0
117,3,-1,-1,0
118,0,-1,-1,0
119,3,-1,-1,0
120,3,-1,-1,0
121,3,-1,-1,0
122,3,-1,-1,0
123,3,-1,-1,0
124,3,-1,-1,0
125,3,-1,-1,0
126,3,-1,-1,0
127,3,-1,-1,0
128,0,-1,-1,0
129,3,-1,-1,0
130,3,-1,-1,0
131,3,-1,-1,0
132,0,-1,-1,0
133,3,-1,-1,0
134,0,-1,-1,0
135,3,-1,-1,0
136,3,-1,-1,0
137,3,-1,-1,0
138,3,-1,-1,0
139,3,-1,-1,0
140,3,-1,-1,0
141,3,-1,-1,0
142,3,-1,-1,0
143,3,-1,-1,0
144,2,-1,-1,0
145,3,-1,-1,0
146,3,-1,-1,0
147,3,-1,-1,0
148,3,-1,-1,0
149,1,-1,-1,0
150,3,-1,-1,0
151,3,-1,-1,0
152,2,-1,-1,0
153,2,-1,-1,0
154,3,-1,-1,0
155,3,-1,-1,0
156,3,-1,-1,0
157,3,-1,-1,0
158,3,-1,-1,0
159,3,-1,-1,0
160,3,-1,-1,0
161,3,-1,-1,0
162,3,-1,-1,0
163,3,-1,-1,0
164,3,-1,-1,0
165,3,-1,-1,0
166,3,-1,-1,0
167,3,-1,-1,0
168,3,-1,-1,0
169,3,-1,-1,0
170,3,-1,-1,0
171,3,-1,-1,0
172,3,-1,-1,0
173,3,-1,-1,0
174,3,-1,-1,0
175,3,-1,-1,0
176,3,-1,-1,0
177,3,-1,-1,0
178,3,-1,-1,0
179,3,-1,-1,0
180,3,-1,-1,0
181,3,-1,-1,0
182,3,-1,-1,0
183,3,-1,-1,0
184,3,-1,-1,0
185,3,-1,-1,0
186,3,-1,-1,0
187,3,-1,-1,0
188,3,-1,-1,0
189,3,-1,-1,0
190,3,-1,-1,0
191,3,-1,-1,0
192,3,-1,-1,0
194,0,-1,-1,0
195,3,-1,-1,0
196,0,-1,-1,0
197,3,-1,-1,0
198,3,-1,-1,0
199,3,-1,-1,0
200,3,-1,-1,0
201,3,-1,-1,0
204,3,-1,-1,0
205,3,-1,-1,0
206,3,-1,-1,0
207,3,-1,-1,0
208,0,-1,-1,0
209,0,-1,-1,0
210,3,-1,-1,0
211,3,-1,-1,0
212,0,-1,-1,0
213,0,-1,-1,0
214,0,-1,-1,0
215,2,-1,-1,0
216,2,-1,-1,0
217,3,-1,-1,0
218,3,-1,-1,0
219,3,-1,-1,0
220,3,-1,-1,0
221,0,-1,-1,0
222,2,-1,-1,0
223,0,-1,-1,0
224,3,-1,-1,0
225,3,-1,-1,0
226,0,-1,-1,0
227,3,-1,-1,0
228,3,-1,-1,0
229,3,-1,-1,0
230,2,-1,-1,0
231,3,-1,-1,0
232,3,-1,-1,0
233,3,-1,-1,0
235,3,-1,-1,0
237,3,-1,-1,0
238,3,-1,-1,0
239,3,-1,-1,0
240,3,-1,-1,0
241,-1,-1,-1,0
242,3,-1,-1,0
243,3,-1,-1,0
244,3,-1,-1,0
245,3,-1,-1,0
246,3,-1,-1,0
247,3,-1,-1,0
248,3,-1,-1,0
249,3,-1,-1,0
250,0,-1,-1,0
251,3,-1,-1,0
252,2,-1,-1,0
253,3,-1,-1,0
254,-1,-1,-1,0
255,3,-1,-1,0
256,3,-1,-1,0
257,3,-1,-1,0
258,0,-1,-1,0
259,3,-1,-1,0
260,3,-1,-1,0
261,3,-1,-1,0
262,3,-1,-1,0
263,3,-1,-1,0
264,3,-1,-1,0
265,3,-1,-1,0
266,3,-1,-1,0
267,3,-1,-1,0
268,3,-1,-1,0
269,3,-1,-1,0
270,0,-1,-1,0
271,0,-1,-1,0
272,0,-1,-1,0
273,1,-1,-1,0
274,3,-1,-1,0
275,3,-1,-1,0
276,3,-1,-1,0
277,3,-1,-1,0
278,3,-1,-1,0
279,3,-1,-1,0
280,3,-1,-1,0
281,3,-1,-1,0
282,2,-1,-1,0
283,3,-1,-1,0
284,0,-1,-1,0
285,3,-1,-1,0
286,3,-1,-1,0
287,3,-1,-1,0
288,3,-1,-1,0
289,2,-1,-1,0
290,3,-1,-1,0
291,3,-1,-1,0
292,3,-1,-1,0
294,3,-1,-1,0
295,3,-1,-1,0
296,0,-1,-1,0
297,0,-1,-1,0
298,0,-1,-1,0
299,0,-1,-1,0
300,0,-1,-1,0
301,0,-1,-1,0
302,3,-1,-1,0
303,3,-1,-1,0
304,0,-1,-1,0
305,0,-1,-1,0
306,3,-1,-1,0
307,3,-1,-1,0
308,3,-1,-1,0
309,3,-1,-1,0
310,0,-1,-1,0
311,0,-1,-1,0
312,0,-1,-1,0
313,0,-1,-1,0
314,2,-1,-1,0
315,3,-1,-1,0
316,3,-1,-1,0
317,3,-1,-1,0
318,3,-1,-1,0
319,3,-1,-1,0
320,3,-1,-1,0
321,3,-1,-1,0
322,3,-1,-1,0
323,3,-1,-1,0
324,3,-1,-1,0
325,3,-1,-1,0
326,3,-1,-1,0
327,3,-1,-1,0
328,3,-1,-1,0
329,2,-1,-1,0
331,3,-1,-1,0
333,3,-1,-1,0
334,3,-1,-1,0
335,3,-1,-1,0
336,3,-1,-1,0
337,3,-1,-1,0
338,3,-1,-1,0
339,0,-1,-1,0
340,0,-1,-1,0
341,3,-1,-1,0
342,3,-1,-1,0
343,0,-1,-1,0
345,0,-1,-1,0
346,0,-1,-1,0
347,3,-1,-1,0
348,3,-1,-1,0
349,2,-1,-1,0
350,2,-1,-1,0
351,2,-1,-1,0
352,2,-1,-1,0
353,2,-1,-1,0
354,0,-1,-1,0
355,0,-1,-1,0
356,3,-1,-1,0
357,3,-1,-1,0
358,2,-1,-1,0
359,3,-1,-1,0
360,3,-1,-1,0
361,2,-1,-1,0
362,3,-1,-1,0
363,3,-1,-1,0
364,3,-1,-1,0
365,0,-1,-1,0
366,0,-1,-1,0
367,0,-1,-1,0
368,3,-1,-1,0
369,3,-1,-1,0
370,3,-1,-1,0
371,3,-1,-1,0
372,3,-1,-1,0
373,3,-1,-1,0
374,3,-1,-1,0
375,3,-1,-1,0
376,3,-1,-1,0
377,3,-1,-1,0
