ID,Name_lang,TotemCategoryType,TotemCategoryMask
2,Earth Totem,2,1
3,Air Totem,2,2
4,Fire Totem,2,4
5,Water Totem,2,8
12,Philosopher's Stone,22,1
14,Arclight Spanner,24,1
15,Gyromatic Micro-Adjustor,24,2
121,Virtuoso Inking Set,24,-2147483648
161,Gnomish Army Knife,24,127
162,Blacksmith Hammer,24,4
165,Mining Pick,24,8
166,Skinning Knife,24,16
167,Hammer Pick,24,12
168,Bladed Pickaxe,24,24
169,Flint and Tinder,24,32
238,Jeweler's Tools,24,64
364,Great Mage Writings,163,1
365,Tinker Mage Writings,163,2
366,Archmage Writings,163,2
367,Elemental Totem,2,15
371,Putress' Diary,165,1
372,Putress' Diary Page,165,1
373,Runed Copper Rod,3,1
374,Runed Silver Rod,3,3
375,Runed Golden Rod,3,7
376,Runed Truesilver Rod,3,15
377,Runed Arcanite Rod,3,31
380,Test Totem Category - DO NOT USE,24,5
