ID,VisualStyle,LeftTraitNodeID,RightTraitNodeID,Type
124573,1,104708,104709,2
124574,1,104715,104716,2
124575,1,104709,104708,2
124576,1,104716,104715,2
124583,1,104743,104742,2
124584,1,104744,104740,2
124588,1,104759,104758,2
124590,1,104766,104762,2
124591,1,104783,104789,0
124592,1,104789,104783,0
124593,1,104779,104785,0
124594,1,104785,104779,0
124595,1,104777,104781,0
124596,1,104781,104777,0
124597,1,104784,104787,0
124598,1,104787,104784,0
124599,1,104804,104806,0
124600,1,104806,104804,0
124601,1,104801,104807,0
124602,1,104807,104801,0
124665,1,104922,104921,2
124666,1,104928,104927,0
124668,1,104946,104947,2
124669,1,104948,104949,2
124670,1,104952,104953,2
124674,1,104914,104913,2
124675,1,104927,104928,3
124676,1,104931,104932,2
124680,1,104955,104956,2
124682,1,104911,104910,2
124695,1,104970,104964,2
124699,1,104967,104962,2
124700,1,104961,104964,2
124701,1,104964,104961,2
124715,1,105008,105002,2
124716,1,105005,104999,2
124743,1,105323,105320,2
124771,1,105701,105693,2
124772,1,105722,105716,2
124782,1,105767,105764,2
124783,1,105766,105762,2
124784,1,105784,105781,2
124785,1,105810,105803,2
124786,1,105801,105798,2
124787,1,105820,105817,2
124789,1,105826,105825,2
124791,1,105863,105857,2
124792,1,105854,105851,2
124805,1,105912,105909,2
124806,1,105954,105951,2
124807,1,105956,105950,2
124808,1,105945,105941,2
124809,1,105965,105959,2
124810,1,105976,105971,2
124811,1,105931,105928,2
131716,1,110291,110292,2
131717,1,110286,110284,2
131718,1,110304,110300,2
131719,1,110301,110298,2
131721,1,110313,110316,2
131722,1,110315,110309,2
131987,1,105898,105895,2
131991,1,105892,105890,2
131992,1,105900,105892,2
131993,1,105882,105878,2
132478,1,105790,105786,2
132565,1,104762,104765,2
132566,1,104727,104724,2
132568,1,105974,105970,2
132569,1,104986,104989,2
132570,1,104985,104984,2
132622,1,105709,105712,2
132624,1,105738,105735,2
132628,1,105752,105748,2
132629,1,105745,110867,2
132630,1,105746,110866,2
132631,1,105004,104997,2
132632,1,110871,105329,2
132633,1,105323,105324,2
132634,1,105626,110874,2
132635,1,105876,105874,2
132636,1,105880,105877,2
132637,1,110875,110878,2
132638,1,105625,105628,2
136300,1,105832,105828,2
136301,1,105839,105835,2
136302,1,105846,105839,2
136314,1,105927,105930,2
136315,1,105737,105740,2
136316,1,105728,105726,2
136317,1,104755,104747,2
136547,1,105916,105913,2
136549,1,105834,105836,2
136550,1,113508,113506,2
136551,1,113511,113510,2
136552,1,113513,113512,2
