ID,TraitNodeEntryID,TraitCostID
896,24462,906
897,24468,906
898,24475,906
899,24483,906
900,24491,906
901,24499,906
902,24500,901
903,24501,901
904,24502,904
905,24503,904
906,24504,904
907,24505,905
908,24513,914
909,24521,914
910,24529,914
911,24539,914
912,24545,914
913,24557,914
914,24558,912
915,24559,912
916,24560,912
917,24561,912
918,24562,912
919,24563,913
1286,28020,1173
1287,28026,1173
1288,28033,1173
1289,28041,1173
1290,28049,1173
1291,28057,1173
1292,28058,1168
1293,28059,1168
1294,28060,1171
1295,28061,1171
1296,28062,1171
1297,28063,1172
1574,29761,1322
1575,29769,1322
1576,29777,1322
1577,29785,1322
1578,29793,1322
1579,29801,1322
1580,29809,1322
1581,29810,1316
1582,29811,1316
1583,29812,1320
1584,29813,1319
1585,29814,1319
1586,29815,1320
1587,29816,1321
1588,29822,1329
1589,29828,1329
1590,29836,1329
1591,29844,1329
1592,29854,1329
1593,29855,1327
1594,29856,1327
1595,29857,1327
1596,29858,1327
1597,29859,1328
1610,29916,1352
1611,29924,1352
1612,29932,1352
1613,29940,1352
1614,29948,1352
1615,29956,1352
1616,29964,1352
1617,29972,1352
1618,29980,1352
1619,29988,1352
1620,29996,1352
1621,30004,1352
1622,30012,1352
1623,30013,1341
1624,30014,1341
1625,30015,1341
1626,30016,1350
1627,30017,1345
1628,30018,1345
1629,30019,1345
1630,30020,1350
1631,30021,1349
1632,30022,1349
1633,30023,1349
1634,30024,1350
1635,30025,1351
1856,36137,1561
1857,36143,1561
1858,36149,1561
1859,36155,1561
1860,36163,1561
1861,36169,1561
1862,36175,1561
1863,36181,1561
1864,36187,1561
1865,36195,1561
1866,36203,1561
1867,36204,3251
1868,36205,1553
1869,36206,3251
1870,36207,3251
1871,36208,1559
1876,36213,1559
1877,36214,1560
1888,36261,1581
1889,36267,1581
1890,36273,1581
1891,36279,1581
1892,36287,1581
1893,36293,1581
1894,36299,1581
1895,36305,1581
1896,36311,1581
1897,36319,1581
1898,36327,1581
1899,36328,1573
1900,36329,1573
1901,36330,1573
1902,36331,1573
1903,36332,1579
1904,36333,1578
1905,36334,1578
1906,36335,1578
1907,36336,1578
1908,36337,1579
1909,36338,1580
1918,36383,1593
1919,36391,1593
1920,36398,1593
1921,36406,1593
1922,36407,1591
1923,36408,1591
1924,36409,1591
1925,36410,1592
1926,36420,1600
1927,36430,1600
1928,36440,1600
1929,36450,1600
1930,36460,1600
1931,36461,1598
1932,36462,1598
1933,36463,1598
1934,36464,1598
1935,36465,1599
1936,36477,1602
1937,36486,1611
1938,36494,1611
1939,36502,1611
1940,36510,1611
1941,36518,1611
1942,36526,1611
1943,36534,1611
1944,36535,1605
1945,36536,1605
1946,36537,1609
1947,36538,1608
1948,36539,1608
1949,36540,1609
1950,36541,1610
1971,40795,1663
1972,40802,1663
1973,40809,1663
1974,40818,1663
1975,40819,1661
1976,40820,1661
1977,40821,1661
1978,40822,1662
1979,40829,1670
1980,40836,1670
1981,40844,1670
1982,40852,1670
1983,40860,1670
1984,40861,1668
1985,40862,1668
1986,40863,1668
1987,40864,1668
2142,45590,1803
2143,45600,1803
2144,45610,1803
2145,45611,1801
2146,45612,1801
2147,45613,1802
2148,45623,1809
2149,45633,1809
2150,45643,1809
2151,45653,1809
2152,45654,1807
2153,45655,1807
2154,45656,1807
2155,45657,1808
2156,45667,1814
2157,45677,1814
2158,45687,1814
2159,45688,1812
2160,45689,1812
2161,45690,1813
2172,45739,1828
2173,45745,1828
2174,45753,1828
2175,45761,1828
2176,45771,1828
2177,45772,1826
2178,45773,1826
2179,45774,1826
2180,45775,1826
2181,45776,1827
2182,45782,1838
2183,45788,1838
2184,45796,1838
2185,45804,1838
2186,45812,1838
2187,45818,1838
2188,45826,1838
2189,45834,1838
2190,45835,1832
2191,45836,1832
2192,45837,1832
2193,45838,1836
2194,45839,1835
2195,45840,1835
2196,45841,1836
2197,45842,1837
2280,51728,1953
2281,51736,1953
2282,51748,1953
2283,51755,1953
2284,51756,1952
2285,51757,1952
2286,51758,1952
2287,51767,1959
2288,51773,1959
2289,51781,1959
2290,51789,1959
2291,51790,1957
2292,51791,1957
2293,51792,1957
2294,51793,1958
2295,51799,1966
2296,51807,1966
2297,51813,1966
2298,51821,1966
2299,51829,1966
2300,51830,1961
2301,51831,1964
2302,51832,1963
2303,51833,1964
2304,51834,1965
2331,51927,1996
2332,51931,1996
2333,51935,1996
2334,51945,1996
2335,51949,1996
2336,51953,1996
2337,51957,1996
2338,51961,1996
2339,51973,1996
2340,51977,1996
2341,51981,1996
2342,51991,1996
2343,51999,1996
2344,52000,1985
2345,52001,1985
2346,52002,1985
2347,52003,1994
2348,52004,1990
2349,52005,1990
2350,52006,1990
2351,52007,1990
2352,52008,1994
2353,52009,1993
2354,52010,1993
2355,52011,1994
2356,52012,1995
2386,54886,2056
2387,54894,2056
2388,54901,2056
2389,54902,2055
2390,54903,2055
2457,55602,2122
2458,55606,2122
2459,55610,2122
2460,55614,2122
2461,55618,2122
2462,55624,2122
2463,55630,2122
2464,55636,2122
2465,55644,2122
2466,55652,2122
2467,55660,2122
2468,55668,2122
2469,55676,2122
2470,55686,2122
2471,55694,2122
2472,55695,2111
2473,55696,2111
2474,55697,2111
2475,55698,2111
2476,55699,2111
2477,55700,2120
2478,55701,2114
2479,55702,2114
2480,55703,2120
2481,55704,2119
2482,55705,2119
2483,55706,2119
2484,55707,2119
2485,55708,2120
2486,55709,2121
10545,67226,2581
10546,67234,2581
10547,67242,2581
10548,67252,2581
10549,67253,2579
10550,67254,2579
10551,67255,2579
10552,67256,2580
10553,67264,2587
10554,67272,2587
10555,67281,2587
10556,67291,2587
10557,67292,2585
10558,67293,2585
10559,67294,2585
10560,67295,2586
10561,67303,2592
10562,67312,2592
10563,67322,2592
10564,67323,2590
10565,67324,2590
10566,67325,2591
10567,67335,2597
10568,67345,2597
10569,67353,2597
10570,67362,2597
10571,67363,2596
10572,67364,2596
10573,67365,2596
16773,74568,2690
16774,74576,2690
16775,74584,2690
16776,74593,2690
16777,74594,2688
16778,74595,2688
16779,74596,2688
16780,74597,2689
16781,74607,2695
16782,74617,2695
16783,74627,2695
16784,74628,2693
16785,74629,2693
16786,74630,2694
16787,74640,2702
16788,74650,2702
16789,74660,2702
16790,74670,2702
16791,74682,2702
16792,74683,2700
16793,74684,2700
16794,74685,2700
16795,74686,2700
16796,74687,2701
16843,77259,2775
16844,77269,2775
16845,77279,2775
16846,77289,2775
16847,77299,2775
16848,77300,2773
16849,77301,2773
16850,77302,2773
16851,77303,2773
16852,77304,2774
16853,77314,2780
16854,77324,2780
16855,77334,2780
16856,77335,2778
16857,77336,2778
16858,77337,2779
16859,77347,2787
16860,77357,2787
16861,77367,2787
16862,77377,2787
16863,77387,2787
16864,77388,2785
16865,77389,2785
16866,77390,2785
16867,77391,2785
16868,77392,2786
16917,82398,2883
16918,82406,2883
16919,82414,2883
16920,82424,2883
16921,82428,2883
16922,82432,2883
16923,82436,2883
16924,82440,2883
16925,82444,2883
16926,82456,2883
16927,82464,2883
16928,82465,2874
16929,82466,2874
16930,82467,2874
16931,82468,2881
16932,82469,2880
16933,82470,2880
16934,82471,2880
16935,82472,2880
16936,82473,2880
16937,82474,2881
16938,82475,2882
16945,87375,2936
16946,87385,2936
16947,87397,2936
16948,87398,2934
16949,87399,2934
16950,87400,2935
16951,87408,2942
16952,87416,2942
16953,87424,2942
16954,87434,2942
16955,87443,2942
16956,87444,2941
16957,87445,2941
16958,87446,2941
16959,87447,2941
16980,87448,3096
16981,54904,3097
16982,36478,3098
16983,67366,3099
16985,51759,3101
16987,102012,1602
16988,102017,1602
16989,102018,3107
16990,102019,3107
16995,40865,3147
17006,36209,1553
17007,36210,1553
17008,36211,3251
17009,36212,1553
