ID,TraitNodeGroupID,TraitCostID
626,7136,2817
627,7139,2818
650,7298,2869
700,7594,2945
701,7596,2946
736,7816,2981
737,7823,2982
786,8094,3035
787,8097,3036
832,8357,3082
833,8360,3081
840,8411,3089
841,8413,3090
844,8438,3105
845,8444,3106
851,8476,3115
852,8480,3116
853,8487,3117
858,8526,3122
859,8531,3123
862,8548,3127
863,8550,3128
948,9027,3225
949,9029,3226
952,9047,3229
953,9053,3230
956,9070,3233
957,9074,3234
959,7299,3236
961,9084,3238
980,9189,3286
981,9192,3287
983,9200,3306
984,9207,3307
995,9235,3318
996,9238,3322
997,9241,3319
998,9242,3320
999,9246,3321
1000,9256,3334
1001,9264,3335
1002,9270,3336
1005,9301,3339
1006,9312,3340
1007,9322,3341
1008,9330,3342
1009,9340,3343
1010,9350,3344
1011,9360,3345
1012,9370,3346
1013,9380,3347
1014,9390,3348
1015,9199,3368
1017,9392,3367
1076,9452,3427
1077,9453,3428
1078,9454,3429
1079,9455,3430
1080,9199,3431
1081,9461,3432
1082,9462,3433
1083,9463,3434
1084,9464,3435
1085,9465,3436
1086,10310,3666
1087,10311,3667
1088,10312,3668
1089,10510,3724
1090,10511,3725
1091,10513,3723
1092,9255,3726
1093,9266,3728
1094,9272,3727
1095,10509,3729
1098,10516,3732
1099,10517,3733
1100,10518,3734
1101,10520,3735
1102,10521,3736
1103,10523,3739
1104,9333,3737
1105,9337,3738
1106,10525,3740
1107,10526,3741
1108,10527,3742
1109,10528,3743
1110,10529,3744
1111,10530,3745
1112,10533,3746
1113,10534,3747
1114,10535,3748
1115,10537,3749
1116,10538,3750
1117,10539,3751
1118,10541,3752
1119,10542,3753
1120,10543,3754
1121,10545,3755
1122,10546,3756
1123,10547,3757
1124,10549,3758
1125,10550,3759
1126,10551,3760
1127,10553,3761
1128,10554,3762
1129,10555,3763
1130,10872,3853
1131,10876,3854
1132,10878,3851
1133,10881,3855
1134,10884,3852
1146,11096,3917
1147,11097,3918
1148,11103,3919
1149,11106,3915
1150,11113,3916
