ID,TraitNodeGroupID,TraitNodeID,Index
250682,11159,103884,0
250683,11159,103885,0
250684,11159,103886,0
250685,11159,103892,0
250686,11160,103887,0
250687,11160,103888,0
250688,11161,103889,0
250689,11161,103890,0
250690,11161,103891,0
251683,11326,104773,1
251687,11327,104925,1
251688,11327,104931,2
251689,11328,104923,1
251690,11328,104925,2
251691,11328,104924,3
251692,11328,104931,4
251693,11329,104926,1
251696,11327,104927,3
251697,11328,104927,5
251698,11328,104926,6
251699,11328,104928,7
251700,11328,104929,8
251701,11328,104930,9
251702,11328,104932,10
251703,11328,104933,11
251704,11328,104934,12
251705,11328,104935,13
251706,11328,104936,14
251707,11328,104937,15
251708,11330,104937,1
251709,11331,104936,1
251710,11332,104934,1
251711,11332,104935,2
251712,11333,104930,1
251713,11333,104932,2
251714,11333,104933,3
251715,11334,104910,1
251716,11335,104913,1
251717,11336,104921,1
251718,11336,104911,2
251719,11336,104909,3
251720,11337,104915,1
251721,11337,104914,2
251722,11337,104912,3
251723,11338,104918,1
251724,11338,104917,2
251725,11338,104916,3
251726,11339,104922,1
251727,11339,104920,2
251728,11339,104919,3
251729,11340,104957,1
251730,11340,104958,2
251731,11340,104922,3
251732,11340,104920,4
251733,11340,104919,5
251734,11340,104918,6
251735,11340,104917,7
251736,11340,104916,8
251737,11340,104915,9
251738,11340,104914,10
251739,11340,104912,11
251740,11340,104921,12
251741,11340,104911,13
251742,11340,104909,14
251743,11340,104913,15
251744,11340,104910,16
251745,11341,104956,1
251747,11342,104953,2
251748,11342,104954,3
251749,11343,104950,1
251750,11343,104955,2
251751,11344,104945,1
251752,11344,104952,2
251753,11344,104947,3
251754,11344,104949,4
251755,11345,104944,1
251756,11345,104946,2
251757,11345,104948,3
251758,11346,104940,1
251759,11346,104941,2
251760,11346,104942,3
251762,11347,104938,1
251763,11347,104939,2
251764,11347,104940,3
251765,11347,104941,4
251766,11347,104942,5
251767,11347,104943,6
251768,11347,104944,7
251769,11347,104946,8
251770,11347,104948,9
251771,11347,104945,10
251772,11347,104952,11
251773,11347,104947,12
251774,11347,104949,13
251775,11347,104950,14
251776,11347,104955,15
251777,11347,104951,16
251778,11347,104953,17
251779,11347,104954,18
251780,11347,104956,19
251781,11348,103892,1
251782,11349,104927,1
251783,11329,104928,4
251784,11350,104740,1
251785,11351,104741,1
251786,11352,104744,1
251788,11352,104742,3
251789,11353,104747,1
251790,11353,104746,2
251792,11354,104750,1
251793,11354,104749,2
251794,11354,104748,3
251795,11355,104754,1
251797,11355,104752,3
251798,11355,104751,4
251799,11356,104758,1
251801,11358,104761,1
251802,11358,104759,2
251803,11358,104760,3
251804,11359,104764,1
251805,11359,104763,2
251806,11359,104762,3
251807,11360,104768,1
251810,11361,104771,1
251811,11361,104770,2
251812,11361,104769,3
251813,11362,104739,1
251814,11362,104738,2
251815,11362,104737,3
251816,11362,104736,4
251817,11362,104735,5
251818,11362,104734,6
251819,11362,104733,7
251820,11362,104732,8
251821,11362,104731,9
251822,11362,104730,10
251823,11362,104729,11
251824,11362,104728,12
251825,11362,104727,13
251826,11362,104726,14
251827,11362,104725,15
251828,11362,104724,16
251829,11363,104757,1
251830,11363,104756,2
251831,11363,104755,3
251832,11363,104754,4
251833,11363,104753,5
251834,11363,104752,6
251835,11363,104751,7
251836,11363,104750,8
251837,11363,104749,9
251838,11363,104748,10
251839,11363,104747,11
251840,11363,104746,12
251841,11363,104745,13
251842,11363,104744,14
251843,11363,104743,15
251844,11363,104742,16
251845,11363,104741,17
251846,11363,104740,18
251847,11326,104772,2
251848,11326,104771,3
251849,11326,104770,4
251850,11326,104769,5
251851,11326,104768,6
251852,11326,104767,7
251854,11326,104764,9
251855,11326,104763,10
251856,11326,104762,11
251857,11326,104761,12
251858,11326,104759,13
251859,11326,104760,14
251860,11326,104765,15
251861,11326,104758,16
251862,11364,104724,1
251863,11365,104725,1
251864,11366,104727,1
251865,11366,104726,2
251866,11367,104730,1
251868,11367,104728,3
251870,11368,104733,2
251871,11368,104732,3
251872,11368,104731,4
251873,11369,104737,1
251874,11369,104736,2
251875,11369,104735,3
251885,11370,104996,1
251886,11370,104995,2
251887,11370,104994,3
251888,11370,104993,4
251889,11370,104992,5
251890,11370,104991,6
251891,11370,104990,7
251892,11370,104989,8
251893,11370,104988,9
251894,11370,104987,10
251895,11370,104986,11
251896,11370,104985,12
251897,11370,104984,13
251898,11370,104983,14
