ID,TraitNodeID,TraitNodeEntryID,Index
21600,19445,24457,0
21601,19446,24458,0
21602,19447,24459,0
21603,19448,24460,0
21604,19449,24461,0
21605,19450,24463,0
21606,19451,24464,0
21607,19452,24465,0
21608,19453,24466,0
21609,19454,24467,0
21610,19455,24469,0
21611,19456,24470,0
21612,19457,24471,0
21613,19458,24472,0
21614,19459,24473,0
21615,19460,24474,0
21616,19461,24476,0
21617,19462,24477,0
21618,19463,24478,0
21619,19464,24479,0
21620,19465,24480,0
21621,19466,24481,0
21622,19467,24482,0
21623,19468,24484,0
21624,19469,24485,0
21625,19470,24486,0
21626,19471,24487,0
21627,19472,24488,0
21628,19473,24489,0
21629,19474,24490,0
21630,19475,24492,0
21631,19476,24493,0
21632,19477,24494,0
21633,19478,24495,0
21634,19479,24496,0
21635,19480,24497,0
21636,19481,24498,0
21637,19482,24462,1
21638,19482,24500,0
21639,19483,24468,1
21640,19483,24501,0
21641,19484,24475,1
21642,19484,24502,0
21643,19485,24483,1
21644,19485,24503,0
21645,19486,24491,1
21646,19486,24504,0
21647,19487,24499,1
21648,19487,24505,0
21649,19488,24506,0
21650,19489,24507,0
21651,19490,24508,0
21652,19491,24509,0
21653,19492,24510,0
21654,19493,24511,0
21655,19494,24512,0
21656,19495,24514,0
21657,19496,24515,0
21658,19497,24516,0
21659,19498,24517,0
21660,19499,24518,0
21661,19500,24519,0
21662,19501,24520,0
21663,19502,24522,0
21664,19503,24523,0
21665,19504,24524,0
21666,19505,24525,0
21667,19506,24526,0
21668,19507,24527,0
21669,19508,24528,0
21670,19509,24530,0
21671,19510,24531,0
21672,19511,24532,0
21673,19512,24533,0
21674,19513,24534,0
21675,19514,24535,0
21676,19515,24536,0
21677,19516,24537,0
21678,19517,24538,0
21679,19518,24540,0
21680,19519,24541,0
21681,19520,24542,0
21682,19521,24543,0
21683,19522,24544,0
21684,19523,24546,0
21685,19524,24547,0
21686,19525,24548,0
21687,19526,24549,0
21688,19527,24550,0
21689,19528,24551,0
21690,19529,24552,0
21691,19530,24553,0
21692,19531,24554,0
21693,19532,24555,0
21694,19533,24556,0
21695,19534,24513,1
21696,19534,24558,0
21697,19535,24521,1
21698,19535,24559,0
21699,19536,24529,1
21700,19536,24560,0
21701,19537,24539,1
21702,19537,24561,0
21703,19538,24545,1
21704,19538,24562,0
21705,19539,24557,1
21706,19539,24563,0
25158,22441,28015,0
25159,22442,28016,0
25160,22443,28017,0
25161,22444,28018,0
25162,22445,28019,0
25163,22446,28021,0
25164,22447,28022,0
25165,22448,28023,0
25166,22449,28024,0
25167,22450,28025,0
25168,22451,28027,0
25169,22452,28028,0
25170,22453,28029,0
25171,22454,28030,0
25172,22455,28031,0
25173,22456,28032,0
25174,22457,28034,0
25175,22458,28035,0
25176,22459,28036,0
25177,22460,28037,0
25178,22461,28038,0
25179,22462,28039,0
25180,22463,28040,0
25181,22464,28042,0
25182,22465,28043,0
25183,22466,28044,0
25184,22467,28045,0
25185,22468,28046,0
25186,22469,28047,0
25187,22470,28048,0
25188,22471,28050,0
25189,22472,28051,0
25190,22473,28052,0
25191,22474,28053,0
25192,22475,28054,0
25193,22476,28055,0
25194,22477,28056,0
25195,22478,28020,1
25196,22478,28058,0
25197,22479,28026,1
25198,22479,28059,0
25199,22480,28033,1
25200,22480,28060,0
25201,22481,28041,1
25202,22481,28061,0
25203,22482,28049,1
25204,22482,28062,0
25205,22483,28057,1
25206,22483,28063,0
26549,23672,29754,0
26550,23673,29755,0
26551,23674,29756,0
26552,23675,29757,0
26553,23676,29758,0
26554,23677,29759,0
26555,23678,29760,0
26556,23679,29762,0
26557,23680,29763,0
26558,23681,29764,0
26559,23682,29765,0
26560,23683,29766,0
26561,23684,29767,0
26562,23685,29768,0
26563,23686,29770,0
26564,23687,29771,0
26565,23688,29772,0
26566,23689,29773,0
26567,23690,29774,0
26568,23691,29775,0
26569,23692,29776,0
26570,23693,29778,0
26571,23694,29779,0
26572,23695,29780,0
26573,23696,29781,0
26574,23697,29782,0
26575,23698,29783,0
26576,23699,29784,0
26577,23700,29786,0
26578,23701,29787,0
26579,23702,29788,0
26580,23703,29789,0
26581,23704,29790,0
26582,23705,29791,0
26583,23706,29792,0
26584,23707,29794,0
26585,23708,29795,0
26586,23709,29796,0
26587,23710,29797,0
26588,23711,29798,0
26589,23712,29799,0
26590,23713,29800,0
26591,23714,29802,0
26592,23715,29803,0
26593,23716,29804,0
26594,23717,29805,0
26595,23718,29806,0
26596,23719,29807,0
26597,23720,29808,0
26598,23721,29761,1
26599,23721,29810,0
26600,23722,29769,1
26601,23722,29811,0
26602,23723,29777,1
26603,23723,29812,0
26604,23724,29785,1
26605,23724,29813,0
26606,23725,29793,1
26607,23725,29814,0
26608,23726,29801,1
26609,23726,29815,0
26610,23727,29809,1
26611,23727,29816,0
26612,23728,29817,0
26613,23729,29818,0
26614,23730,29819,0
26615,23731,29820,0
26616,23732,29821,0
26617,23733,29823,0
26618,23734,29824,0
26619,23735,29825,0
26620,23736,29826,0
26621,23737,29827,0
26622,23738,29829,0
26623,23739,29830,0
26624,23740,29831,0
26625,23741,29832,0
26626,23742,29833,0
26627,23743,29834,0
26628,23744,29835,0
26629,23745,29837,0
26630,23746,29838,0
26631,23747,29839,0
26632,23748,29840,0
26633,23749,29841,0
26634,23750,29842,0
26635,23751,29843,0
26636,23752,29845,0
26637,23753,29846,0
26638,23754,29847,0
26639,23755,29848,0
26640,23756,29849,0
26641,23757,29850,0
26642,23758,29851,0
26643,23759,29852,0
26644,23760,29853,0
26645,23761,29822,1
26646,23761,29855,0
26647,23762,29828,1
26648,23762,29856,0
26649,23763,29836,1
26650,23763,29857,0
26651,23764,29844,1
26652,23764,29858,0
26653,23765,29854,1
26654,23765,29859,0
26704,23809,29909,0
26705,23810,29910,0
26706,23811,29911,0
26707,23812,29912,0
26708,23813,29913,0
26709,23814,29914,0
26710,23815,29915,0
26711,23816,29917,0
26712,23817,29918,0
26713,23818,29919,0
26714,23819,29920,0
26715,23820,29921,0
26716,23821,29922,0
26717,23822,29923,0
26718,23823,29925,0
26719,23824,29926,0
26720,23825,29927,0
