Cost,Name_lang,ID,OrderIndex,Source,Flags,SetType,OverrideCostModifier,Field_12_0_5_66330_008
0,Default,1,1,0,1,0,0,-1
0,Outfit 1,2,2,1,35,1,0,1
0,Outfit 2,3,3,1,3,1,0,2
1000000,,4,4,2,0,1,0,3
2000000,,5,5,2,0,1,0,4
3500000,,36,6,2,0,1,0,5
5000000,,37,7,2,0,1,0,6
10000000,,39,8,2,0,1,0,7
20000000,,40,9,2,0,1,0,8
35000000,,41,10,2,0,1,0,9
50000000,,42,11,2,0,1,0,10
100000000,,62,12,2,0,1,0,11
100000000,,63,13,2,0,1,0,12
100000000,,64,14,2,0,1,0,13
100000000,,65,15,2,0,1,0,14
100000000,,66,16,2,0,1,0,15
200000000,,67,17,2,0,1,0,16
200000000,,68,18,2,0,1,0,17
200000000,,69,19,2,0,1,0,18
200000000,,70,20,2,0,1,0,19
200000000,,71,21,2,0,1,0,20
350000000,,102,22,2,0,1,0,21
350000000,,103,23,2,0,1,0,22
350000000,,104,24,2,0,1,0,23
350000000,,105,25,2,0,1,0,24
350000000,,106,26,2,0,1,0,25
350000000,,107,27,2,0,1,0,26
350000000,,108,28,2,0,1,0,27
350000000,,109,29,2,0,1,0,28
350000000,,110,30,2,0,1,0,29
350000000,,111,31,2,0,1,0,30
500000000,,112,32,2,0,1,0,31
500000000,,113,33,2,0,1,0,32
500000000,,114,34,2,0,1,0,33
500000000,,115,35,2,0,1,0,34
500000000,,116,36,2,0,1,0,35
500000000,,117,37,2,0,1,0,36
500000000,,118,38,2,0,1,0,37
500000000,,119,39,2,0,1,0,38
500000000,,120,40,2,0,1,0,39
500000000,,121,41,2,0,1,0,40
1000000000,,122,42,2,0,1,0,41
1000000000,,123,43,2,0,1,0,42
1000000000,,124,44,2,0,1,0,43
1000000000,,125,45,2,0,1,0,44
1000000000,,126,46,2,0,1,0,45
1000000000,,127,47,2,0,1,0,46
1000000000,,128,48,2,0,1,0,47
1000000000,,129,49,2,0,1,0,48
1000000000,,130,50,2,0,1,0,49
1000000000,,131,51,2,0,1,0,50
0,Trial of Style,173,0,1,31,1,0,0
