InventorySlotName,ID,TransmogOutfitSlotEnum,InventorySlotEnum,Flags,Field_12_0_0_64339_007,TransmogCollectionType,OtherSlot,InventorySlotID,UnassignedAtlasID,UnassignedDisplayAtlasID,ItemCostMultiplier,IllusionCostMultiplier
HEADSLOT,1,0,0,0,0,1,0,1,31846,31981,2,0
SHOULDERSLOT,2,1,2,0,0,2,3,3,31851,31948,1,0
SHOULDERSLOT,3,2,2,4,0,2,2,3,31851,31948,1,0
SHIRTSLOT,4,6,3,0,0,5,0,4,31850,31947,0.5,0
CHESTSLOT,5,4,4,0,0,4,0,5,31843,31940,2,0
WAISTSLOT,6,9,5,0,0,9,0,6,31853,31950,1,0
LEGSSLOT,7,10,6,0,0,10,0,7,31847,31944,2,0
FEETSLOT,8,11,7,0,0,11,0,8,31844,31942,1,0
WRISTSLOT,9,7,8,0,0,7,0,9,31854,31951,0.5,0
HANDSSLOT,10,8,9,0,0,8,0,10,31845,31943,0.5,0
BACKSLOT,11,3,14,0,0,3,0,15,31842,31939,2,0
TABARDSLOT,12,5,18,0,0,6,0,19,31913,31949,0.5,0
MAINHANDSLOT,13,12,15,3,0,0,0,16,31848,31945,0,3
SECONDARYHANDSLOT,14,13,16,3,0,0,0,17,31849,31946,0,3
