Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Locations,|cnHIGHLIGHT_FONT_COLOR:All Locations:|r This outfit is valid for all locations. Outfits assigned a specific location will be prioritized.|n|n|cnHIGHLIGHT_FONT_COLOR:Rest Areas:|r Non-combat areas such as towns and neighborhoods.|n|n|cnHIGHLIGHT_FONT_COLOR:House:|r Your Warband's house.|n|n|cnHIGHLIGHT_FONT_COLOR:Character Select:|r The display for your Warband camp as well as standalone view.|n|n|cnHIGHLIGHT_FONT_COLOR:World:|r Outdoor combat areas.,3,3,4
Movement,Choose the movement type for which this outfit is valid.,4,4,4
Specializations,Choose the specializations for which this outfit is valid.,5,5,4
Equipment Sets,Choose the equipment sets for which this outfit is valid.,6,6,4
Racial Forms,Choose the racial forms for which this outfit is valid.,7,7,4
Professions,"If a profession is selected, this outfit will swap when engaged in that profession. Other settings allow you to restrict when this outfit is applied.",8,11,24
,,9,8,0
Weather,Choose the weather conditions for which this outfit is valid.,11,9,4
Time of Day,Choose the time of day for which this outfit is valid.,12,10,4
