ID,ExpansionLogo,ExpansionBanner,ExpansionLevel,Field_12_0_0_63854_004,HighResBackgroundID,LowResBackgroundID,UiTextureKitID,GlueAmbianceSoundKit,GlueMusicSoundKit,GlueCreditsSoundKit,Field_12_0_0_63854_008
2,1725879,5258,6,1,1396280,1396283,0,71535,56353,56354,0
4,538639,3999,0,1,131970,131970,0,9902,47598,10763,0
5,937277,4001,5,1,1067592,1067658,0,47544,40169,34020,0
6,1847992,7175,7,1,2021650,2177268,0,113894,113559,113560,0
108,131194,3997,1,1,131982,131970,0,9902,47598,10804,0
109,235510,4002,2,1,236122,131970,0,9902,12765,13822,0
110,321206,3998,3,1,466614,653518,0,9902,23640,23812,0
111,571576,4000,4,1,631713,467804,0,9902,28509,32015,0
115,3522861,11438,8,1,3846560,3846562,0,170714,170711,170713,0
135,4547767,16798,9,1,4684877,4684882,0,213962,213963,213965,0
143,5705453,26410,10,1,6051108,6075269,5586,257886,262929,320048,0
149,7242277,26410,11,1,7550640,7673144,5727,315290,325423,320049,1
