ID,RowIndex,ColIndex,LayerIndex,FileDataID,UiMapArtID
24925,0,0,0,270892,119
24926,0,1,0,270876,119
24927,0,2,0,270872,119
24928,0,3,0,270862,119
24929,1,0,0,270800,119
24930,1,1,0,270745,119
24931,1,2,0,270902,119
24932,1,3,0,270852,119
24933,2,0,0,270789,119
24934,2,1,0,270901,119
24935,2,2,0,270861,119
24936,2,3,0,270796,119
24937,0,0,0,271361,120
24938,0,1,0,271382,120
24939,0,2,0,271342,120
24940,0,3,0,271251,120
24941,1,0,0,271145,120
24942,1,1,0,271275,120
24943,1,2,0,271243,120
24944,1,3,0,271276,120
24945,2,0,0,271321,120
24946,2,1,0,271193,120
24947,2,2,0,271179,120
24948,2,3,0,271362,120
24949,0,0,0,271818,121
24950,0,1,0,271793,121
24951,0,2,0,271804,121
24952,0,3,0,271800,121
24953,1,0,0,271802,121
24954,1,1,0,271811,121
24955,1,2,0,271808,121
24956,1,3,0,271787,121
24957,2,0,0,271815,121
24958,2,1,0,271782,121
24959,2,2,0,271777,121
24960,2,3,0,271786,121
24961,0,0,0,271981,122
24962,0,1,0,271990,122
24963,0,2,0,271995,122
24964,0,3,0,271944,122
24965,1,0,0,271947,122
24966,1,1,0,271982,122
24967,1,2,0,271961,122
24968,1,3,0,271996,122
24969,2,0,0,271971,122
24970,2,1,0,271942,122
24971,2,2,0,271943,122
24972,2,3,0,271955,122
24973,0,0,0,254661,123
24974,0,1,0,254665,123
24975,0,2,0,254666,123
24976,0,3,0,254667,123
24977,1,0,0,254668,123
24978,1,1,0,254669,123
24979,1,2,0,254670,123
24980,1,3,0,254671,123
24981,2,0,0,254672,123
24982,2,1,0,254662,123
24983,2,2,0,254663,123
24984,2,3,0,254664,123
24985,0,0,0,272492,124
24986,0,1,0,272525,124
24987,0,2,0,272536,124
24988,0,3,0,272511,124
24989,1,0,0,272512,124
24990,1,1,0,272489,124
24991,1,2,0,272493,124
24992,1,3,0,272513,124
24993,2,0,0,272514,124
24994,2,1,0,272528,124
24995,2,2,0,272538,124
24996,2,3,0,272542,124
24997,0,0,0,272937,125
24998,0,1,0,272951,125
24999,0,2,0,272915,125
25000,0,3,0,272941,125
25001,1,0,0,272942,125
25002,1,1,0,272947,125
25003,1,2,0,272929,125
25004,1,3,0,272916,125
25005,2,0,0,272907,125
25006,2,1,0,272949,125
25007,2,2,0,272940,125
25008,2,3,0,272928,125
25009,0,0,0,273283,126
25010,0,1,0,273290,126
25011,0,2,0,273299,126
25012,0,3,0,273313,126
25013,1,0,0,273314,126
25014,1,1,0,273327,126
25015,1,2,0,273294,126
