UiMin[0],UiMin[1],UiMax[0],UiMax[1],ID,ParentUiMapID,OrderIndex,ChildUiMapID,PlayerConditionID,OverrideHighlightFdID,OverrideHighlightAtlasID,Flags
0.38,0.35,0.52152,0.588768,1,947,0,948,0,0,0,0
0.3044,0.2096,0.4321,0.3373,2,948,0,276,0,0,0,0
0.4491018,0.19461077,0.6087824,0.3542914,3,948,1,207,0,0,0,0
0.185529,0.568862,0.54481,0.928144,4,948,2,194,0,0,0,0
0.0248503,0.398204,0.274351,0.647705,5,948,3,174,0,0,0,0
0.348,0.25,0.68,0.745,6,946,0,947,0,0,0,0
0.04,0.565,0.345,0.92,7,946,1,101,0,0,0,0
0.685,0.41,0.982,0.785,8,946,2,572,0,0,0,0
0.53093815,0.5284431,0.7744511,0.8083832,9,905,0,830,0,0,0,0
0.513972,0.112275,0.729541,0.428144,10,905,1,882,0,0,0,0
0.204591,0.345808,0.444112,0.691617,11,905,2,885,0,0,0,0
0.698603,0,1,0.416168,12,619,0,905,0,0,0,0
0.733,0,1,0.3,115,875,0,1355,0,3028652,0,0
0.733,0,1,0.3,116,876,0,1355,0,3028652,0,0
0.003,0.369,0.229,0.626,117,1355,0,875,0,3033477,0,0
0.655,0.64,0.882,0.9,118,1355,1,876,0,3033476,0,0
0.255,0.37,0.347,0.51,120,1525,0,1699,0,0,0,1
0.415,0.38,0.52,0.605,121,1550,0,1670,0,3847775,0,1
0.421,0.477,0.492,0.57,122,1565,0,1701,0,0,0,1
0.61,0.105,0.712,0.248,123,1533,0,1707,0,0,0,1
0.421,0.477,0.492,0.57,126,1739,0,1701,0,0,0,0
0.015,0.075,0.348,0.42,127,946,3,1550,0,0,0,0
0.61,0.105,0.712,0.248,128,1813,0,1707,0,0,0,0
0.07,0.02,0.38,0.3,129,1550,1,1543,0,3847734,0,1
0.07,0.02,0.38,0.3,133,1550,2,1960,0,3847734,0,1
0,0,0.75,0.18,136,1961,0,1543,0,0,0,0
0.76,0.67,0.96,0.96,138,1550,3,1970,0,4278492,0,1
0.33,0.5,0.45,0.69,139,2025,0,2112,0,0,0,1
0.64,0.76,0.695,0.88,140,2025,1,2085,101044,0,0,0
0.33,0.5,0.45,0.69,141,2130,0,2112,0,0,0,0
0.64,0.76,0.695,0.88,142,2130,1,2085,0,0,0,0
0.7913,0.6946,1,1,143,1978,0,2133,0,5105768,0,0
0.7913,0.6946,1,1,144,2133,0,1978,0,5105766,0,0
0.7913,0.6946,1,1,145,2175,0,2057,0,5105766,0,2
0.7913,0.6946,1,1,146,2057,0,2175,0,5105768,0,2
0.33,0.5,0.45,0.69,147,2199,0,2112,0,0,0,1
0.64,0.76,0.695,0.88,148,2199,1,2085,101044,0,0,0
0.407,0.275,0.611,0.57,157,2198,0,2190,0,5222546,0,0
0.254,0.101,0.357,0.268,158,2198,1,2191,0,5222547,0,0
0.61,0,0.725,0.132,159,2198,2,2192,0,5222548,0,0
0.468,0,0.56,0.142,160,2198,3,2193,0,5222549,0,0
0.717,0.499,0.929,0.869,161,2198,4,2194,0,5222550,0,0
0.288,0.577,0.6,0.799,162,2198,5,2195,0,5222551,0,0
0.773,0.131,0.916,0.352,163,2198,6,2196,0,5222552,0,0
0.064,0.274,0.265,0.68,164,2198,7,2197,0,5222553,0,0
0.19,0.135,0.338,0.455,165,127,0,125,0,0,0,0
0.281,0.515,0.339,0.604,167,1978,1,2200,0,5454235,0,2
0.142,0.436,0.22,0.55,168,2023,0,2200,115804,5454235,0,0
0.0451,0.0479,0.311,0.439,170,2248,0,2369,131687,6227054,0,0
