ScriptTag,Target[0],Target[1],Target[2],ZoomedTargetOffset[0],ZoomedTargetOffset[1],ZoomedTargetOffset[2],ID,Flags,CameraType,Yaw,Pitch,Roll,ZoomedYawOffset,ZoomedPitchOffset,ZoomedRollOffset,ZoomDistance,MinZoomDistance,MaxZoomDistance,UiModelSceneID
primary,0,0,0,0,0,0,3,1,0,2.6179938,0,0,0,0,0,14,8,18,6
primary,0,0,0.25,0,0,0,4,1,0,3.6651914,0,0,0,0,0,8,8,8,7
entry,0,0,0.25,0,0,0,6,1,0,2.7925267,0,0,0,0,0,10,10,10,9
primary,0,0,0.2,0,0,0,7,1,0,1.0471976,0,0,0,0,0,8,8,8,10
primary,0,0,0,0,0,0,37,1,0,2.6179938,0,0,0,0,0,14,8,18,33
primary,0,0,0,0,0,0,38,1,0,2.6179938,0,0,0,0,0,14,8,18,34
primary,0,0,0,0,0,0,39,1,0,2.6179938,0,0,0,0,0,14,8,18,35
primary,0,0,0,0,0,0,40,1,0,2.6179938,0,0,0,0,0,14,8,18,36
primary,0,0,0,0,0,0,41,1,0,2.6179938,0,0,0,0,0,14,8,18,37
primary,0,0,0,0,0,0,42,1,0,2.6179938,0,0,0,0,0,14,8,18,38
primary,0,0,0,0,0,0,43,1,0,2.6179938,0,0,0,0,0,14,8,18,39
primary,0,0,0,0,0,0,44,1,0,2.6179938,0,0,0,0,0,14,8,18,40
primary,0,0,0,0,0,0,45,1,0,2.6179938,0,0,0,0,0,26,18,30,41
primary,0,0,0,0,0,0,46,1,0,2.6179938,0,0,0,0,0,40,32,44,42
primary,0,0,2.2,0,0,-1.5,47,1,0,2.6179938,0,0,0.17453292,0,0,14,8,18,43
primary,0,0,2.2,0,0,-1.5,48,1,0,2.6179938,0,0,0.17453292,0,0,14,8,18,44
primary,0,0,2.2,0,0,-1.5,49,1,0,2.6179938,0,0,0.17453292,0,0,14,8,18,45
primary,0,0,0.25,0,0,0,64,1,0,3.6651914,0,0,0,0,0,8,8,8,60
entry,0,0,0.25,0,0,0,67,1,0,2.7925267,0,0,0,0,0,10,10,10,63
entry,0,0,0.25,0,0,0,68,1,0,2.7925267,0,0,0,0,0,10,10,10,64
entry,0,0,0.25,0,0,0,69,1,0,2.7925267,0,0,0,0,0,10,10,10,65
entry,0,0,0.25,0,0,0,70,1,0,2.7925267,0,0,0,0,0,10,10,10,66
entry,0,0,0.25,0,0,0,71,1,0,2.7925267,0,0,0,0,0,10,10,10,67
primary,0,0,-0.5,0,0,0,76,1,0,1.0471976,0,0,0,0,0,8,8,8,72
primary,0,0,-0.5,0,0,0,77,1,0,1.0471976,0,0,0,0,0,6,6,6,73
primary,0,0,-0.2,0,0,0,79,1,0,1.0471976,0,0,0,0,0,8,8,8,75
primary,0,0,-0.4,0,0,0,80,1,0,1.0471976,0,0,0,0,0,8,8,8,76
primary,0,0,-0.2,0,0,0,83,1,0,1.0471976,0,0,0,0,0,8,8,8,79
primary,0,0,-0.2,0,0,0,84,1,0,1.0471976,0,0,0,0,0,8,8,8,80
primary,0,0,0.2,0,0,0,85,1,0,1.0471976,0,0,0,0,0,8,8,8,81
primary,0,0,-1.5,0,0,0,86,1,0,1.0471976,0,0,0,0,0,8,8,8,82
primary,0,0,-0.4,0,0,0,87,1,0,1.0471976,0,0,0,0,0,8,8,8,83
entry,0,0,0.25,0,0,0,95,1,0,2.7925267,0,0,0,0,0,10,10,10,91
primary,0,0,0.2,0,0,0,102,1,0,1.2217305,0,0,0,0,0,8,8,8,99
primary,0,0,2.2,0,0,-1.5,229,1,0,2.6179938,0,0,0.17453292,0,0,14,8,18,226
primary,0,0,0,0,0,0,256,1,0,2.6179938,0.34906584,0,0,0,0,35,1,35,253
entry,0,0,0,0,0,0,282,1,0,2.7925267,0,0,0,0,0,50,50,50,280
primary,0,0,1.3,0,0,0,295,1,0,1.8325957,0,0,0,0,0,4,2,4,293
Primary,0,0,0,0,0,0,386,0,0,0,1.5707964,-1.5707964,0,0,0,25,0,25,378
primary,0,0,1.1,0,0,0,424,1,0,1.8325957,0,0,0,0,0,3.25,3.25,3.25,420
primary,0,0,0,0,0,0,568,1,0,1.0471976,0,0,0,0,0,8,8,8,581
primary,0,0,1.02,0,0,0,581,1,0,1.8325957,0,0,0,0,0,3.9,2,3.9,595
primary,0,0,0.2,0,0,0,592,1,0,1.0471976,0,0,0,0,0,8,8,8,606
primary,0,0,0.2,0,0,0,593,1,0,1.0471976,0,0,0,0,0,8,8,8,607
primary,0,0,2.2,0,0,-1.5,663,1,0,2.6179938,0,0,0.17453292,0,0,14,8,18,4
primary,0,0,22,0,0,0,693,1,0,2.6179938,0.43633232,0,0,0,0,14,8,18,708
primary,0,0,0,0,0,0,712,1,0,2.6179938,0,0,0,0,0,40,30,50,728
primary,0,0,0,0,0,0,849,1,0,2.8797932,0,0,0.17453292,0,0,14,4,18,865
entry,0,0,0.25,0,0,0,868,1,0,2.7925267,0,0,0,0,0,10,10,10,887
entry,0,0,0.25,0,0,0,869,1,0,2.7925267,0,0,0,0,0,10,10,10,888
entry,0,0,0.25,0,0,0,870,1,0,2.7925267,0,0,0,0,0,10,10,10,889
entry,0,0,0.25,0,0,0,871,1,0,2.7925267,0,0,0,0,0,10,10,10,890
entry,0,0,0.25,0,0,0,872,1,0,2.7925267,0,0,0,0,0,10,10,10,891
entry,0,0,0.25,0,0,0,873,1,0,2.7925267,0,0,0,0,0,10,10,10,892
primary,0,0,0,0,0,0,875,1,0,1.0471976,0,0,0,0,0,8,8,8,894
primary,0,0,0,0,0,0,876,1,0,1.0471976,0,0,0,0,0,8,8,8,895
primary,0,0,0,0,0,0,877,1,0,2.6199138,0,0,0,0,0,5.5,2.5,15,718
primary,0,0,0,0,0,0,878,1,0,1.0471976,0,0,0,0,0,8,8,8,896
primary,0,0,0.2,0,0,0,879,1,0,1.0471976,0,0,0,0,0,8,8,8,897
primary,0,0,0,0,0,0,881,1,0,1.0471976,0,0,0,0,0,8,8,8,899
primary,0,0,0,0,0,0,882,1,0,1.0471976,0,0,0,0,0,8,8,8,900
primary,0,0,0.2,0,0,0,887,1,0,1.0471976,0,0,0,0,0,8,8,8,905
primary,0,0,0,0,0,0,894,1,0,1.0471976,0,0,0,0,0,8,8,8,912
primary,0,0,0,0,0,0,895,1,0,1.0471976,0,0,0,0,0,8,8,8,913
primary,0,0,0.2,0,0,0,896,1,0,1.0471976,0,0,0,0,0,8,8,8,914
primary,0,0,0,0,0,0,897,1,0,1.0471976,0,0,0,0,0,8,8,8,915
primary,0,0,0,0,0,0,898,1,0,1.0471976,0,0,0,0,0,8,8,8,916
primary,0,0,0.2,0,0,0,899,1,0,1.0471976,0,0,0,0,0,8,8,8,917
primary,0,0,0,0,0,0,900,1,0,1.0471976,0,0,0,0,0,8,8,8,918
primary,0,0,0,0,0,0,901,1,0,1.0471976,0,0,0,0,0,8,8,8,919
primary,0,0,0,0,0,0,903,1,0,1.0471976,0,0,0,0,0,8,8,8,921
primary,0,0,0,0,0,0,905,1,0,1.0471976,0,0,0,0,0,8,8,8,923
primary,0,0,0,0,0,0,906,1,0,1.0471976,0,0,0,0,0,8,8,8,924
primary,0,0,0.2,0,0,0,907,1,0,1.0471976,0,0,0,0,0,8,8,8,925
primary,0,0,0.2,0,0,0,908,1,0,1.0471976,0,0,0,0,0,8,8,8,926
primary,0,0,0.2,0,0,0,909,1,0,1.0471976,0,0,0,0,0,8,8,8,927
primary,0,0,0.2,0,0,0,911,1,0,1.0471976,0,0,0,0,0,8,8,8,929
primary,0,0,0.2,0,0,0,912,1,0,1.0471976,0,0,0,0,0,8,8,8,930
primary,0,0,0.2,0,0,0,913,1,0,1.0471976,0,0,0,0,0,8,8,8,931
primary,0,0,0,0,0,0,914,1,0,1.0471976,0,0,0,0,0,8,8,8,932
primary,0,0,0,0,0,0,925,1,0,1.0471976,0,0,0,0,0,8,8,8,943
primary,0,0,0,0,0,0,926,1,0,1.0471976,0,0,0,0,0,8,8,8,944
primary,0,0,0,0,0,0,943,1,0,1.0471976,0,0,0,0,0,8,8,8,961
primary,0,0,0,0,0,0,944,1,0,1.0471976,0,0,0,0,0,8,8,8,962
primary,0,0,0,0,0,0,945,1,0,1.0471976,0,0,0,0,0,8,8,8,963
primary,0,0,0,0,0,0,946,1,0,1.0471976,0,0,0,0,0,8,8,8,964
primary,0,0,0.2,0,0,0,949,1,0,1.0471976,0,0,0,0,0,8,8,8,967
primary,0,0,2,0,0,0,950,1,0,2.6179938,0,0,0,0,0,20,0,99,968
primary,0,0,1.2,0,0,0,951,1,0,2.6179938,0,0,0,0,0,20,0,99,969
primary,0,0,1,0,0,0,952,1,0,1.8325957,0,0,0,0,0,6.5,6.5,6.5,970
primary,0,0,1.2,0,0,0,953,1,0,2.6179938,0,0,0,0,0,12,0,99,971
primary,0,0,1.2,0,0,0,954,1,0,2.6179938,0,0,0,0,0,12,0,99,972
primary,0,0,0.2,0,0,0,956,1,0,1.0471976,0,0,0,0,0,8,8,8,974
primary,0,0,0,0,0,0,957,1,0,1.0471976,0,0,0,0,0,8,8,8,975
primary,0,0,0.2,0,0,0,964,1,0,1.0471976,0,0,0,0,0,8,8,8,982
primary,0,0,2.5,0,0,-1.5,971,1,0,2.443461,0,0,0.17453292,0,0,10,0,99,989
primary,0,0,0.5,0,0,0,972,1,0,2.6179938,0,0,0,0,0,7,0,99,990
primary,0,-0.6,0.7,0,0,0,973,1,0,1.8325957,0,0,0,0,0,4.5,1,99,991
primary,0,0,1.2,0,0,0,978,1,0,2.6179938,0,0,0,0,0,12,0,99,996
