TitleText_lang,ExtraButtonText_lang,ID,UiWidgetSetID,VictoryUiModelSceneID,DefeatUiModelSceneID,VictorySoundKitID,DefeatSoundKitID,SpellID,UiTextureKitID,MapID
,,6,3,110,229,118540,118536,0,0,1898
,,107,3,110,229,118540,118536,0,0,1883
,,108,3,110,229,118535,118536,0,0,1813
,,109,3,110,229,118535,118536,0,0,1814
,,110,3,110,229,118535,118536,0,0,1907
,,111,3,110,229,118540,118536,0,0,1893
,,112,3,110,229,118535,118536,0,0,1897
,,113,3,110,229,118535,118536,0,0,1879
,,114,3,110,229,118538,118536,0,0,1882
,,115,3,110,229,118535,118536,0,0,1892
,,116,0,231,217,118532,118533,0,0,1876
,,117,0,232,233,118531,118534,0,0,1943
,,118,0,231,217,125881,118533,0,0,2111
,,119,0,232,233,125679,118534,0,0,2105
,,120,3,110,229,118540,118536,0,0,2124
You placed #%1986c,Spectate,121,3,637,638,118540,118536,362709,5506,2695
You placed #%1986c,Spectate,122,3,637,638,118540,118536,0,5506,2695
Tournament Winner!,,123,3,637,638,118540,118536,0,5506,2695
